run_id,exp,regime,alg,config,problema,semente,q,tier,dist,stack,env,env_problema,ponte
main_b1_MMF1_0,main,online,b1,b1,MMF1,0,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_1,main,online,b1,b1,MMF1,1,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_2,main,online,b1,b1,MMF1,2,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_3,main,online,b1,b1,MMF1,3,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_4,main,online,b1,b1,MMF1,4,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_5,main,online,b1,b1,MMF1,5,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_6,main,online,b1,b1,MMF1,6,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_7,main,online,b1,b1,MMF1,7,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_8,main,online,b1,b1,MMF1,8,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_9,main,online,b1,b1,MMF1,9,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_10,main,online,b1,b1,MMF1,10,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_11,main,online,b1,b1,MMF1,11,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_12,main,online,b1,b1,MMF1,12,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_13,main,online,b1,b1,MMF1,13,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_14,main,online,b1,b1,MMF1,14,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_15,main,online,b1,b1,MMF1,15,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_16,main,online,b1,b1,MMF1,16,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_17,main,online,b1,b1,MMF1,17,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_18,main,online,b1,b1,MMF1,18,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_19,main,online,b1,b1,MMF1,19,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_20,main,online,b1,b1,MMF1,20,1,,,matlab,env_matlab,inproc,
main_b1_MMF1_21,main,online,b1,b1,MMF1,21,1,,,matlab,env_matlab,inproc,
