problema,M,D,multimodal,deceptive,disconnected,biased_density,nonseparable,high_dim,concave_front,empirical_front_bbob,real_world
MMF1,2,2,1,0,0,0,0,0,0,0,0
MMF4,2,2,1,0,0,0,0,0,1,0,0
MMF11_L,2,2,1,0,0,0,0,0,0,0,0
MMF16_20,3,20,1,0,0,0,0,1,0,0,0
ZDT1,2,30,0,0,0,0,0,1,0,0,0
ZDT3,2,30,0,0,1,0,0,0,0,0,0
ZDT4,2,10,1,0,0,0,0,0,0,0,0
ZDT6,2,10,0,0,0,1,0,0,0,0,0
DTLZ1,3,7,1,0,0,0,0,0,0,0,0
DTLZ2,3,12,0,0,0,0,0,0,1,0,0
DTLZ3,3,12,1,0,0,0,0,0,1,0,0
DTLZ4,3,12,0,0,0,1,0,0,1,0,0
DTLZ7,3,22,0,0,1,0,0,0,0,0,0
WFG1,2,22,0,0,0,1,1,0,0,0,0
WFG2,2,22,0,0,1,0,1,0,0,0,0
WFG4,2,22,1,0,0,0,1,0,0,0,0
WFG5,2,22,0,1,0,0,1,0,0,0,0
WFG9,2,22,1,1,0,0,1,0,0,0,0
BBOB_F1,2,10,0,0,0,0,0,0,0,1,0
BBOB_F5,2,10,0,0,0,0,1,0,0,1,0
BBOB_F17,2,10,1,0,0,0,0,0,0,1,0
BBOB_F22,2,10,0,0,0,0,1,0,0,1,0
BBOB_F37,2,10,1,0,0,0,0,0,0,1,0
BBOB_F49,2,10,1,0,0,0,0,0,0,1,0
BBOB_F55,2,10,1,0,0,0,0,0,0,1,0
RE21,2,4,0,0,0,0,0,0,0,0,1
DDMOP7,2,17,0,0,1,0,1,0,0,0,1
ESTOQUE40,3,40,0,0,0,0,1,1,1,0,1
