alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
ParEGO,BBOB_F1,1.1703279211352453,1.0,30,1.862645149230957e-09
ParEGO,BBOB_F17,0.04465477565744582,0.9333333333333333,30,2.60770320892334e-08
ParEGO,BBOB_F22,5.664032102790188,0.8666666666666667,30,
ParEGO,BBOB_F37,0.6797063723536881,1.0,29,3.725290298461914e-09
ParEGO,BBOB_F49,0.4945725837715366,0.9333333333333333,30,6.146728992462158e-08
ParEGO,BBOB_F5,1.3402226135497055,1.0,30,1.862645149230957e-09
ParEGO,BBOB_F55,3.8382989931290448,0.9666666666666667,30,3.725290298461914e-09
ParEGO,DTLZ1,,0.0,29,
ParEGO,DTLZ2,1.5441959784527421,1.0,30,1.862645149230957e-09
ParEGO,DTLZ3,,0.0,30,
ParEGO,DTLZ7,,0.0,28,
ParEGO,MMF1,-0.0015158742770974023,0.4666666666666667,30,0.935398668050766
ParEGO,MMF11_L,0.05909216547729135,0.9333333333333333,30,1.30385160446167e-08
ParEGO,MMF16_20,0.15079384392227016,1.0,28,7.450580596923828e-09
ParEGO,MMF4,0.08486526945808895,0.9666666666666667,30,5.587935447692871e-09
ParEGO,RE21,0.16477114619788147,1.0,30,1.862645149230957e-09
ParEGO,WFG1,0.9530383929857384,0.5714285714285714,28,
ParEGO,WFG2,-0.02889233537195027,0.41379310344827586,29,0.00516427680850029
ParEGO,WFG4,-0.08620659932886177,0.0,29,3.725290298461914e-09
ParEGO,WFG5,1.1496469694435565,1.0,27,1.4901161193847656e-08
ParEGO,WFG9,0.15492892845158893,0.7142857142857143,28,0.0024397894740104675
ParEGO,ZDT1,,0.0,28,
ParEGO,ZDT3,142.94198917708124,0.07142857142857142,28,
ParEGO,ZDT4,,0.0,30,
ParEGO,ZDT6,,0.0,30,
K-RVEA,BBOB_F1,1.0767914001527799,1.0,30,1.862645149230957e-09
K-RVEA,BBOB_F17,0.06343447971188762,1.0,30,1.862645149230957e-09
K-RVEA,BBOB_F22,5.822827096683877,0.8666666666666667,30,
K-RVEA,BBOB_F37,1.2242524222585018,1.0,30,1.862645149230957e-09
K-RVEA,BBOB_F49,0.7621957236700276,1.0,30,1.862645149230957e-09
K-RVEA,BBOB_F5,1.311269341050477,1.0,30,1.862645149230957e-09
K-RVEA,BBOB_F55,5.195983323738529,0.9666666666666667,30,3.725290298461914e-09
K-RVEA,DDMOP7,0.013781084734676746,0.7,30,0.022454991832152726
K-RVEA,DTLZ1,,0.0,30,
K-RVEA,DTLZ2,0.3337357549512456,0.7333333333333333,30,0.0006665531545877457
K-RVEA,DTLZ3,,0.0,30,
K-RVEA,DTLZ4,-0.8471001864315982,0.13333333333333333,30,
