problema,CSEA,PC-SAEA,CLMEA,MMRAEA,EIM,K-RVEA,θ-DEA-DP,ParEGO,EDN-ARMOEA,qNEHVI,JES,qPOTS,LBN-MOBO,NSGA-II,MOEA/D,NSGA-III,SMS-EMOA
ZDT1,28,30,30,30,23,28,24,28,24,11,0,27,14,30,30,30,30
ZDT3,28,30,30,30,23,28,5,28,24,0,0,27,12,30,30,30,30
ZDT4,29,30,30,30,29,30,30,30,27,27,23,30,30,30,30,30,30
ZDT6,29,30,30,30,27,30,30,30,28,26,2,30,29,30,30,30,30
DTLZ1,30,30,30,30,30,30,30,29,27,30,27,30,30,30,30,30,30
DTLZ2,30,30,30,30,28,30,30,30,28,27,0,29,30,30,30,30,30
DTLZ3,30,30,30,30,28,30,29,30,27,27,0,30,29,30,30,30,30
DTLZ4,30,30,30,30,28,30,30,0,28,27,0,29,29,30,30,30,30
DTLZ7,30,30,30,30,24,30,28,28,24,0,0,27,27,30,30,30,30
WFG1,28,30,30,30,24,30,27,28,24,2,0,27,27,30,30,30,30
WFG2,30,30,30,30,24,30,16,29,23,27,0,27,27,30,30,30,30
WFG4,30,30,30,30,23,30,5,29,23,27,0,27,27,30,30,30,30
WFG5,30,30,30,30,24,30,21,27,24,26,0,27,27,30,30,30,30
WFG9,30,30,30,30,23,30,6,28,24,27,0,27,27,30,30,30,30
MMF1,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30
MMF4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
MMF11_L,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
MMF16_20,30,30,30,30,24,30,29,28,24,1,0,30,27,30,30,30,30
BBOB_F1,30,30,30,30,24,30,30,30,27,27,13,30,29,30,30,30,30
BBOB_F5,29,30,30,30,17,30,30,30,28,27,14,30,30,30,30,30,30
BBOB_F17,30,30,30,30,30,30,30,30,28,27,21,30,30,30,30,30,30
BBOB_F22,30,30,30,30,19,30,30,30,28,27,18,30,29,30,30,30,30
BBOB_F37,30,30,30,30,29,30,30,29,28,27,20,30,30,30,30,30,30
BBOB_F49,30,30,30,30,30,30,30,30,28,27,23,30,29,30,30,30,30
BBOB_F55,27,30,30,30,24,30,30,30,28,27,8,30,29,30,30,30,30
RE21,30,30,30,30,30,28,30,30,30,30,0,30,30,28,30,30,30
ESTOQUE40,0,30,30,30,29,0,0,0,0,0,0,0,0,27,30,30,30
DDMOP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
