problema,CSEA,PC-SAEA,CLMEA,MMRAEA,EIM,K-RVEA,θ-DEA-DP,ParEGO,EDN-ARMOEA,qNEHVI,JES,qPOTS,LBN-MOBO,NSGA-II,MOEA/D,NSGA-III,SMS-EMOA
ZDT1,10.0,14.0,6.0,3.0,7.0,4.0,2.0,5.0,9.0,1.0,,15.0,8.0,11.0,16.0,13.0,12.0
ZDT3,7.0,13.0,8.0,5.0,4.0,2.0,3.0,1.0,9.0,,,14.0,6.0,10.0,15.0,12.0,11.0
ZDT4,11.0,8.0,13.0,3.0,12.0,6.0,1.0,15.0,10.0,2.0,14.0,16.0,17.0,4.0,9.0,7.0,5.0
ZDT6,15.0,11.0,6.0,3.0,2.0,7.0,5.0,4.0,9.0,1.0,,10.0,8.0,14.0,16.0,13.0,12.0
DTLZ1,5.0,11.0,7.0,12.0,8.0,14.0,2.0,10.0,15.0,9.0,13.0,17.0,16.0,6.0,1.0,4.0,3.0
DTLZ2,11.0,13.0,5.0,2.0,6.0,9.0,3.0,4.0,8.0,1.0,,15.0,16.0,12.0,14.0,10.0,7.0
DTLZ3,11.0,12.0,4.0,7.0,9.0,13.0,2.0,8.0,15.0,5.0,,16.0,14.0,10.0,1.0,6.0,3.0
DTLZ4,6.0,9.0,7.0,8.0,13.0,11.0,1.0,,2.0,12.0,,14.0,15.0,5.0,10.0,4.0,3.0
DTLZ7,13.0,12.0,6.0,2.0,5.0,1.0,4.0,3.0,8.0,,,14.0,7.0,9.0,15.0,11.0,10.0
WFG1,3.0,6.0,9.0,7.0,11.0,5.0,15.0,8.0,10.0,,,14.0,13.0,2.0,12.0,4.0,1.0
WFG2,6.0,8.0,10.0,11.0,7.0,2.0,9.0,14.0,12.0,1.0,,15.0,16.0,4.0,13.0,5.0,3.0
WFG4,7.0,8.0,9.0,4.0,12.0,10.0,5.0,14.0,11.0,6.0,,15.0,16.0,2.0,13.0,3.0,1.0
WFG5,11.0,13.0,4.0,3.0,1.0,5.0,7.0,6.0,15.0,2.0,,14.0,9.0,10.0,16.0,12.0,8.0
WFG9,9.0,7.0,2.0,1.0,10.0,11.0,3.0,13.0,12.0,8.0,,15.0,16.0,5.0,14.0,6.0,4.0
MMF1,10.0,4.0,16.0,5.0,9.0,7.0,15.0,13.0,14.0,1.0,3.0,2.0,17.0,11.0,6.0,8.0,12.0
MMF4,14.0,12.0,3.0,9.0,6.0,7.0,10.0,4.0,8.0,1.0,2.0,5.0,17.0,13.0,16.0,11.0,15.0
MMF11_L,13.0,14.0,6.0,8.0,5.0,2.0,3.0,7.0,11.0,1.0,16.0,4.0,17.0,10.0,15.0,9.0,12.0
MMF16_20,8.0,3.0,10.0,6.0,1.0,2.0,5.0,4.0,12.0,,,13.0,14.0,9.0,15.0,11.0,7.0
BBOB_F1,15.0,14.0,2.0,3.0,4.0,6.0,7.0,5.0,9.0,1.0,10.0,8.0,17.0,11.0,16.0,13.0,12.0
BBOB_F5,14.0,15.0,4.0,2.0,3.0,5.0,7.0,6.0,9.0,1.0,10.0,8.0,17.0,12.0,16.0,13.0,11.0
BBOB_F17,10.0,13.0,9.0,2.0,14.0,6.0,1.0,12.0,8.0,7.0,5.0,15.0,17.0,4.0,16.0,11.0,3.0
BBOB_F22,15.0,12.0,5.0,1.0,7.0,4.0,2.0,6.0,9.0,3.0,8.0,10.0,17.0,14.0,16.0,13.0,11.0
BBOB_F37,14.0,13.0,4.0,1.0,9.0,3.0,2.0,8.0,7.0,5.0,6.0,15.0,17.0,11.0,16.0,12.0,10.0
BBOB_F49,13.0,12.0,8.0,1.0,16.0,5.0,3.0,7.0,4.0,6.0,2.0,14.0,17.0,9.0,15.0,10.0,11.0
BBOB_F55,15.0,13.0,10.0,3.0,7.0,6.0,4.0,8.0,9.0,2.0,5.0,1.0,17.0,12.0,16.0,14.0,11.0
RE21,13.0,14.0,4.0,3.0,1.0,8.0,7.0,6.0,9.0,2.0,,5.0,16.0,11.0,15.0,12.0,10.0
ESTOQUE40,,4.0,1.0,2.0,3.0,,,,,,,,,5.0,8.0,6.0,7.0
DDMOP7,,,,,,,,,,,,,,,,,
