problema,n,err_med,err_rel_med,otimista,dentro2s,melhorou,npg_ok
BBOB_F1,204,0.06840441081925863,0.6342588861931195,0.946078431372549,0.2549019607843137,0.10784313725490197,204
BBOB_F17,206,0.11344395541189906,1.5472321161926144,1.0,0.1650485436893204,0.03398058252427184,206
BBOB_F22,264,0.3026470745557109,0.9163616484427737,0.9848484848484849,0.16287878787878787,0.04924242424242424,264
BBOB_F37,515,0.2925964075955677,0.9011642816162162,0.9941747572815534,0.05242718446601942,0.027184466019417475,515
BBOB_F49,504,0.6244853680889465,0.8659347184109369,0.9742063492063492,0.14682539682539683,0.03968253968253968,504
BBOB_F5,214,0.06860147558726752,0.621568756756531,0.9252336448598131,0.19158878504672897,0.1542056074766355,214
BBOB_F55,201,0.05750078408526388,0.40093888443766595,0.8955223880597015,0.3482587064676617,0.208955223880597,201
DTLZ1,153,0.031125078709187147,1.0224527831847459,0.7908496732026143,0.7777777777777778,0.08496732026143791,153
DTLZ2,240,0.022680910710959942,0.6457171281544016,0.9791666666666666,0.5416666666666666,0.15416666666666667,240
DTLZ3,240,0.028901308423959375,0.9950106416882115,0.8958333333333334,0.8041666666666667,0.05,240
DTLZ7,440,0.010390690634372354,0.28576295289264814,0.8522727272727273,0.5363636363636364,0.125,440
MMF1,48,0.09036120468191777,0.8483861921445035,0.9583333333333334,0.4375,0.10416666666666667,48
MMF11_L,40,0.01708078480401981,0.18299619734211597,0.85,0.475,0.225,40
MMF16_20,400,0.013492899335576077,0.5593396373358808,0.95,0.5675,0.11,400
MMF4,40,0.018417196495602032,0.12978887980988352,0.75,0.725,0.15,40
WFG2,440,0.038546155175647814,0.2278759019984898,0.9886363636363636,0.5431818181818182,0.020454545454545454,440
WFG4,440,0.06043088228912427,0.2818824777096932,0.9977272727272727,0.3409090909090909,0.03636363636363636,440
WFG5,440,0.053923521134604316,0.3020789978344125,0.9681818181818181,0.3659090909090909,0.08636363636363636,440
WFG9,440,0.15913503229490206,0.4999844927018912,0.9727272727272728,0.45681818181818185,0.00909090909090909,440
ZDT1,603,0.012867060661408095,0.22093300160677704,0.8540630182421227,0.3814262023217247,0.20563847429519072,603
ZDT3,601,0.015807775118727746,0.2396123408720855,0.8768718801996672,0.3544093178036606,0.19633943427620631,601
ZDT4,200,0.13180596792756397,0.7800651673073575,0.965,0.195,0.04,200
ZDT6,200,0.1999024344351547,0.6424956704999987,0.87,0.61,0.02,200
