problema,D,M,n_linhas_3,n_online,n_sonda,n_blocos,blocos_2000,d47_null,n_extra_cols,n_sig_neg,n_sig_zero,sig_min,n_mu_nan,n_sig_nan,rows_gen_ok,n_gens,frac_nao_greedy,n_nao_greedy,rsid_frac,ftm_on_null,sonda_dX,wape_1,wape_last,corr_1,corr_last,cob_1,cob_last,cob_med,lit,lit_null
BBOB_F1,10,2,291680,85680,206000,103,103,True,2,0,0,0.00036598971928469837,0,0,204,204,0.47549019607843135,97,0.0011321195144724557,0,0.0,0.2533440915143283,0.2882119165233976,0.7000905215205313,0.7548719579435795,0.9415,0.536,0.7705,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 291680, ""pred_score"": 291680, ""pred_confianca"": 291680, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
BBOB_F17,10,2,294932,86932,208000,104,104,True,2,0,0,0.00011927251034649089,0,0,206,206,0.3640776699029126,75,0.0013573827819445084,0,0.0,0.5108619205173281,0.86079384782896,0.4824141464445485,-0.004956362109166024,0.9295,0.315,0.48324999999999996,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 294932, ""pred_score"": 294932, ""pred_confianca"": 294932, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
BBOB_F22,10,2,392720,126720,266000,133,133,True,2,0,0,0.0006990036927163601,0,0,264,264,0.3333333333333333,88,0.03601641414141414,0,0.0,0.2158604146791215,0.7697318160171872,0.6870011062797933,0.3782470560894338,0.957,0.127,0.5915,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 392720, ""pred_score"": 392720, ""pred_confianca"": 392720, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
BBOB_F37,10,2,894464,376464,518000,259,259,True,2,0,0,0.001075626234523952,0,0,515,515,0.23300970873786409,120,0.30600801139019934,0,0.0,0.2557670526703975,0.7144669840563508,0.6063424160858562,0.21037229149302675,0.963,0.4275,0.7725,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 894464, ""pred_score"": 894464, ""pred_confianca"": 894464, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
BBOB_F49,10,2,868880,362880,506000,253,253,True,2,0,0,0.0016577776987105608,0,0,504,504,0.18452380952380953,93,0.3867476851851852,0,0.0,0.10084498075332762,0.5829485437163815,0.06716209267378234,0.3365485139019246,0.9775,0.4725,0.8495,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 868880, ""pred_score"": 868880, ""pred_confianca"": 868880, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
BBOB_F5,10,2,308020,92020,216000,108,108,True,2,0,0,0.000636193435639143,0,0,214,214,0.2803738317757009,60,0.0009019778309063247,0,0.0,0.16804009920594096,0.3625941308575855,0.64823702556839,0.5931607873706098,0.9275,0.364,0.7555,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 308020, ""pred_score"": 308020, ""pred_confianca"": 308020, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
BBOB_F55,10,2,287816,83816,204000,102,102,True,2,0,0,0.0016519725322723389,0,0,201,201,0.2935323383084577,59,0.0010021952849098023,0,0.0,0.19149818810303484,0.13701301411457362,0.137309191726039,-0.017065989628480244,0.9475,0.997,0.966,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 287816, ""pred_score"": 287816, ""pred_confianca"": 287816, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
DTLZ1,7,3,202360,46360,156000,78,78,True,4,0,0,0.0003392436483409256,0,0,153,153,0.6209150326797386,95,0.017515099223468507,0,0.0,0.3204258292139352,0.5717952400064097,0.841527862046014,-0.04724225610001741,0.8855,0.3285,0.6615,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 202360, ""pred_score"": 202360, ""pred_confianca"": 202360, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
DTLZ2,12,3,362000,120000,242000,121,121,True,4,0,0,0.00045548166963271797,0,0,240,240,0.45,108,0.0015083333333333333,0,0.0,0.24214378796288855,0.35518750602929494,0.8864603440611315,0.9422595694560134,0.9375,0.229,0.7095,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 362000, ""pred_score"": 362000, ""pred_confianca"": 362000, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
DTLZ3,12,3,362000,120000,242000,121,121,True,4,0,0,0.0005636923597194254,0,0,240,240,0.6208333333333333,149,0.00135,0,0.0,0.27442013368961665,0.6666939340369531,0.8583446521043224,0.7279436612571243,0.923,0.1455,0.503,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 362000, ""pred_score"": 362000, ""pred_confianca"": 362000, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
