label,exp,problema,D,M,N,tier,dist,status,motivo_parada,maxfe,fe_final,n_geracoes,c1_rows,c1_all_init,c1_feidx_denso,c1_sid_denso,c2_rows,c3_rows,c3_regimes,c3_busca,c3_sonda,c3_ger_min,c3_ger_max,c3_ger_denso,c3_ger_nunique,pop_min,pop_max,pop_const,c3_rsid_null,c3_sonda_ger_null,c3_fetm,c3_fetm_uniq,c3_espaco,c3_transf_null,c3_flag,c3_predtipo,c3_predscore_null,c3_predconf_null,c3_sigma_nan,c3_sigma_min,c3_sigma_neg,c4_rows,c4_fit,c4_busca,c4_sonda,c4_ger,c4_nacum,m_fitseries,m_cachehits,m_tempo_total,m_aval_real,m_sonda_blocos,m_sonda_S,m_has_params,m_sigma_keys,j_lines,j_dec,j_sonda,j_footer,j_guard,j_other,j_dec_gerdenso,j_caminhos,j_ndsmembros_max,j_fe_uniq,j_fe_val,j_pwrong_stats,j_hdr_pesos,j_footer_nfinal,j_footer_nnd,j_footer_status,j_sonda_npontos,j_sonda_hashchk,c7_rows,c7_nd,c7_origem_ger,c7_osid_null,fman_n,doe_hash_eq,sonda_xhash
BBOB_F1,offline,BBOB_F1,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.9596861004829407,0,1,2.042491912841797,3054.755615234375,1.646496057510376,3056.798095703125,309,1,0,3062.8566,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,27,ok,20000,ok (conferido no arranque — load_sonda),50,27,801,True,50,True,27f3472236e83f148f1a132f03465154628970ebe9a5663ddc2f9997e10015d5
BBOB_F17,offline,BBOB_F17,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,5.015358924865723,0,1,1.1903789043426514,3378.228515625,0.7143292427062988,3379.4189453125,309,1,0,3383.8881,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,7,ok,20000,ok (conferido no arranque — load_sonda),50,7,801,True,50,True,7c3f3dead6f879c433b7e56daaed73a6ed433a77d0200f2d664c7616011d508f
BBOB_F22,offline,BBOB_F22,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,1.7068196535110474,0,1,0.969912052154541,3432.212646484375,0.6225650310516357,3433.1826171875,309,1,0,3437.3777,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,22,ok,20000,ok (conferido no arranque — load_sonda),50,22,801,True,50,True,debbf73cffb7ecc7c3504eca8f6c4c53429eb2123de916676901391bb894bb7d
BBOB_F37,offline,BBOB_F37,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,1.4536155462265015,0,1,0.8249108791351318,3015.553955078125,0.6449830532073975,3016.37890625,309,1,0,3021.202,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,9,ok,20000,ok (conferido no arranque — load_sonda),50,9,801,True,50,True,4d01f6da97ec48d33c03974254a5aa08b7e25c8e14d8c0bc26f8609f8027f46a
BBOB_F49,offline,BBOB_F49,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,2.195239305496216,0,1,0.9386558532714844,3584.720703125,0.6700947284698486,3585.659423828125,309,1,0,3589.5938,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,15,ok,20000,ok (conferido no arranque — load_sonda),50,15,801,True,50,True,e0018818d84148b133e5f4cf0f512d52c691059ee7363a42b2d7e0e79d73072a
BBOB_F5,offline,BBOB_F5,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,1.0284183025360107,0,1,0.7767481803894043,2976.82958984375,0.6426041126251221,2977.6064453125,309,1,0,2981.9469,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,21,ok,20000,ok (conferido no arranque — load_sonda),50,21,801,True,50,True,e3ec7d080a78160bfbdb4c07dd1e0d95edef6104b5fe37770e09eccfd72d927c
BBOB_F55,offline,BBOB_F55,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.3128972351551056,0,1,0.9733748435974121,2868.15283203125,0.6250298023223877,2869.1259765625,309,1,0,2872.6748,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,9,ok,20000,ok (conferido no arranque — load_sonda),50,9,801,True,50,True,efc793cea39883de53539fc48c9f3c11f9cda0db371cd6f0b3fc46cb948084b1
DTLZ1,offline,DTLZ1,7,3,216,,,ok,orcamento,216,216,381,216,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,215,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,31.62277603149414,0,1,0.1760849952697754,3050.1923828125,0.5370950698852539,3050.36865234375,216,1,0,3056.6153,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,216,0,False,105,4,ok,20000,ok (conferido no arranque — load_sonda),105,4,381,True,105,True,f9b86a17c9b741d4b9ca76a99235f023b4c78560fcbebed11274213d3e0a5a25
DTLZ2,offline,DTLZ2,12,3,371,,,ok,orcamento,371,371,381,371,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,370,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.01040226873010397,0,1,4.159631252288818,3254.552734375,1.2760319709777832,3258.71240234375,371,1,0,3264.702,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,371,0,False,105,83,ok,20000,ok (conferido no arranque — load_sonda),105,83,381,True,105,True,0b76bc415a0090927784e6dd24a327876b96f26debde70bcb64d5466fab158a7
DTLZ3,offline,DTLZ3,12,3,371,,,ok,orcamento,371,371,381,371,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,370,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,31.62277603149414,0,1,0.7302608489990234,3226.58447265625,1.3253099918365479,3227.314697265625,371,1,0,3234.0863,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,371,0,False,105,26,ok,20000,ok (conferido no arranque — load_sonda),105,26,381,True,105,True,29238ea596c36588066dab6374ac68f00ea191ec7301309eed9634afb6e56e5f
DTLZ4,offline,DTLZ4,12,3,371,,,ok,orcamento,371,371,381,371,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,370,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.003390680067241192,0,1,4.632136344909668,2992.1064453125,1.2105510234832764,2996.738525390625,371,1,0,3000.704,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,371,0,False,105,12,ok,20000,ok (conferido no arranque — load_sonda),105,12,381,True,105,True,8364ad15e1a2add56bdd6477a6ce32de45ddb4f4620ad76b7b441e973855a48d
