label,M,pop,n_vetores,n_ger,grupos,contidos,fora,tam_max,tam_medio,tam_p95,grupos_multi
BBOB_F1,2,50,50,801,11396,11396,0,20,1.1136363636363635,2.0,832
BBOB_F17,2,50,50,801,6301,6061,240,50,4.130772893191557,16.0,4126
BBOB_F22,2,50,50,801,5278,5269,9,29,1.6591511936339522,4.0,1333
BBOB_F37,2,50,50,801,11835,11835,0,18,1.2231516687790451,2.0,1621
BBOB_F49,2,50,50,801,13605,13595,10,23,2.1179713340683572,6.0,6219
BBOB_F5,2,50,50,801,10259,10258,1,20,1.1853007115703285,2.0,1345
BBOB_F55,2,50,50,801,11645,11645,0,20,1.6054959209961357,4.0,4250
DTLZ1,3,105,105,381,508,505,3,21,2.0669291338582676,4.0,239
DTLZ2,3,105,105,381,5225,5224,1,9,1.0886124401913875,2.0,304
DTLZ3,3,105,105,381,0,0,0,0,0.0,0.0,0
DTLZ4,3,105,105,381,14978,14914,64,22,2.21785285084791,6.0,8077
DTLZ7,3,105,105,381,9888,9883,5,15,1.5025283171521036,4.0,2688
MMF1,2,50,50,801,6660,6658,2,18,2.0454954954954956,5.0,2955
MMF11_L,2,50,50,801,2898,2895,3,17,1.1856452726017943,2.0,233
MMF16_20,3,105,105,381,5204,5201,3,18,1.1320138355111453,2.0,392
MMF4,2,50,50,801,3417,3417,0,12,1.215100965759438,2.0,477
WFG1,2,50,50,801,9290,9290,0,13,1.134983853606028,2.0,840
WFG2,2,50,50,801,8274,8274,0,20,1.302997341068407,3.0,1401
WFG4,2,50,50,801,7393,7393,0,14,1.3309887731638037,3.0,1740
WFG5,2,50,50,801,5588,5588,0,16,1.3525411596277739,3.0,1128
WFG9,2,50,50,801,6572,6572,0,15,1.3432744978697504,3.0,1483
ZDT1,2,50,50,801,8236,8236,0,13,1.122146673142302,2.0,637
ZDT3,2,50,50,801,8692,8692,0,19,1.4172802577082375,3.0,2195
ZDT4,2,50,50,801,12201,12180,21,22,2.9273830013933284,8.0,7553
ZDT6,2,50,50,801,6019,6019,0,11,1.2576840006645622,2.0,1074
swap_medium-lhs_DTLZ2,3,105,105,381,5312,5312,0,9,1.076242469879518,1.0,227
swap_medium-lhs_MMF16_20,3,105,105,381,19042,18965,77,22,2.080663795819767,5.0,9756
swap_medium-lhs_WFG9,2,50,50,801,7108,7108,0,20,1.3353967360720316,3.0,1551
swap_medium-lhs_ZDT1,2,50,50,801,3550,3545,5,21,1.4487323943661972,3.0,712
swap_medium-lhs_ZDT4,2,50,50,801,15608,15595,13,22,2.559520758585341,8.0,8732
swap_medium-mvns_DTLZ2,3,105,105,381,5636,5636,0,13,1.0644073811213626,1.0,194
swap_medium-mvns_MMF16_20,3,105,105,381,19096,19062,34,17,1.9998952660242983,5.0,9624
swap_medium-mvns_WFG9,2,50,50,801,11324,11324,0,20,1.6448251501236313,4.0,3701
swap_medium-mvns_ZDT1,2,50,50,801,4996,4992,4,28,1.3620896717373898,3.0,693
swap_medium-mvns_ZDT4,2,50,50,801,64,57,7,40,5.859375,19.399999999999977,39
swap_small-lhs_DTLZ2,3,105,105,381,5225,5224,1,9,1.0886124401913875,2.0,304
swap_small-lhs_MMF16_20,3,105,105,381,5204,5201,3,18,1.1320138355111453,2.0,392
swap_small-lhs_WFG9,2,50,50,801,6572,6572,0,15,1.3432744978697504,3.0,1483
swap_small-lhs_ZDT1,2,50,50,801,8236,8236,0,13,1.122146673142302,2.0,637
swap_small-lhs_ZDT4,2,50,50,801,12201,12180,21,22,2.9273830013933284,8.0,7553
swap_small-mvns_DTLZ2,3,105,105,381,5018,5017,1,15,1.1486648066958949,2.0,409
swap_small-mvns_MMF16_20,3,105,105,381,5788,5787,1,16,1.2579474775397375,2.0,915
swap_small-mvns_WFG9,2,50,50,801,7687,7687,0,20,1.4890074151164303,3.0,2042
swap_small-mvns_ZDT1,2,50,50,801,749,737,12,45,2.2857142857142856,8.0,251
swap_small-mvns_ZDT4,2,50,50,801,16359,16355,4,20,2.4367626383030747,8.0,8920
