label,problema,ngen,fbest_exato32,fbest_share,nfront1_igual,nfront1_share,dn_min,dn_max,dn_absmed
BBOB_F1,BBOB_F1,828,828,1.0,828,1.0,0,0,0.0
BBOB_F17,BBOB_F17,2461,2461,1.0,2038,0.8281186509548963,-1,3,0.2031694433157253
BBOB_F22,BBOB_F22,1144,1144,1.0,1141,0.9973776223776224,0,1,0.0026223776223776225
BBOB_F37,BBOB_F37,814,814,1.0,814,1.0,0,0,0.0
BBOB_F49,BBOB_F49,919,919,1.0,919,1.0,0,0,0.0
BBOB_F5,BBOB_F5,879,879,1.0,879,1.0,0,0,0.0
BBOB_F55,BBOB_F55,942,942,1.0,942,1.0,0,0,0.0
DTLZ1,DTLZ1,870,870,1.0,865,0.9942528735632183,0,1,0.005747126436781609
DTLZ2,DTLZ2,504,504,1.0,504,1.0,0,0,0.0
DTLZ3,DTLZ3,1077,1077,1.0,1077,1.0,0,0,0.0
DTLZ4,DTLZ4,2312,2312,1.0,1260,0.5449826989619377,0,7,0.6967993079584776
DTLZ7,DTLZ7,785,785,1.0,782,0.9961783439490446,0,1,0.003821656050955414
MMF1,MMF1,909,909,1.0,909,1.0,0,0,0.0
MMF11_L,MMF11_L,848,848,1.0,848,1.0,0,0,0.0
MMF16_20,MMF16_20,595,595,1.0,595,1.0,0,0,0.0
MMF4,MMF4,865,865,1.0,865,1.0,0,0,0.0
WFG1,WFG1,935,935,1.0,935,1.0,0,0,0.0
WFG2,WFG2,923,923,1.0,923,1.0,0,0,0.0
WFG4,WFG4,937,937,1.0,937,1.0,0,0,0.0
WFG5,WFG5,930,930,1.0,930,1.0,0,0,0.0
WFG9,WFG9,906,906,1.0,906,1.0,0,0,0.0
ZDT1,ZDT1,878,878,1.0,878,1.0,0,0,0.0
ZDT3,ZDT3,921,921,1.0,921,1.0,0,0,0.0
ZDT4,ZDT4,3845,3845,1.0,3845,1.0,0,0,0.0
ZDT6,ZDT6,950,950,1.0,950,1.0,0,0,0.0
swap_medium-lhs_DTLZ2,DTLZ2,408,408,1.0,408,1.0,0,0,0.0
swap_medium-lhs_MMF16_20,MMF16_20,512,512,1.0,512,1.0,0,0,0.0
swap_medium-lhs_WFG9,WFG9,905,905,1.0,905,1.0,0,0,0.0
swap_medium-lhs_ZDT1,ZDT1,852,852,1.0,852,1.0,0,0,0.0
swap_medium-lhs_ZDT4,ZDT4,5465,5465,1.0,5465,1.0,0,0,0.0
swap_medium-mvns_DTLZ2,DTLZ2,454,454,1.0,454,1.0,0,0,0.0
swap_medium-mvns_MMF16_20,MMF16_20,647,647,1.0,647,1.0,0,0,0.0
swap_medium-mvns_WFG9,WFG9,954,954,1.0,954,1.0,0,0,0.0
swap_medium-mvns_ZDT1,ZDT1,864,864,1.0,864,1.0,0,0,0.0
swap_medium-mvns_ZDT4,ZDT4,3660,3660,1.0,3660,1.0,0,0,0.0
swap_small-lhs_DTLZ2,DTLZ2,504,504,1.0,504,1.0,0,0,0.0
swap_small-lhs_MMF16_20,MMF16_20,595,595,1.0,595,1.0,0,0,0.0
swap_small-lhs_WFG9,WFG9,906,906,1.0,906,1.0,0,0,0.0
swap_small-lhs_ZDT1,ZDT1,878,878,1.0,878,1.0,0,0,0.0
swap_small-lhs_ZDT4,ZDT4,3845,3845,1.0,3845,1.0,0,0,0.0
swap_small-mvns_DTLZ2,DTLZ2,557,557,1.0,557,1.0,0,0,0.0
swap_small-mvns_MMF16_20,MMF16_20,507,507,1.0,507,1.0,0,0,0.0
swap_small-mvns_WFG9,WFG9,944,944,1.0,944,1.0,0,0,0.0
swap_small-mvns_ZDT1,ZDT1,854,854,1.0,854,1.0,0,0,0.0
swap_small-mvns_ZDT4,ZDT4,5548,5548,1.0,5548,1.0,0,0,0.0
