exp,familia,n,wape_med,wape_max,corr_med,corr_min,cob_med,cob_min,n_corr_nan,nan_share
off,BBOB,14,0.07517750000000001,0.429217,0.9326635,0.191742,0.3709,0.0001,0,0
off,DTLZ,15,0.357898,2.059251,0.8839555,0.010539,0.8478,0.0379,3,0
off,MMF,9,0.126827,0.763552,0.96116,0.303807,0.832,0.577,0,0
off,WFG,10,0.22045900000000002,0.325786,0.1028685,0.005449,0.90465,0.8462,0,0
off,ZDT,8,0.0094915,0.186811,0.9910915,0.072266,0.9005000000000001,0.0805,0,0
sweep-medium-lhs,DTLZ,3,0.020604,0.023672,0.998987,0.99838,0.9924,0.8934,0,0
sweep-medium-lhs,MMF,3,0.145802,0.149822,0.962988,0.943178,0.9052,0.8898,0,0
sweep-medium-lhs,WFG,2,0.280158,0.28991,0.1843185,0.115598,0.9175,0.9162,0,0
sweep-medium-lhs,ZDT,4,0.0109095,0.250075,0.9975590000000001,-0.271317,0.77585,0.0832,0,0
sweep-medium-mvns,DTLZ,3,0.047405,0.052586,0.99503,0.991354,0.9895,0.9163,0,0
sweep-medium-mvns,MMF,3,0.235368,0.248061,0.905983,0.892069,0.9786,0.9646,0,0
sweep-medium-mvns,WFG,2,0.3423105,0.407525,0.013854500000000006,-0.16412,0.9598,0.9423,0,0
sweep-medium-mvns,ZDT,4,0.032846,0.340545,0.984518,-0.174213,0.80545,0.515,0,0
sweep-small-lhs,DTLZ,3,0.091535,0.107393,0.9811,0.97927,0.9915,0.8748,0,0
sweep-small-lhs,MMF,3,0.155287,0.158159,0.960199,0.944846,0.8954,0.8945,0,0
sweep-small-lhs,WFG,2,0.2843865,0.295453,0.15554600000000002,0.099462,0.9137,0.9102,0,0
sweep-small-lhs,ZDT,4,0.007095000000000001,0.186811,0.997144,0.072266,0.75135,0.0805,0,0
sweep-small-mvns,DTLZ,3,0.155369,0.1603,0.958853,0.955151,0.9954,0.8794,0,0
sweep-small-mvns,MMF,3,0.242032,0.250665,0.908953,0.904891,0.9593,0.9437,0,0
sweep-small-mvns,WFG,2,0.3374185,0.385004,-0.014241999999999998,-0.126663,0.9593,0.9543,0,0
sweep-small-mvns,ZDT,4,0.019738000000000002,0.360289,0.9829589999999999,-0.169393,0.47475,0.3502,0,0
