problema,D,M,maxfe,fe_final,esperado_maxfe,init_esperado,n_init,n_real,n_geracoes,n_gen_ev,n_timing,n_fit_series,N_subpop,wmax,kernel,ds,N_esperado,status,termino,footer_status,cache_hits_man,cache_hits_footer,cp_init,fallback,guards,n_guards,n_sonda_ev,n_blocos_man,sonda_S,sonda_k,sonda_linhas,sonda_falhas,n_online,n_sonda_rows,n_pop,n_pop_gen,sigma0_nan,sigma1_nan,sigma2_nan,rsid_notna,modelo_flag,pred_tipo,espaco,transf,n_ev,ev_counts,tempo_total_s,lote_soma,lote_min,lote_max,n_lote0,niveis,ramo_QU_share,doe_hash,sonda_xhash
BBOB_F1,10,2,309,309,309,109,109,309,60,59,59,59,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,12,12,True,False,"{""cache_hit"": 12, ""hard_stop"": 1}",13,31,31,2000,2,62000,0,11800,62000,4539,60,0.0,0.0,,1257,RBF-MQ3,valor,cru;None,None,105,"{""header"": 1, ""guard"": 13, ""sonda"": 31, ""c141_gen"": 59, ""footer"": 1}",29.69015,208,2,6,0,"{""3"": 59}",1.0,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,ec78b789a1099efc447ccab7d95bfaf64ea346d0f124161128a9b00293596311
BBOB_F17,10,2,309,309,309,109,109,309,58,57,57,57,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1}",1,30,30,2000,2,60000,0,11400,60000,621,58,0.0,0.0,,404,RBF-MQ3,valor,cru;None,None,90,"{""header"": 1, ""guard"": 1, ""sonda"": 30, ""c141_gen"": 57, ""footer"": 1}",29.0307,200,1,7,0,"{""3"": 57}",1.0,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,7870969e81b80a8dd0932e115da4e89aad02b36b5952547d7f38c577f2cd6214
BBOB_F22,10,2,309,309,309,109,109,309,52,51,51,51,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,2,2,True,False,"{""cache_hit"": 2, ""hard_stop"": 1}",3,27,27,2000,2,54000,0,10200,54000,1042,52,0.0,0.0,,386,RBF-MQ3,valor,cru;None,None,83,"{""header"": 1, ""guard"": 3, ""sonda"": 27, ""c141_gen"": 51, ""footer"": 1}",27.587792,199,2,7,0,"{""3"": 51}",1.0,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,35098edbafa5b0f2d4af0e0296832102e3622202f105318213e5624ca80aec3d
BBOB_F37,10,2,309,309,309,109,109,309,51,50,50,50,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,27,27,2000,2,54000,0,10000,54000,859,51,0.0,0.0,,605,RBF-MQ3,valor,cru;None,None,81,"{""header"": 1, ""guard"": 2, ""sonda"": 27, ""c141_gen"": 50, ""footer"": 1}",26.046152,199,1,8,0,"{""3"": 50}",1.0,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,6854c778f3072f3047db708a73f205aa6bc28042a72ce00629b15fc637527c0b
BBOB_F49,10,2,309,309,309,109,109,309,52,51,51,51,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,27,27,2000,2,54000,0,10200,54000,932,52,0.0,0.0,,378,RBF-MQ3,valor,cru;None,None,82,"{""header"": 1, ""guard"": 2, ""sonda"": 27, ""c141_gen"": 51, ""footer"": 1}",26.782008,199,2,8,0,"{""3"": 51}",1.0,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,b05414b87c93a5c57f1139068132a739828f002a1f89abd0a844f83a01df284a
BBOB_F5,10,2,309,309,309,109,109,309,57,56,56,56,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,6,6,True,False,"{""cache_hit"": 6, ""hard_stop"": 1}",7,30,30,2000,2,60000,0,11200,60000,3478,57,0.0,0.0,,1152,RBF-MQ3,valor,cru;None,None,95,"{""header"": 1, ""guard"": 7, ""sonda"": 30, ""c141_gen"": 56, ""footer"": 1}",29.287691,203,2,11,0,"{""3"": 56}",1.0,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,6ee21c7cf617da495f7133dcfa3e4e9a597a61f528be980b635f34c1f317f7de
BBOB_F55,10,2,309,309,309,109,109,309,55,54,54,54,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,29,29,2000,2,58000,0,10800,58000,1083,55,0.0,0.0,,575,RBF-MQ3,valor,cru;None,None,87,"{""header"": 1, ""guard"": 2, ""sonda"": 29, ""c141_gen"": 54, ""footer"": 1}",29.651213,199,1,7,0,"{""3"": 53, ""2"": 1}",0.9814814814814815,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,77bb776d485062b593475d2399e8e3f2ca9e1ca8b9bf364e411a3373d2b3d9fe
DTLZ1,7,3,216,216,216,76,76,216,32,31,31,31,76,20,MQ c=1 poly=0 x3,1e-14,76,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,17,17,2000,2,34000,0,4712,34000,499,32,0.0,0.0,1.0,141,RBF-MQ3,valor,cru;None,None,52,"{""header"": 1, ""guard"": 2, ""sonda"": 17, ""c141_gen"": 31, ""footer"": 1}",16.824012,139,2,8,0,"{""3"": 31}",1.0,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,90705f4ed8a52c5de97b2c4684958d17320b3b3e368547c82f7076d27f826c35
DTLZ2,12,3,371,371,371,131,131,371,66,65,65,65,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,34,34,2000,2,68000,0,13000,68000,6342,66,0.0,0.0,1.0,259,RBF-MQ3,valor,cru;None,None,103,"{""header"": 1, ""guard"": 2, ""sonda"": 34, ""c141_gen"": 65, ""footer"": 1}",44.794593,238,2,7,0,"{""3"": 65}",1.0,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,1bfc9edf738f794809f8dcf0e8f049897e29b38d349f4e7523ceae2b9bbe4d6d
DTLZ3,12,3,371,371,371,131,131,371,65,64,64,64,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1}",1,33,33,2000,2,66000,0,12800,66000,913,65,0.0,0.0,1.0,247,RBF-MQ3,valor,cru;None,None,100,"{""header"": 1, ""guard"": 1, ""sonda"": 33, ""c141_gen"": 64, ""footer"": 1}",43.678588,240,2,7,0,"{""3"": 64}",1.0,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,516dce80de451ebf743b7741581c88e39bc98e1bd9a17968f1bfcf77cbcb8a96
