problema,D,M,geracao,n_treino,lote_log,nivel,ramo_QU,n_front1_log,n_front1_rec,n_front2_log,n_front2_rec,lote_rec,fit1max_log,fit1max_rec,fit1min_log,fit1min_rec,fit1med_log,fit1med_rec,fit2med_log,fit2med_rec,fit3med_log,fit3med_rec,Qmin_log,Qmin_rec,Qmax_log,Qmax_rec,Umin_log,Umin_rec,Umax_log,Umax_rec,Upool_log,Upool_rec,s0_obsmax,s0_eq,s0_corr,s0_int,s0_max_teorico,s1_relmed,s1_relmed_ddof0,dmu_max,dmu_med,dmu_med_rel,rcond,solved,n_pool,fe_treino_max,hp_n
BBOB_F1,10,2,1,109,4,3,True,104,104,17,19,4,0.024436598660231734,0.02443657624254525,0.0012140773512657743,0.00022314549201253586,0.005983101816651459,0.006688164472077318,-4.191095429694231,-4.323282408344681,0.04402864020471698,0.043979191171876424,19.0,21,35.0,39,2.0,0,32.0,36,386,386,386.0,0.35,0.9967493628801047,1.0,398,0.03523719446068527,0.15473237027355585,3.03559621408904,1.974557257098656,0.10217679850724579,0.0016624658326186011,True,200,108,109
BBOB_F1,10,2,2,113,3,3,True,130,130,19,18,3,0.010144948330361808,0.0101449552277217,0.0,0.0,0.004681463481910751,0.004936553739178927,0.31850928164737446,0.28213873437502723,0.03273856759520644,0.03385778472916656,21.0,20,40.0,38,8.0,6,36.0,34,390,390,390.0,0.59,0.9985613488037034,1.0,398,0.01538188549723243,0.19568295273995062,1.2864710018326593,0.14224312479937673,0.00684368491900231,5.730068408087269e-05,True,200,112,113
BBOB_F1,10,2,3,116,4,3,True,128,128,33,35,4,0.01295279186584919,0.012952782616914432,0.00010890148718223011,0.00010890127532148242,0.0040729365728436485,0.0044175638519189375,0.7987257939431025,0.7917833195114646,0.024411778624029327,0.023322508213529908,40.0,43,62.0,65,14.0,10,60.0,64,376,376,376.0,0.38,0.9963650850522858,1.0,398,0.008219754001060581,0.185158777179434,1.2868828140888615,0.0839301644012842,0.004074775687588493,5.4524787891624713e-05,True,200,115,116
BBOB_F1,10,2,4,120,4,3,True,125,127,16,17,4,0.012456095978078285,0.01245608873274101,0.00011997927320177293,0.0001199804479508175,0.005516910867214259,0.00543316250398064,0.8279155031091374,0.8340436716794176,0.009224423816503428,0.009203567159077195,20.0,21,32.0,35,6.0,8,30.0,30,390,390,390.0,0.43,0.9971407486982192,1.0,398,0.004826890076963538,0.18350341671893713,0.4227347029226962,0.057335922332555356,0.0027775829626773174,4.7755408727337036e-05,True,200,119,120
BBOB_F1,10,2,5,124,4,3,True,132,134,20,20,5,0.011491374853536518,0.011491374686101244,0.00040432693318810664,0.0004043280264773297,0.0036108937009570966,0.003255867897816813,0.839165705571796,0.8393936895759796,0.012132964300848552,0.01213322107768739,22.0,22,40.0,39,8.0,6,36.0,36,378,378,378.0,0.465,0.9983655170481918,1.0,398,0.0028208176619302877,0.1840441227657746,0.2708211483558074,0.03243652591451163,0.001545070726775015,3.181524220467966e-05,True,200,123,124
BBOB_F1,10,2,6,128,4,3,True,145,145,13,14,3,0.011715992365508188,0.01171599443468209,0.001003774495148331,0.001003773194527116,0.004636644028388454,0.004868402269613565,0.9020816412802155,0.9028994127511829,0.014313236909396562,0.013523350644064104,16.0,18,27.0,29,4.0,2,24.0,26,392,392,392.0,0.49,0.9975721776906814,1.0,398,0.0027231723291002066,0.18350344506167968,0.3085507230847002,0.0314027564722148,0.00148974097388251,1.0128875289370702e-05,True,200,127,128
BBOB_F1,10,2,7,132,2,3,True,146,150,16,16,2,0.009893020170798267,0.009893006522024267,0.0,0.0,0.0037983151446129987,0.003798314346515147,0.8895019203776275,0.8871312417767295,0.00966727470419683,0.009667024836483124,19.0,19,33.0,33,4.0,4,30.0,30,366,366,366.0,0.5,0.9986973806359594,1.0,398,0.0025539152477240578,0.18371214645147801,0.31374318401915957,0.027950479956306395,0.001327292227109351,8.615422883645849e-06,True,200,131,132
BBOB_F1,10,2,8,134,3,3,True,138,142,14,17,4,0.011493939897749952,0.00945553568587662,0.002003446432564615,0.002003446882970189,0.005416210168856572,0.005480043969751297,0.9710255083680366,0.9778572148126743,0.006540924438119516,0.005990976087637877,16.0,19,28.0,34,4.0,4,26.0,32,386,386,386.0,0.595,0.9987875121915193,1.0,398,0.0021293956437047745,0.1839545714020073,0.3640313761738696,0.023878890571069178,0.0011335249471984624,8.521629305611933e-06,True,200,133,134
BBOB_F1,10,2,9,137,3,3,True,153,153,24,26,2,0.01020438417454747,0.010204403425131126,0.0,0.0,0.00453394704423273,0.004401621552132886,0.9299713678459618,0.9241279953116307,0.005927002368406668,0.00589076339537831,30.0,33,46.0,49,12.0,8,46.0,50,386,386,386.0,0.58,0.9991753290961991,1.0,398,0.0025308018077676857,0.1850479134974524,0.27018047103517984,0.027632424275847,0.0013135381442533009,8.372112728652595e-06,True,200,136,137
BBOB_F1,10,2,10,140,3,3,True,153,154,14,15,3,0.010989386155112246,0.010989382839039996,0.0002683246122813232,0.00026831977355097625,0.005352752611851114,0.005234391043095837,0.9027087161051668,0.9214055800850679,0.007815879238832167,0.0072208043582326995,17.0,20,28.0,30,4.0,2,26.0,28,390,390,390.0,0.705,0.9994984788600366,1.0,398,0.002111911663838708,0.18462920396607752,0.3279681928198954,0.025542220021839146,0.0012076091759689752,8.211063716895805e-06,True,200,139,140
