problema,D,M,geracao,N,lote,nivel,ramo_QU,n_front1,n_front2,entrada,sel,n_sub1,n_sub2,n_pool,rcond,n_treino,hp_n,hp_c,hp_poly,hp_bf,s0_min,s0_max,s0_med,s0_int,s0_teto,s1_min,s1_max,s1_med,s0_nan,s1_nan,mu_min,mu_max,dist_min,dist_min_med,dist_min_max,U_max,U_min,Q_med,U_pool_max,fit1_med,fit2_med,fit3_med,fit2_min,fit2_max,fit3_max,fit1_max
BBOB_F1,10,2,1,100,4,3,True,104,17,200,4,100,100,200,0.0016624658326186011,109,109,1,0,MQ,14.0,386.0,132.0,1.0,398,1.7593382596969604,2.5151631832122803,2.3197500705718994,0.0,0.0,-0.8987330198287964,72.6904525756836,"[4.571881103378383, 4.700001655453305, 4.698976085394582, 5.792482275131099]",4.699488870423943,5.792482275131099,32.0,2.0,27.0,386,0.005983101816651459,-4.191095429694231,0.04402864020471698,-4.329842083170382,-3.697449601926298,0.04798056102944195,0.024436598660231734
BBOB_F1,10,2,2,100,3,3,True,130,19,200,3,100,100,200,5.730068408087183e-05,113,113,1,0,MQ,10.0,390.0,160.0,1.0,398,0.011124346405267715,0.6046761274337769,0.42342062294483185,0.0,0.0,2.378416061401367,70.08668518066406,"[1.539661118712674, 0.7779302384336303, 1.352711209763643]",1.352711209763643,1.539661118712674,36.0,8.0,28.0,390,0.004681463481910751,0.31850928164737446,0.03273856759520644,-0.18489907821683715,0.721365316708809,0.07327792476847157,0.010144948330361808
BBOB_F1,10,2,3,100,4,3,True,128,33,200,4,100,100,200,5.452478789162568e-05,116,116,1,0,MQ,12.0,376.0,191.0,1.0,398,0.17734122276306152,0.5979338884353638,0.49891796708106995,0.0,0.0,1.7674325704574585,81.922119140625,"[1.091416223330554, 1.4119202358431084, 0.8714970421471395, 0.8810410296871944]",0.9862286265088742,1.4119202358431084,60.0,14.0,50.0,376,0.0040729365728436485,0.7987257939431025,0.024411778624029327,0.3184398422678143,0.986902757591908,0.03094875304047171,0.01295279186584919
BBOB_F1,10,2,4,100,4,3,True,125,16,200,4,100,100,200,4.775540872733631e-05,120,120,1,0,MQ,8.0,390.0,156.0,1.0,398,0.3126041889190674,0.8685653209686279,0.527582585811615,0.0,0.0,1.5032929182052612,80.9896240234375,"[0.6530489086872002, 1.0126763808680066, 1.16638481284063, 1.3680789709731773]",1.0895305968543183,1.3680789709731773,30.0,6.0,25.5,390,0.005516910867214259,0.8279155031091374,0.009224423816503428,0.6367819049981343,0.9533975347428072,0.01170604650366718,0.012456095978078285
BBOB_F1,10,2,5,100,4,3,True,132,20,200,4,100,100,200,3.1815242204680126e-05,124,124,1,0,MQ,10.0,378.0,220.0,1.0,398,0.3570178747177124,0.740261971950531,0.5556158423423767,0.0,0.0,1.3379383087158203,76.63286590576172,"[0.5270008641131301, 0.6264034722255282, 0.4809600685849684, 0.8084317545456707]",0.5767021681693292,0.8084317545456707,36.0,8.0,32.0,378,0.0036108937009570966,0.839165705571796,0.012132964300848552,0.6765330202587716,1.0724716898759876,0.027218756722256085,0.011491374853536518
BBOB_F1,10,2,6,100,4,3,True,145,13,200,4,100,100,200,1.0128875289370826e-05,128,128,1,0,MQ,18.0,392.0,180.0,1.0,398,0.3546561598777771,0.8287887573242188,0.5723970234394073,0.0,0.0,1.1673167943954468,79.53901672363281,"[0.758576562818567, 0.7016085947309252, 0.6767004221191281, 0.6897825436978605]",0.6956955692143929,0.758576562818567,24.0,4.0,20.0,392,0.004636644028388454,0.9020816412802155,0.014313236909396562,0.617109040907927,0.9962449091845684,0.022559399468650803,0.011715992365508188
BBOB_F1,10,2,7,100,2,3,True,146,16,200,2,100,100,200,8.615422883645151e-06,132,132,1,0,MQ,6.0,366.0,165.0,1.0,398,0.2801591157913208,0.9868481159210205,0.578331857919693,0.0,0.0,1.3909722566604614,76.85669708251953,"[0.438650719481599, 0.3153118864057211]",0.37698130294366006,0.438650719481599,30.0,4.0,24.5,366,0.0037983151446129987,0.8895019203776275,0.00966727470419683,0.8063905120903545,1.0976986318370034,0.013205422085130678,0.009893020170798267
BBOB_F1,10,2,8,100,3,3,True,138,14,200,3,100,100,200,8.52162930561206e-06,134,134,1,0,MQ,4.0,386.0,187.0,1.0,398,0.24031902849674225,1.186997413635254,0.5926631689071655,0.0,0.0,1.259138822555542,75.75733184814453,"[0.6909788911053419, 0.6589213421683836, 0.4005461173159708]",0.6589213421683836,0.6909788911053419,26.0,4.0,22.0,386,0.005416210168856572,0.9710255083680366,0.006540924438119516,0.4223134174417318,1.464933586375036,0.010256605476340414,0.011493939897749952
BBOB_F1,10,2,9,100,3,3,True,153,24,200,3,100,100,200,8.372112728653125e-06,137,137,1,0,MQ,10.0,386.0,197.0,1.0,398,0.3641636371612549,0.9782557487487793,0.577069103717804,0.0,0.0,1.0871684551239014,74.642578125,"[0.5513505902135413, 0.41736372587966936, 0.5580450829033308]",0.5513505902135413,0.5580450829033308,46.0,12.0,37.0,386,0.00453394704423273,0.9299713678459618,0.005927002368406668,0.633009846801631,1.3099083401569338,0.009799034358277352,0.01020438417454747
BBOB_F1,10,2,10,100,3,3,True,153,14,200,3,100,100,200,8.211063716895634e-06,140,140,1,0,MQ,18.0,390.0,184.0,1.0,398,0.3141936659812927,1.0736585855484009,0.6074844896793365,0.0,0.0,1.1973599195480347,78.6301498413086,"[0.6705328369452176, 0.4461361437554103, 0.27935322820470976]",0.4461361437554103,0.6705328369452176,26.0,4.0,21.5,390,0.005352752611851114,0.9027087161051668,0.007815879238832167,0.5786327138648701,1.0722481482464445,0.012870513444059338,0.010989386155112246
