problema,D,M,n_blocos,wape_1o,wape_ult,dwape_pct,wape_min,wape_max,corr_1o,corr_ult,sp_1o,sp_ult,sp_min,mu_min,mu_max,f_min,f_max,fora_envelope,wape_oficial_1o,wape_oficial_ult,cob_oficial,n_ckpt,viol_traj,igd_ini,igd_fim,viol_hv,nd_ini,nd_fim,ganho_igd,igd_plus,hv,n_nd,rank,n_alg,piso_melhor,piso_igd,razao_piso,melhor_sa,melhor_sa_igd
BBOB_F1,10,2,31,0.04695660731022758,0.040571411993230264,-13.598076357630207,0.040571411993230264,0.04720189748545147,0.9892697483995028,0.9927706085138608,0.9906629064157265,0.9940118108142808,0.9906629064157265,18.53348731994629,242.8736572265625,14.763695795609749,270.9023837092827,0.0,0.0469565,0.0453425,,20,0,1.6651151931674129,0.00410699859216444,0,1,144,405.433592391342,0.0041069985921644,1.0343345140391098,144,3,17,nsga2,0.1359531134257377,0.030208933717489186,c262,0.0014561014382336
BBOB_F17,10,2,30,0.3497565228269063,0.30796828558767875,-11.94780783542626,0.30796828558767875,0.3497565228269063,0.8790350435895202,0.9022849648183502,0.912997332249333,0.9113587528396881,0.9110626227656556,-11839488.0,70716264.0,5.459048947497467,75617627.44923729,0.0,0.3497565,0.3326185,,20,0,2.4167899424756034,0.018791997904365754,0,1,13,128.60739740260055,0.0187919979043657,1.123646211204058,13,2,17,nsga2,0.0206141256299147,0.9116078092148243,b4,0.0169204487831311
BBOB_F22,10,2,27,0.09394000141033511,0.08868738930781392,-5.591454144840268,0.08868738930781392,0.09394000141033511,0.9454422638607454,0.954814333946383,0.9471103977775994,0.9540855045213761,0.9471103977775994,-91820.703125,2206804.75,119.16705343135635,2404949.3001327273,0.0,0.09394,0.0902675,,20,0,6.550407018400444,0.03432876129811912,0,1,31,190.81396388046608,0.0343287612981191,1.016720295321096,31,1,17,smsemoa,0.1591300073706684,0.21572776791341203,c141,0.0343287612981191
BBOB_F37,10,2,27,0.20861043308302293,0.20448119291386785,-1.9794025198690446,0.20355744551328137,0.20861043308302293,0.887242950794043,0.8956741244764004,0.8948411167613946,0.8947499214374802,0.8929038417259605,-299.7998046875,4353.99853515625,141.98021355626378,9151.235795584553,0.0,0.20861049999999998,0.20420200000000002,,20,0,1.182738987190214,0.10243789708154276,0,1,18,11.545912410216001,0.1024378970815427,0.7462148262858331,18,1,17,smsemoa,0.2539185871646663,0.4034281153868885,c141,0.1024378970815427
BBOB_F49,10,2,27,0.1627634794730951,0.16368632029019037,0.5669827286088447,0.1624483064173251,0.16509831780121748,0.5620562306831794,0.5690037767686358,0.6598563899640975,0.6587316992326389,0.625717142364322,-149.0923309326172,4245.4775390625,18.67290489189384,15524.46540508632,0.0,0.1627635,0.16296699999999997,,20,0,1.3383037553621309,0.08085179268006555,0,1,24,16.552555125869176,0.0808517926800655,0.9520945399479708,24,1,17,nsga2,0.2070601036537373,0.3904749937499907,c141,0.0808517926800655
BBOB_F5,10,2,30,0.05792338752244435,0.05237149165248482,-9.584894992214089,0.05237149165248482,0.05792338752244435,0.9576592509961348,0.9619773657059778,0.9537595686898921,0.9584728826182205,0.9537595686898921,29.608503341674805,3172.616455078125,21.826101223243736,3545.579541089672,0.0,0.0579235,0.0551585,,20,0,0.9165469299595926,0.00865025829273786,0,1,107,105.95601876178196,0.0086502582927378,0.8831586926848581,107,2,17,smsemoa,0.1192824482234564,0.07251912097354792,c262,0.0048277052418038
BBOB_F55,10,2,29,0.05079360547564083,0.061897736481159524,21.861277421709936,0.05079360547564083,0.06192775044592358,0.36289813451588016,0.36394457301420974,0.42091843463745315,0.3949013975489608,0.39234358858589713,40.567108154296875,96.49242401123047,11.746767103956262,86.35472967115186,0.0,0.0507935,0.053803500000000004,,20,0,1.388541999942182,0.013118252746818312,0,1,47,105.84809019470657,0.0131182527468183,1.1299062011854102,47,1,16,nsga2,0.6061479210199184,0.0216419990763067,c141,0.0131182527468183
DTLZ1,7,3,17,0.40839140883817576,1.540508213300825,277.2136680552083,0.40839140883817576,2.031722249901906,0.7830270921527275,0.4986936011961621,0.8000782531175267,0.5195695888923972,0.5195695888923972,-6031.13330078125,16248.4306640625,0.0032249937978199067,455.91532310989555,1.0,0.40839133333333333,1.79678,,20,0,541.7753550899159,87.39428928697984,0,1,12,6.199207745838727,87.39428928697984,0.0,12,14,17,nsga2,45.34570273153767,1.927289335538241,c122,54.67301493709471
DTLZ2,12,3,34,0.14817663561264716,0.13252960312239273,-10.559716398985996,0.13252960312239273,0.14890888872752653,0.9580937374566235,0.97742148552459,0.9610073832518458,0.9770867937716984,0.9610073832518458,-0.3609754145145416,2.518225908279419,0.0001703590606139149,2.49151251754459,0.0,0.14817633333333333,0.147742,,20,0,1.6297304711986438,0.040861339601419175,0,1,173,39.88441120863401,0.0408613396014191,0.7101051315805995,173,2,16,smsemoa,0.1700820491933293,0.24024486884546367,c262,0.0306550164345873
DTLZ3,12,3,33,0.26292795306739897,0.3702215813141687,40.80723521217469,0.2577914060980873,0.3702215813141687,0.8689993232600545,0.7731680830143604,0.8848121737030433,0.7965068136267034,0.7872327333081831,-2067.849853515625,3907.1865234375,0.10013277895924598,1687.5761541303125,1.0,0.262928,0.2637026666666667,,20,0,914.1600619307801,226.76976469036148,0,1,9,4.0312255171186635,226.76976469036148,0.0,9,8,16,smsemoa,129.76799112603217,1.7475015427349883,c122,187.57772767667743
DTLZ4,12,3,33,2.9196580170193633,9.486704317622653,224.92518857765035,2.9196580170193633,11.819914599251922,0.3207279539993958,0.1402079091201178,0.4291503325662449,0.09172769818416765,0.0441902135393377,-4.45435905456543,7.2385172843933105,0.0,2.620832599209325,1.0,2.919658,6.482243666666666,,20,0,1.2302654075242083,0.4423259977113534,0,1,17,2.7813545075119843,0.4423259977113534,0.088543442620038,17,10,15,nsga3,0.2823977915542932,1.566322439268484,c122,0.116479171704431
DTLZ7,22,3,53,0.02267279558186951,0.021023225864509294,-7.275546199866545,0.020952286918052284,0.022858028614292498,0.9857620277965812,0.9802536812261063,0.9845062229959555,0.9787614454247028,0.970871073571141,-0.015674715861678123,25.715307235717773,0.00021070893853902817,25.757505139499017,0.0,0.022672666666666664,0.020980666666666665,,20,0,2.9506393479468724,0.03489657941702764,0,1,195,84.55382725870032,0.0348965794170276,0.5089345172615122,195,1,15,nsga3,1.1247085866087754,0.03102721881251735,c141,0.0348965794170276
MMF1,2,2,8,0.5739539983861246,4.08005677586797,610.8682555292755,0.5739539983861246,5.384239880766149,0.5766500913507514,0.2746610672988256,0.5588026674506668,0.3249864527782059,0.2879986132496533,-120.9065170288086,384.35955810546875,0.0003924872726202011,8.343179561218623,1.0,0.5739540000000001,4.4960925000000005,,20,0,2.8112970162129414,0.04349789211455172,0,1,14,64.63064943030778,0.0434978921145517,0.7784523291775182,14,7,17,nsga3,0.0570132770384747,0.7629432015493108,e81,0.0368606366708409
MMF11_L,2,2,8,0.07305788208462762,0.32814397442473525,349.1561554503114,0.07305788208462762,0.38235942417592866,0.9769994866806708,0.7420854441908065,0.9510547762636941,0.7907260525377136,0.7907260525377136,-28.41832733154297,37.08364486694336,0.10013407040387393,19.789631966091175,1.0,0.073058,0.2100375,,20,0,0.5728206234612008,0.01839275855134883,0,1,15,31.1438124880508,0.0183927585513488,1.0054381784003663,15,5,17,nsga3,0.0231565498976292,0.7942788814680841,c238,0.0119608514985232
MMF16_20,20,3,61,0.1839855648340946,0.16816677935065458,-8.597840541296975,0.16688498775484692,0.1839855648340946,0.9367935733378118,0.9484581813680837,0.9377986009496501,0.9487979311994827,0.9377986009496501,-0.6660245060920715,3.441451072692871,0.00011317769946711867,2.9991929308816587,0.0,0.1839856666666667,0.16957833333333336,,20,0,0.8559201840763245,0.027116430015726924,0,1,186,31.564633824581996,0.0271164300157269,0.7355657909901534,186,4,15,smsemoa,0.0316158421272363,0.8576848880570141,c238,0.0189070252046334
