problema,n_ciclos,Pa_med,Pa_min,Pa_max,Pb_extra,Pb_extra_pct,n_front2_ok
BBOB_F1,59,3.0,1,6,55,93.22033898305085,18
BBOB_F17,57,2.0,1,6,50,87.71929824561404,42
BBOB_F22,51,3.0,1,6,47,92.15686274509804,43
BBOB_F37,50,3.0,1,7,46,92.0,46
BBOB_F49,51,3.0,1,8,49,96.07843137254902,42
BBOB_F5,56,3.0,1,9,54,96.42857142857143,24
BBOB_F55,54,3.0,1,7,46,85.18518518518519,44
DTLZ1,31,3.0,1,7,24,77.41935483870968,30
DTLZ2,65,3.0,1,6,63,96.92307692307692,60
DTLZ3,64,3.0,1,6,55,85.9375,55
DTLZ4,63,3.0,1,6,60,95.23809523809524,3
DTLZ7,102,3.0,1,7,92,90.19607843137256,92
MMF1,12,2.0,1,4,12,100.0,12
MMF11_L,12,2.0,1,5,10,83.33333333333333,11
MMF16_20,119,2.0,1,6,111,93.27731092436974,71
MMF4,11,2.0,1,6,8,72.72727272727273,10
WFG1,124,2.0,1,8,112,90.3225806451613,109
WFG2,141,2.0,1,5,111,78.72340425531915,131
WFG4,125,3.0,1,7,112,89.6,108
WFG5,121,3.0,1,7,114,94.21487603305785,104
WFG9,124,3.0,1,7,102,82.25806451612904,120
ZDT1,173,2.0,1,6,147,84.97109826589596,168
ZDT3,181,2.0,1,6,145,80.11049723756906,162
ZDT4,57,2.0,1,6,50,87.71929824561404,56
ZDT6,64,2.0,1,7,52,81.25,26
