it,caminho,fe,n_train,cache_hit,sol,dist,ls0,ls1,noise0,noise1,mll,acqf
1,infill,22,21,False,21.0,0.16470080620522123,1.2220609326744576,0.38155705136180795,0.000257061785354415,0.022475356937576452,0.01452881609426937,1.1868788210189303
2,infill,23,22,False,22.0,0.20206630512479604,1.2672800653970944,0.37392608618155787,0.00020890117674124406,0.005372477924711667,0.022940307508966806,1.6158978350531594
3,infill,24,23,False,23.0,0.18105091703366222,1.3162292265046207,0.3654004213422887,0.0001722909411530915,0.00617153011550557,0.040552484678853196,1.1393554473846992
4,infill,25,24,False,24.0,0.14078277797683258,1.358897274121806,0.3516953002083684,0.00013861164461419396,0.006805708987146453,0.08658352060519725,1.1041802194309676
5,infill,26,25,False,25.0,0.11557084245058996,1.3988750257512497,0.28729877831296646,0.00010853561077528262,0.01450313434520016,0.12193657973986677,1.032663603859802
6,infill,27,26,False,26.0,0.10882014244497212,1.4442259459425135,0.15979839469556456,0.0001,0.006590152750510976,0.2327436528108794,1.2660027434777117
7,infill,28,27,False,27.0,0.26739159531975104,1.4765704520422995,0.16748560224260747,0.0001,0.007382091622587752,0.273392131869935,0.8510467228408531
8,infill,29,28,False,28.0,0.11795126759413957,1.4735553078672468,0.17006492080377053,0.0001,0.00754133739074907,0.3032388861721913,0.6977236048169702
9,infill,30,29,False,29.0,0.10478411048422026,1.479137521181469,0.17798612488859172,0.0001,0.008043718236869979,0.34261226147219254,0.8094990531314794
10,infill,31,30,False,30.0,0.08220888814004979,1.5092075586192772,0.18298430418416792,0.0001,0.008313433305037504,0.3769505544268106,0.6401273331853417
11,infill,32,31,False,31.0,0.23384110341286793,1.5271365881798693,0.1640659974819331,0.0001,0.00623161061642027,0.4150040848439578,0.9384716407092952
12,infill,33,32,False,32.0,0.0640278396148702,1.5172610880430637,0.163686168826835,0.0001,0.00610032065437764,0.446447888781943,0.7010702437078793
13,infill,34,33,False,33.0,0.10850902217606036,1.532978091641566,0.1270894587684191,0.0001,0.00664215863816669,0.45108743790401945,0.7900209115740098
14,infill,35,34,False,34.0,0.0476077960781892,1.1660647759766047,0.10923873516768887,0.0001,0.0061358573850171004,0.4453849810911799,0.8172512223039581
15,infill,36,35,False,35.0,0.12706374765339756,1.5421687678975897,0.254728911509291,0.0001,0.029900705186832723,0.49043297957393606,0.39048763359672845
16,infill,37,36,False,36.0,0.14306045304396783,1.4794124865975684,0.25445673711849437,0.0001,0.029591238676145305,0.5086413602177197,0.25502956441981395
17,infill,38,37,False,37.0,0.09917404247735989,1.2326652023634428,0.24686710323099503,0.0001,0.027370773843380252,0.546136662416048,0.2805495212123197
18,infill,39,38,False,38.0,0.09726476312047616,1.2396372575734826,0.2956530107550683,0.0001,0.032656619861553875,0.5827588403098098,0.19620503643725673
19,infill,40,39,False,39.0,0.019396842292494276,1.252147952868483,0.3000411325758363,0.0001,0.03239837186451108,0.6062042027926409,0.24671355555213204
20,infill,41,40,False,40.0,0.08502487488435417,1.6171137174803596,0.30516473092660645,0.0001,0.02787722047861512,0.6769606245108446,0.23363452147149788
21,infill,42,41,False,41.0,0.1119102073702044,1.6385016802315442,0.3046877210523312,0.0001,0.027353480766384428,0.7011795687561143,0.24020624436548843
22,infill,43,42,False,42.0,0.08314355523691858,1.656842326228753,0.31136832014922594,0.0001,0.027031376132324755,0.7261324557223021,0.16725320959637102
23,infill,44,43,False,43.0,0.13179005798193477,1.6609472399312488,0.31228882123192536,0.0001,0.027791137841636174,0.7472235419106972,0.17832489624140901
24,infill,45,44,False,44.0,0.07399836657912726,1.6718416760766477,0.3150099985645007,0.0001,0.027446087602368344,0.7717622720644767,0.16854573052540722
25,infill,46,45,False,45.0,0.08269631812719788,1.6846148748723293,0.3255397423924443,0.0001,0.027521331319124844,0.7919048738423494,0.1389277871277974
26,infill,47,46,False,46.0,0.09394251525708705,1.6908292531285716,0.3307466133460784,0.0001,0.027789406548291668,0.8109439266656256,0.13583999336208663
27,infill,48,47,False,47.0,0.0696532198457816,1.6849785580410948,0.3554124380171735,0.0001,0.030193215720056895,0.8307201543691654,0.136187373382461
28,infill,49,48,False,48.0,0.025205376326216774,1.6973168057399126,0.35723477149662025,0.0001,0.029850546662688552,0.8491745807241063,0.12775455425911852
29,infill,50,49,False,49.0,0.12960790376504763,1.3446760646289995,0.3551389211841957,0.0001,0.030316906265486856,0.8582061905163725,0.12356821517232852
30,infill,51,50,False,50.0,0.04670184504031613,1.6903646172539746,0.3536648581975229,0.0001,0.02971660791273661,0.8892766740562326,0.1288836754438627
31,infill,52,51,False,51.0,0.13927379497470277,1.70019022737082,0.3588414712704598,0.0001,0.03011581107979813,0.9033790974028636,0.10782224288036302
32,infill,53,52,False,52.0,0.09683549111990496,1.3561979433064326,0.3592635870729984,0.0001,0.029596460330336066,0.917974343097183,0.15746184701619015
33,infill,54,53,False,53.0,0.15510315762934782,1.3648437200153003,0.3313053523786406,0.0001,0.029016507633174912,0.9329200330272693,0.125793184454285
34,infill,55,54,False,54.0,0.01222262845784251,1.3608290913092758,0.3298739998234106,0.0001,0.028689291913386518,0.9489854418975134,0.14360232950371454
35,infill,56,55,False,55.0,0.13952576623156573,1.3634171077437338,0.33346716914073243,0.0001,0.02698801493368537,0.9795318358991563,0.1099782135612406
36,infill,57,56,False,56.0,0.027946491531523093,1.3674668633922573,0.33517417752526457,0.0001,0.02673399174496142,0.9959525003500448,0.11426276971456284
37,infill,57,57,True,35.0,0.0,1.3705505945898768,0.339310747322728,0.0001,0.026704463787219385,1.0107036546942525,0.1367742969779684
38,infill,58,57,False,57.0,0.05771932182802352,1.3705505945898768,0.339310747322728,0.0001,0.026704463787219385,1.0107036546942525,0.12247181129582518
39,infill,59,58,False,58.0,0.05888623907767565,1.3738098948116646,0.3407129725245137,0.0001,0.02641249222861669,1.0248028587660256,0.10910709890737724
40,infill,59,59,True,35.0,0.0,1.377105969755759,0.34305945554358164,0.0001,0.02611989871721166,1.0402133904032693,0.10133964621401148
41,infill,60,59,False,59.0,0.038403821414930595,1.377105969755759,0.34305945554358164,0.0001,0.02611989871721166,1.0402133904032693,0.11013077609634836
42,infill,61,60,False,60.0,0.054453967395432845,1.3800212400680167,0.34535933826951526,0.0001,0.02583267676712869,1.054502638637821,0.12207940101384729
43,hard_stop,61,61,,,0.04252936720130507,1.3877697824882074,0.34723220945206756,0.0001,0.025487862080964752,1.0706427014011592,0.09984247217208875
