problema,x_min_1,x_max_1,x_min_3,x_max_3,fora_1,lb_por_dim,ub_por_dim
BBOB_F1,-5.0,4.994968414306641,-5.0,5.0,0,-4.94;-4.95;-4.96;-4.95,4.95;4.93;4.96;4.91
BBOB_F17,-5.0,5.0,-5.0,5.0,0,-5;-4.99;-5;-5,4.94;5;5;5
BBOB_F22,-5.0,5.0,-5.0,5.0,0,-4.93;-4.97;-4.96;-5,5;4.97;5;4.93
BBOB_F37,-5.0,4.998353958129883,-5.0,5.0,0,-4.98;-4.93;-5;-5,4.93;4.97;4.94;4.93
BBOB_F49,-5.0,5.0,-5.0,5.0,0,-4.91;-4.91;-4.94;-5,4.93;4.99;4.98;4.94
BBOB_F5,-5.0,5.0,-5.0,5.0,0,-4.99;-4.99;-4.98;-4.97,4.98;4.91;5;4.92
DTLZ1,0.0,1.0,0.0,1.0,0,0;0;0;0,1;1;1;1
MMF1,-1.0,2.9986140727996826,-1.0,3.0,0,1;-1,3;1
MMF11_L,0.10000000149011612,1.100000023841858,0.10000000149011612,1.100000023841858,0,0.1;0.1,1.1;1.1
MMF4,-0.9922366738319397,1.995041847229004,-1.0,2.0,0,-0.992;0.0139,0.977;2
ZDT4,-5.0,5.0,-5.0,5.0,0,0;-5;-5;-5,0.999;5;5;5
