problema,D,n_it,marcada_eh_ultima,n_com_marca,idx_bit_rel_med,its_com_empate,pct_empate,empates_med,empates_max,x_distintos_med,x_distintos_min
BBOB_F1,10,201,200,200,0.40816326530612246,0,0.0,1.0,1,50.0,50
BBOB_F17,10,201,200,200,0.4489795918367347,129,64.17910447761194,2.0,35,50.0,50
BBOB_F22,10,201,200,200,0.3673469387755102,31,15.422885572139304,1.0,28,50.0,50
BBOB_F37,10,201,200,200,0.3469387755102041,50,24.875621890547265,1.0,50,50.0,50
BBOB_F49,10,201,200,200,0.2653061224489796,1,0.4975124378109453,1.0,11,50.0,50
BBOB_F5,10,201,200,200,0.46938775510204084,2,0.9950248756218906,1.0,7,50.0,50
DTLZ1,7,141,140,140,0.5588235294117647,82,58.156028368794324,2.0,21,35.0,25
MMF1,2,41,40,40,0.6666666666666666,28,68.29268292682927,3.0,7,10.0,7
MMF11_L,2,43,42,42,0.8888888888888888,20,46.51162790697674,1.0,6,9.0,4
MMF4,2,41,40,40,0.5555555555555556,29,70.73170731707317,2.0,9,10.0,7
ZDT4,10,201,200,200,0.40816326530612246,131,65.17412935323384,3.0,38,50.0,48
