problema,obj,n,r_noise_cob,r_noise_wape,noise_ini,noise_fim,noise_max,cob_no_noise_max,wape_no_noise_max,cob_ini,cob_fim,cob_min,bloco_cob_min,noise_no_cob_min
BBOB_F1,0,102,-0.8943797105404719,0.9631093694889439,0.0019675025635739,0.0001,0.0019675025635739,0.9925,0.050419,0.9925,0.995,0.99,12,0.0012077970348124
BBOB_F1,1,102,-0.8493083448259467,0.9646762829919996,0.0020381371161633,0.0001,0.0020381371161633,0.996,0.044908,0.996,0.997,0.995,22,0.0007354697695034
BBOB_F17,0,102,0.7311367236635388,0.9413445122963534,0.0004572035504528,0.0001,0.0004572035504528,0.9945,0.032907,0.9945,0.97,0.969,194,0.0001
BBOB_F17,1,102,0.9916951260291531,0.9759051597595106,0.0045019173620567,0.000632221335377,0.0045089894026294,0.9335,0.385862,0.9335,0.8005,0.8005,201,0.000632221335377
BBOB_F22,0,102,0.9008021858386811,0.8817179222066411,0.002672227214336,0.0001,0.002672227214336,0.985,0.106564,0.985,0.891,0.8845,198,0.0001
BBOB_F22,1,102,-0.5736463435655861,0.985816426933045,0.0033391415078066,0.0004096875155769,0.0035068278490161,0.9975,0.039986,0.996,1.0,0.996,1,0.0033391415078066
BBOB_F37,0,102,-0.6676840103603632,0.9235016886630542,0.0031112467179364,0.0002998701289404,0.0031112467179364,0.993,0.043347,0.993,1.0,0.99,8,0.0020632927035803
BBOB_F37,1,102,0.968470233379252,0.9866038103530129,0.005472254456704,0.0004017877673294,0.005472254456704,0.9535,0.369273,0.9535,0.863,0.863,201,0.0004017877673294
BBOB_F49,0,102,0.948891640283961,0.9742721005801419,0.005473624210927,0.00034746751268,0.005473624210927,0.9415,0.266505,0.9415,0.894,0.8935,184,0.0003474340085705
BBOB_F49,1,102,-0.5016630577294082,-0.9357517412552304,0.0066752506407576,0.0006331219119239,0.0067640137604507,0.985,0.054439,0.9805,0.987,0.9785,2,0.006073542695334
BBOB_F5,0,102,-0.4324180361996409,0.9291880716885856,0.0024269795445993,0.0001,0.0024503786577384,0.989,0.051251,0.99,0.997,0.9085,178,0.0007104427742666
BBOB_F5,1,102,-0.7274227417234236,0.9554661997679399,0.0037977701076562,0.0004149340861994,0.0037977701076562,0.9945,0.044209,0.9945,0.999,0.9945,1,0.0037977701076562
DTLZ1,0,72,-0.7859573739692419,-0.9063301188324144,0.0069967662490899,0.1233643196543132,0.1376212501392716,0.8925,0.300833,0.92,0.8275,0.8145,132,0.1242756840783643
DTLZ1,1,72,-0.7855515379151043,-0.9483874192378008,0.0059870834882482,0.1617021397988532,0.1632269384918841,0.8085,0.25914,0.914,0.8035,0.8035,141,0.1617021397988532
DTLZ1,2,72,-0.9560011692233635,-0.877326314706276,0.0069949470766323,0.1172943256819011,0.1940968008245574,0.857,0.270546,0.941,0.876,0.848,126,0.1869136108645948
MMF1,0,22,0.7386078228406606,0.9412240123634118,0.0027231690718542,0.0003080430824894,0.0029207363233929,0.9845,0.018262,0.958,0.9395,0.9395,41,0.0003080430824894
MMF1,1,22,-0.752246258600019,-0.8386200009034361,0.0066970717198036,0.4408498490041924,0.4440075264350393,0.5525,0.741622,0.658,0.535,0.535,41,0.4408498490041924
MMF11_L,0,23,,0.8965279856355708,0.0002570617853544,0.0001,0.0002570617853544,1.0,0.001974,1.0,1.0,1.0,1,0.0002570617853544
MMF11_L,1,23,0.1562109622484365,-0.8696740212242684,0.0224753569375764,0.0254878620809647,0.0326566198615538,0.9115,0.117269,0.8375,0.8505,0.8375,1,0.0224753569375764
MMF4,0,22,0.28897465839285086,0.900072811305404,0.0019073960429861,0.0002570379954591,0.0019388958875011,0.955,0.018596,0.946,0.947,0.9335,12,0.0012619061707437
MMF4,1,22,0.9276344508581883,0.8329147261516467,0.0067795933284623,0.0061693720033599,0.0067795933284623,0.9195,0.311867,0.9195,0.87,0.8535,40,0.0059193674887245
ZDT4,0,102,0.15690801291134926,0.01344698021439543,0.0001666152383065,0.0001,0.0001666152383065,0.9905,0.011057,0.9905,0.988,0.9785,162,0.0001
ZDT4,1,102,-0.32720421320737003,-0.5167561450877816,0.0065465679674106,0.1715154018129107,0.2325549871087862,0.892,0.127187,0.9235,0.803,0.803,201,0.1715154018129107
