problema,wall_h,t_fit,t_busca,t_paths,paths_pct_busca,t_sonda,t_aval_real,inv1_viol,n_ger,exc_total,exc_sao_sonda,sonda_sem_exc,n_sonda,busca_por_it_s
BBOB_F1,8.441190972222222,561.7777,29767.774,545.4362,1.8323042898672905,12.5158,0.0263,0,201,102,True,0,102,148.09837810945274
BBOB_F17,6.561814972222222,756.9186,22804.7672,279.0507,1.2236507286073064,12.5112,0.0737,0,201,102,True,0,102,113.45655323383083
BBOB_F22,6.880765555555556,597.3217,24113.1509,742.2023,3.0779979898852625,12.6194,0.0549,0,201,102,True,0,102,119.9659248756219
BBOB_F37,6.728081166666667,644.9037,23515.1687,311.1219,1.323068968669572,12.5052,0.0633,0,201,102,True,0,102,116.99088905472637
BBOB_F49,5.915716333333333,622.4935,20613.8601,517.6769,2.511305002986801,12.2933,0.4983,0,201,102,True,0,102,102.55651791044777
BBOB_F5,7.9125747777777775,622.2531,27803.6701,684.3725,2.461446627508359,12.8575,0.0387,0,201,102,True,0,102,138.32671691542288
DTLZ1,2.0922603888888887,171.7249,7314.6657,228.4159,3.1227114042956194,10.8628,0.0223,0,141,72,True,0,72,51.877061702127655
MMF1,0.047670416666666666,19.4684,141.976,37.8849,26.684017016960613,1.5504,0.007,0,41,22,True,0,22,3.462829268292683
MMF11_L,0.05955666666666667,18.9207,184.6411,41.1459,22.284258488494707,1.5704,0.0074,0,43,23,True,0,23,4.293979069767442
MMF4,0.04821861111111111,22.5224,140.7597,36.1798,25.703237503347903,1.5428,0.0081,0,41,22,True,0,22,3.4331634146341465
ZDT4,6.5477097777777775,317.0994,23193.9903,481.5953,2.0763796732294053,12.4628,0.0277,0,201,102,True,0,102,115.39298656716419
