problema,n_recs,n_linhas,soma_campo,warn_na_hardstop,campo_na_hardstop,pct_its_com_warning,delta
BBOB_F1,201,201,200,1,False,100.0,1
BBOB_F17,24,24,24,0,False,11.940298507462687,0
BBOB_F22,180,180,179,1,False,89.55223880597015,1
BBOB_F37,174,174,173,1,False,86.56716417910448,1
BBOB_F49,143,143,143,0,False,71.14427860696517,0
BBOB_F5,201,201,200,1,False,100.0,1
DTLZ1,3,3,3,0,False,2.127659574468085,0
MMF1,1,1,1,0,False,2.4390243902439024,0
MMF11_L,4,4,4,0,False,9.30232558139535,0
MMF4,2,2,2,0,False,4.878048780487805,0
ZDT4,10,10,10,0,False,4.975124378109452,0
