problema,n,acc,pmais,pmenos,contr,st12,fam
BBOB_F1,190,0.5302631578947369,0.29210526315789476,0.23157894736842105,0.4763157894736842,2,BBOB
BBOB_F17,196,0.5820578231292517,0.31292517006802717,0.1488095238095238,0.5382653061224489,1,BBOB
BBOB_F22,138,0.5905797101449275,0.37681159420289856,0.1956521739130435,0.427536231884058,12,BBOB
BBOB_F37,186,0.52488282326992,0.2697132616487455,0.21994761510890543,0.510339123242349,3,BBOB
BBOB_F49,196,0.5928833071690215,0.30481423338566194,0.11904761904761904,0.576138147566719,1,BBOB
BBOB_F5,160,0.5666266025641026,0.3561698717948718,0.22291666666666665,0.4209134615384615,8,BBOB
BBOB_F55,178,0.5563958513396715,0.3431287813310285,0.2303370786516854,0.42653414001728607,5,BBOB
DTLZ1,140,0.5608630952380952,0.3488095238095238,0.2270833333333333,0.42410714285714285,0,DTLZ
DTLZ2,240,0.5260416666666666,0.11467013888888888,0.06258680555555556,0.8227430555555556,0,DTLZ
DTLZ3,240,0.54453125,0.3089409722222222,0.2198784722222222,0.47118055555555555,0,DTLZ
DTLZ4,240,0.5567708333333333,0.27335069444444443,0.15980902777777778,0.5668402777777778,0,DTLZ
DTLZ7,431,0.5973704563031709,0.3645011600928074,0.16976024748646557,0.46573859242072696,2,DTLZ
MMF1,42,0.5992063492063492,0.3634920634920635,0.16507936507936508,0.4714285714285714,0,MMF
MMF11_L,43,0.6573643410852713,0.3794573643410853,0.06472868217054263,0.555813953488372,0,MMF
MMF16_20,400,0.5001442307692308,0.0010576923076923077,0.0007692307692307692,0.9981730769230769,0,MMF
MMF4,38,0.5657894736842105,0.2894736842105263,0.15789473684210525,0.5526315789473685,1,MMF
WFG1,440,0.500189393939394,0.0037878787878787876,0.003409090909090909,0.9928030303030303,0,WFG
WFG2,440,0.5098484848484849,0.020075757575757573,0.0003787878787878788,0.9795454545454545,0,WFG
WFG4,440,0.4979166666666667,0.0018939393939393938,0.006060606060606061,0.9920454545454546,0,WFG
WFG5,440,0.5049242424242424,0.014015151515151513,0.004166666666666667,0.9818181818181818,0,WFG
WFG9,441,0.5170068027210885,0.05479969765684051,0.020786092214663644,0.9244142101284959,0,WFG
ZDT1,586,0.6142064846416383,0.3856797497155859,0.15726678043230943,0.45705346985210465,3,ZDT
ZDT3,581,0.5859294320137693,0.3448221457257602,0.17296328169822145,0.4822145725760184,4,ZDT
ZDT4,181,0.5179558011049724,0.2803513245502196,0.24443972234027483,0.47520895310950556,4,ZDT
ZDT6,155,0.644044665012407,0.5002481389578164,0.21215880893300249,0.2875930521091811,9,ZDT
