problema,n12,lnum,wmax_pred,busca12,busca3,razao
BBOB_F1,2,13,230,2.656315,0.013826000000000001,192.1246202806307
BBOB_F17,1,13,230,2.704758,0.014299,189.15714385621374
BBOB_F22,12,13,230,2.5669655000000002,0.014128,181.6934810305776
BBOB_F37,3,13,230,2.730852,0.013884,196.69057908383752
BBOB_F49,1,13,230,2.7598,0.014054,196.37113988899955
BBOB_F5,8,13,230,2.6906670000000004,0.0140595,191.37714712471995
BBOB_F55,5,13,230,2.570082,0.014115,182.0816153028693
DTLZ7,2,13,230,2.7302255,0.014881,183.4705664941872
MMF4,1,5,600,5.355969,0.012836,417.2615300716734
ZDT1,3,13,230,2.845615,0.015131,188.06523032185578
ZDT3,4,13,230,3.032413,0.015671,193.5047540042116
ZDT4,4,13,230,2.503189,0.01405,178.16291814946618
ZDT6,9,13,230,2.619301,0.013238,197.86229037618978
