problema,dmin_q1,dmin_q4,dmin_med,front1_q1,front1_q4,front1_max
BBOB_F1,3.976979229022845,2.2361903561698955,2.860585622719953,7.297872340425532,11.25531914893617,14
BBOB_F17,4.409618935907569,3.474367742378602,3.8718992656036213,6.469387755102041,11.918367346938776,14
BBOB_F22,4.29730930678392,2.109705227436699,2.7736571240886594,6.529411764705882,7.5588235294117645,10
BBOB_F37,3.916023960709868,2.179794689402699,3.2238322391349294,6.826086956521739,7.956521739130435,12
BBOB_F49,4.271021107718646,3.400319128866856,4.06659686665278,6.346938775510204,11.081632653061224,15
BBOB_F5,4.454660143108764,1.9432639348255005,2.9798213573367502,4.4,8.625,10
BBOB_F55,4.417667092892509,2.3664097818697702,3.1977092235462203,2.8636363636363638,8.227272727272727,10
DTLZ1,0.30484546553846165,0.26144541476814337,0.2938159288785422,20.057142857142857,24.542857142857144,31
DTLZ2,0.5408491507806165,0.3907038422749892,0.4599965676921195,38.35,47.03333333333333,55
DTLZ3,0.5545177759551833,0.439173437395263,0.5317850819713354,24.016666666666666,32.083333333333336,38
DTLZ4,0.5614310426483142,0.39029422984502415,0.4897753919264414,30.366666666666667,41.56666666666667,47
DTLZ7,0.8753675372021531,0.4700092919999347,0.6778343049630007,21.710280373831775,13.074766355140186,28
MMF1,0.08588995849894607,0.1104121446315179,0.0892774273227433,7.4,11.6,14
MMF11_L,0.048767913000649823,0.05106774576211916,0.03780357223019887,10.3,13.4,19
MMF16_20,0.7942706520668881,0.7692871523466225,0.7792105667847936,66.55,230.83,251
MMF4,0.14780008705653586,0.0884952545354036,0.10632774787459245,13.11111111111111,21.333333333333332,22
WFG1,18.549535680670722,13.598045106073988,16.268786486061607,27.136363636363637,56.24545454545454,65
WFG2,17.584292039034317,11.313425168090971,14.113286626732823,9.363636363636363,17.4,20
WFG4,17.3432558553752,10.815571484772999,13.737494411912845,31.454545454545453,52.28181818181818,55
WFG5,22.09978943557542,18.051296434408982,21.11509656315932,31.59090909090909,41.7,49
WFG9,18.35936490097382,12.044845947800408,14.815452763581986,16.318181818181817,35.972727272727276,44
ZDT1,0.9949769875983427,0.34782191421028547,0.5215500475524721,11.479452054794521,14.698630136986301,19
ZDT3,1.0265915473238494,0.48176629577042873,0.7262860372270634,17.675862068965518,16.144827586206898,25
ZDT4,3.84485076198589,2.5618332010680955,3.2436056439441825,7.6,6.288888888888889,10
ZDT6,0.40201317418062776,0.16769192282026088,0.2087249539856171,8.052631578947368,6.184210526315789,11
