problema,n,subidas,frac_subidas,salto_max,range_var_med,range_var_max,gens_range_muda,eb_ini,eb_fim,eb_min,razao_med_best_ini,razao_med_best_fim,decai_pool
BBOB_F1,200,5,0.02512562814070352,3.9356291386224288e+298,0.0,0.2006216038643361,4,0.23977381384696117,0.0,0.0,0.999999956376982,0.0,0.0
BBOB_F17,200,97,0.48743718592964824,2.983673812634319,0.0,0.005399654962614735,8,0.2731937833954133,0.01965979297937956,0.015011709317028917,0.9999999845836994,0.9999999802496063,0.07196281207364492
BBOB_F22,200,91,0.457286432160804,3.077210108058361,0.0,0.2789483624778519,9,0.1467401465928394,0.005489178406715641,0.0034344578932520094,0.9999999991249406,0.9949792986468675,0.037219663553935786
BBOB_F37,200,98,0.49246231155778897,2.6670628234964386,0.0,0.09354769794456845,14,0.20260559293359653,0.01165423520876046,0.010386021315660342,0.999999999626457,0.9999998863675571,0.057521777755830485
BBOB_F49,200,99,0.49748743718592964,3.385999173246482,0.0,0.009073687875946914,7,0.15542388558122447,0.016228919243059907,0.008800469939583368,0.9999999901124502,0.9999999997582383,0.10441715144947522
BBOB_F5,200,92,0.4623115577889447,5551.045219172775,0.0,0.3182533869273279,12,0.35677878245668165,0.002013652055306489,3.781592234380194e-07,0.999999999545497,0.9999936152949168,0.005643943246237371
BBOB_F55,200,101,0.507537688442211,13.49510285582422,0.0,0.6530893428993609,24,0.010268538249165352,0.21874455603291923,0.010268538249165352,0.99999999999999,0.999999985710219,21.302404256505508
DTLZ1,140,67,0.48201438848920863,1.6518393847567328,0.0,0.391119348538637,8,0.31880791360525923,0.2752226748739251,0.06338973853661507,0.999999999998398,0.9999999999991095,0.8632868355171869
DTLZ2,240,115,0.4811715481171548,2.352344014422227,0.0,0.304154817533215,20,0.29067450923842014,0.0935963080482365,0.052805318209469446,0.9999999967440408,0.9999999927342986,0.3219969577592677
DTLZ3,240,128,0.5355648535564853,4.907044073677533,0.0,0.10520235303807021,9,0.2867736401068441,0.11364852487904423,0.0514590442316775,0.9999999998703434,0.9999999999840625,0.396300457913865
DTLZ4,240,120,0.502092050209205,7.0168660180484785,0.0,1.0465182216338451,14,0.4897341316656362,0.36107377893239534,0.03450662432949142,0.9999999985737156,0.9999982441708778,0.7372840121138486
DTLZ7,440,203,0.4624145785876993,555.0264913849404,0.0,0.8907640729506425,23,0.8554259419907694,3.7385799560551545e-05,3.4351860847593774e-05,0.9999999997044704,0.9999999390393821,4.3704306191057894e-05
MMF1,40,14,0.358974358974359,1383.5151049946887,0.0,0.02435965888387438,4,0.085323074443593,0.6772781488662456,0.04373122513965907,1.0,1.0,7.937807601084435
MMF11_L,40,20,0.5128205128205128,73.0267269754309,0.0,0.6691715511908333,5,0.29779147354596236,0.029395941640407146,0.016379567860625208,1.0,1.0,0.098713174324214
MMF16_20,400,197,0.49373433583959897,4.906654973494685,0.0,0.03504663129970474,16,0.265334034806048,0.18643574093622264,0.04337643514607873,0.9999999992619414,0.9999999966361445,0.7026454053772624
MMF4,40,14,0.358974358974359,151.51971720309407,0.0,0.061905330855931036,7,0.10241903390528678,0.8646991748456673,0.0797411747967139,1.0,1.0,8.44275855643501
WFG1,440,217,0.49430523917995445,2.376877610681516,0.0,1.9405502006901922,4,0.22000299301121476,0.4184981992929268,0.11550991878723549,0.9999991848621924,0.9983603472852145,1.8991212003087004
WFG2,440,224,0.510250569476082,5.170930249066875,0.0,0.183777227726932,9,0.17064620245826542,0.04238311033366954,0.007562529936416,0.999999691692774,0.9997489417440693,0.24830603996601575
WFG4,440,205,0.46697038724373574,1.2584792953140576,0.0,0.11869877723548786,17,0.17084399137514863,0.12263153389931418,0.05513407956911101,0.9999865891966548,0.9999224170169522,0.717752279573483
WFG5,440,215,0.489749430523918,8.211760470018717,0.0,0.19687911964177376,5,0.33037230913919025,0.040839039255359796,0.019707829470437692,0.999999084495924,0.9999999998267516,0.12361531371389717
WFG9,440,222,0.5056947608200456,3.0233307771469438,0.0,0.14202579280450925,9,0.5164741403746728,0.13444481187641039,0.13348614960321034,0.9999949828294108,0.999991188830816,0.260311778035764
ZDT1,600,283,0.4724540901502504,2270.6653747611904,0.0,0.46044237355720374,16,0.7509396335870036,0.0058524278166126546,5.27119556213724e-05,0.9999999967188419,0.9999992914812995,0.00779346758048398
ZDT3,600,286,0.4774624373956594,6.231312788807373e+17,0.0,0.7657290783123795,12,0.8572885322751287,2.843202143557529e-05,7.557534771640565e-23,0.9999999369485962,0.9988521920246047,3.3126990104332886e-05
ZDT4,200,92,0.4623115577889447,72.71998597104971,0.0,0.1963941286951884,5,0.05144820864062352,0.1555809874118424,0.0018330454357274178,0.9999997882155027,0.9965801475656046,3.013690084203144
ZDT6,200,87,0.4371859296482412,4.224916536045919e+22,0.0,4.381264698045614,11,0.9509822515140479,0.04469800947213022,1.9009568046307592e-28,0.9999999999998227,0.9999995377216978,0.04700191695276654
