problema,M,n_gens,err_med,err_p90,err_max,cob_frac,otim_frac
BBOB_F1,2,200,5.871201971507922e-05,0.00017098573982881067,0.009412000534113063,0.9825,0.5575
BBOB_F17,2,200,0.012553929307764928,0.07143228146161303,0.2761062365993012,0.885,0.75
BBOB_F22,2,200,0.015397720757903707,0.050561547046523395,0.22266791147750856,0.8675,0.7775
BBOB_F37,2,200,0.025815240932663724,0.08884675873396923,0.25922676278025897,0.935,0.7225
BBOB_F49,2,200,0.05134095286728833,0.1116325310456826,0.5699039072086095,0.92,0.91
BBOB_F5,2,200,0.0001178544423791842,0.04468271881562823,0.17734264240519315,0.85,0.6625
BBOB_F55,2,200,0.12261299130232352,0.5211536884159713,1.4618181951382776,0.5325,0.745
DTLZ1,3,140,0.06656695986592533,0.42719548881008573,1.1464547569708248,0.8,0.7333333333333333
DTLZ2,3,240,0.05254970947078691,0.18341123679270213,0.9883931773519954,0.7763888888888889,0.6958333333333333
DTLZ3,3,240,0.059246412823133414,0.2431107401241594,1.088492651932343,0.8708333333333333,0.6166666666666667
DTLZ4,3,240,0.057280574106150034,0.4651747320720098,2.030795244306156,0.7236111111111111,0.5805555555555556
DTLZ7,3,440,0.0002248533867497112,0.002835717352276671,0.056298020954281824,0.9545454545454546,0.7045454545454546
MMF1,2,40,0.2818586518534856,14.081125974769655,160.60644381977647,0.675,0.7125
MMF11_L,2,40,0.00031540465633515813,0.45253642363414376,4.833513004446175,0.75,0.725
MMF16_20,3,400,0.020239976548906115,0.27052794583092676,0.7680828968683878,0.7675,0.7083333333333334
MMF4,2,40,0.41003939760322744,12.028343559794083,37.830729125350445,0.6,0.675
WFG1,2,440,0.24630100738441246,0.4886205936112159,2.539661830220603,0.43863636363636366,0.8375
WFG2,2,440,0.0711146718626129,0.16948525044402762,0.732241389378173,0.4659090909090909,0.8909090909090909
WFG4,2,440,0.13493703736377471,0.2520720471364174,0.45759827734327374,0.4193181818181818,0.9511363636363637
WFG5,2,440,0.029782301856512972,0.09912322401629386,0.36255175271020723,0.8829545454545454,0.8022727272727272
WFG9,2,440,0.23748583631727105,0.5816612710098176,0.8641298145489058,0.6,0.6920454545454545
ZDT1,2,600,0.0014069050006795317,0.02942369360444761,0.6289703863799405,0.7983333333333333,0.7366666666666667
ZDT3,2,600,0.00010064548862478788,0.001278239986307284,0.09818420255980603,0.9608333333333333,0.6641666666666667
ZDT4,2,200,0.001232165399691947,0.3877445401196901,0.7397687733910936,0.7275,0.8025
ZDT6,2,200,0.005871251712030418,0.0809229363461356,3.4409805054759417,0.895,0.695
