problema,n_gens,ledger_ok,ledger_n,infill_entra_frente,frac_entra,nf_muda,eim_zero,eim_lt1e12,subidas
BBOB_F1,200,199,199,11,0.055,10,189,189,5
BBOB_F17,200,199,199,23,0.115,20,0,0,97
BBOB_F22,200,199,199,18,0.09,15,0,0,91
BBOB_F37,200,199,199,16,0.08,9,0,0,98
BBOB_F49,200,199,199,17,0.085,13,0,0,99
BBOB_F5,200,199,199,84,0.42,66,0,0,92
BBOB_F55,200,199,199,62,0.31,45,0,0,101
DTLZ1,140,139,139,45,0.32142857142857145,39,0,0,67
DTLZ2,240,239,239,102,0.425,81,0,0,115
DTLZ3,240,239,239,54,0.225,47,0,0,128
DTLZ4,240,239,239,18,0.075,24,0,0,120
DTLZ7,440,439,439,105,0.23863636363636365,83,0,0,203
MMF1,40,39,39,10,0.25,8,0,0,14
MMF11_L,40,39,39,22,0.55,19,0,0,20
MMF16_20,400,399,399,214,0.535,191,0,0,197
MMF4,40,39,39,13,0.325,8,0,0,14
WFG1,440,439,439,143,0.325,114,0,0,217
WFG2,440,439,439,40,0.09090909090909091,27,0,0,224
WFG4,440,439,439,48,0.10909090909090909,37,0,0,205
WFG5,440,439,439,142,0.32272727272727275,126,0,0,215
WFG9,440,439,439,23,0.05227272727272727,16,0,0,222
ZDT1,600,599,599,39,0.065,31,0,0,283
ZDT3,600,599,599,23,0.03833333333333333,20,0,4,286
ZDT4,200,199,199,31,0.155,25,0,0,92
ZDT6,200,199,199,20,0.1,21,0,10,87
