problema,D,init,doe_shape,u2_dx_max,u2_dx32_max,u2_ok,doe_hash_man,doe_hash_recalc,sidecar_hash,rec_census,guard_census,man_cache_hits,guard_cache_hits,dup_infill,n_opt
BBOB_F1,10,109,"(109, 10)",2.375113989927513e-07,0.0,True,f875df0bb01999e1,f875df0bb01999e1,f875df0bb01999e1,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
BBOB_F17,10,109,"(109, 10)",2.3787903291605517e-07,0.0,True,d15aed2c60ef23cc,d15aed2c60ef23cc,d15aed2c60ef23cc,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
BBOB_F22,10,109,"(109, 10)",2.345476923792944e-07,0.0,True,f363ce9265e27d44,f363ce9265e27d44,f363ce9265e27d44,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
BBOB_F37,10,109,"(109, 10)",2.3685163252906705e-07,0.0,True,6ff27d4d787c367a,6ff27d4d787c367a,6ff27d4d787c367a,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
BBOB_F49,10,109,"(109, 10)",2.365150315597475e-07,0.0,True,95bec03708fdb8c2,95bec03708fdb8c2,95bec03708fdb8c2,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
BBOB_F5,10,109,"(109, 10)",2.3727650955152058e-07,0.0,True,9c1c6f9e8c0acf91,9c1c6f9e8c0acf91,9c1c6f9e8c0acf91,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
BBOB_F55,10,109,"(109, 10)",2.3578255614609134e-07,0.0,True,156cb913846b92db,156cb913846b92db,156cb913846b92db,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
DTLZ1,7,76,"(76, 7)",2.968073053999376e-08,0.0,True,721bacf399101717,721bacf399101717,721bacf399101717,"{""header"": 1, ""guard"": 1, ""sonda"": 71, ""c238_gen"": 140, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,140
DTLZ2,12,131,"(131, 12)",2.976508484131557e-08,0.0,True,e9e359a6a4afa9d5,e9e359a6a4afa9d5,e9e359a6a4afa9d5,"{""header"": 1, ""guard"": 1, ""sonda"": 121, ""c238_gen"": 240, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,240
DTLZ3,12,131,"(131, 12)",2.9797159739608503e-08,0.0,True,b41f7d771c68d252,b41f7d771c68d252,b41f7d771c68d252,"{""header"": 1, ""guard"": 1, ""sonda"": 121, ""c238_gen"": 240, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,240
DTLZ4,12,131,"(131, 12)",2.974925017440455e-08,0.0,True,75dc5d1c4ceddd7c,75dc5d1c4ceddd7c,75dc5d1c4ceddd7c,"{""header"": 1, ""guard"": 1, ""sonda"": 121, ""c238_gen"": 240, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,240
DTLZ7,22,241,"(241, 22)",2.9791798028533378e-08,0.0,True,82fffdba6191f6b3,82fffdba6191f6b3,82fffdba6191f6b3,"{""header"": 1, ""guard"": 1, ""sonda"": 221, ""c238_gen"": 440, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,440
MMF1,2,21,"(21, 2)",1.1457521598146059e-07,0.0,True,b4682dc218d24077,b4682dc218d24077,b4682dc218d24077,"{""header"": 1, ""guard"": 1, ""sonda"": 21, ""c238_gen"": 40, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,40
MMF11_L,2,21,"(21, 2)",5.8479016962209585e-08,0.0,True,bc5b5476bae00728,bc5b5476bae00728,bc5b5476bae00728,"{""header"": 1, ""guard"": 1, ""sonda"": 21, ""c238_gen"": 40, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,40
MMF16_20,20,219,"(219, 20)",2.9796276557192414e-08,0.0,True,00c877887f6a3b86,00c877887f6a3b86,00c877887f6a3b86,"{""header"": 1, ""guard"": 1, ""sonda"": 201, ""c238_gen"": 400, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,400
MMF4,2,21,"(21, 2)",5.4513727754113006e-08,0.0,True,8e6e2b094ef93635,8e6e2b094ef93635,8e6e2b094ef93635,"{""header"": 1, ""guard"": 1, ""sonda"": 21, ""c238_gen"": 40, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,40
WFG1,22,241,"(241, 22)",1.9048635309104611e-06,0.0,True,737008bc4aa4e0f5,737008bc4aa4e0f5,737008bc4aa4e0f5,"{""header"": 1, ""guard"": 1, ""sonda"": 221, ""c238_gen"": 440, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,440
WFG2,22,241,"(241, 22)",1.9052260000762544e-06,0.0,True,4992992e00fb8ac2,4992992e00fb8ac2,4992992e00fb8ac2,"{""header"": 1, ""guard"": 1, ""sonda"": 221, ""c238_gen"": 440, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,440
WFG4,22,241,"(241, 22)",1.9042712366967862e-06,0.0,True,efcdbbe567fe9529,efcdbbe567fe9529,efcdbbe567fe9529,"{""header"": 1, ""guard"": 1, ""sonda"": 221, ""c238_gen"": 440, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,440
WFG5,22,241,"(241, 22)",1.8893242028639179e-06,0.0,True,83b71528d381b6ea,83b71528d381b6ea,83b71528d381b6ea,"{""header"": 1, ""guard"": 1, ""sonda"": 221, ""c238_gen"": 440, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,440
WFG9,22,241,"(241, 22)",1.9070339618565413e-06,0.0,True,9c1105d2d7e82f1b,9c1105d2d7e82f1b,9c1105d2d7e82f1b,"{""header"": 1, ""guard"": 1, ""sonda"": 221, ""c238_gen"": 440, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,440
ZDT1,30,329,"(329, 30)",2.978190016822424e-08,0.0,True,15afa53dfdb4e0cd,15afa53dfdb4e0cd,15afa53dfdb4e0cd,"{""header"": 1, ""guard"": 1, ""sonda"": 301, ""c238_gen"": 600, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,600
ZDT3,30,329,"(329, 30)",2.9800702572302384e-08,0.0,True,0e2102b5ae8bd3b4,0e2102b5ae8bd3b4,0e2102b5ae8bd3b4,"{""header"": 1, ""guard"": 1, ""sonda"": 301, ""c238_gen"": 600, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,600
ZDT4,10,109,"(109, 10)",2.374759207057764e-07,0.0,True,f238a513ec1ad671,f238a513ec1ad671,f238a513ec1ad671,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
ZDT6,10,109,"(109, 10)",2.979843327644005e-08,0.0,True,57a9736e2650080b,57a9736e2650080b,57a9736e2650080b,"{""header"": 1, ""guard"": 1, ""sonda"": 101, ""c238_gen"": 200, ""footer"": 1}","{""cache_hit"": 1}",1,1,0,200
