it,n,retries,mll,os0,os1,nz0,nz1,ls0,lsmax0,nb,nf,dmin,tfit
1,241,0,-0.9922684167399667,0.28251998090375585,0.5695438582759593,0.00046014166999731236,0.0009849973555273591,1.3369185083845685,1.5480251281019681,0,19,0.21859356461756774,0.5851
2,242,0,-1.3933155147631378,0.9893370973594182,0.993386602687029,7.283837447296713e-05,3.554778926205901e-05,0.3393248776924381,0.3443562893061698,1,19,0.029246200628084935,1.0196
3,243,0,-1.067418658060785,0.5396179623641012,0.5088074137450114,3.985052498529545e-05,1.8247331192871715e-05,0.34148820604017965,0.5389906052498225,2,19,0.034807718479551185,1.5505
4,244,0,-0.8697280989878914,0.37275074721484064,0.34347741798212883,2.7567222878634418e-05,1.2340751057015105e-05,0.3396665562576826,0.5186834074958128,3,19,0.02969705181063564,1.7255
5,245,0,-0.7232344229231729,0.2843752529493979,0.2594114526560045,2.115285568880539e-05,9.360750331210288e-06,0.3525761788968082,0.5257316038341824,4,19,0.24564858262692582,1.845
6,246,0,-0.631168313841799,0.23438049547374562,0.21277991045355782,1.720204997677774e-05,7.5672000512208905e-06,0.37026818582858295,1.12127436205501,5,19,0.15443240461876925,2.0309
7,247,0,-0.5404008461922156,0.19730691652701715,0.17877651942439948,1.4539652277638799e-05,6.365086669274657e-06,0.3792095828131382,1.088239174036244,6,19,0.283626538316252,1.8809
8,248,0,-0.4773716943701576,0.17224284643770443,0.1562399399766596,1.2612039409784081e-05,5.506559083959546e-06,0.4006799636067913,1.155051529883366,7,20,0.3073054229341264,1.6779
9,249,0,-0.4227251092312939,0.1530341127061252,0.1393257099006146,1.1156857782969954e-05,4.8614393844396816e-06,0.4311636018341621,1.118703708889153,8,20,0.32167168450264694,1.9764
10,250,0,-0.3742109186029241,0.1381001257914212,0.1259851368949665,1.002143347776569e-05,4.358390049746836e-06,0.4435704928156371,1.0844816265248758,9,20,0.3353764287641597,1.7721
11,251,0,-0.3303603116302304,0.1258251853592563,0.11506801736183468,9.10967959798629e-06,3.955616070925567e-06,0.47901402555589384,1.0710935547781648,9,20,0.35294015104140997,2.1062
12,252,0,-0.2911511879174283,0.11558639215160138,0.10612347700905303,8.361003251295644e-06,3.6260104554117283e-06,0.500791397075975,1.0819380026765444,10,20,0.3812945041634214,1.8298
13,253,0,-0.25652363078751933,0.10711606995328073,0.09872782109597003,7.734923363931904e-06,3.3513921202750926e-06,0.5089337714985401,1.131080968243114,11,19,0.3837766344283474,2.2761
14,254,0,-0.22454673551396653,0.09998817952641624,0.09247002776028501,7.202412384315912e-06,3.119433834781456e-06,0.5551798632650528,1.0804298496633875,9,19,0.38599741294984485,1.9686
15,255,0,-0.19536460116447818,0.09377761588058542,0.0871546414123044,6.7476944787259524e-06,2.9198678148846295e-06,0.5769195384198061,1.054548233742621,11,19,0.4480461049931845,2.1446
16,256,0,-0.17291530239520117,0.089028308697997,0.08297946933177175,6.349532746606133e-06,2.7478464628868265e-06,0.6065009148713364,1.2390040943595748,5,19,0.4821031610275943,1.9347
17,257,0,-0.14983500671535274,0.08459123559357262,0.07897622024007085,6.0007607368419474e-06,2.5974441639961117e-06,0.62726972172753,1.2972375660032718,3,19,0.43088338246330476,2.207
18,258,0,-0.12459357950717567,0.08124554166994087,0.0759511017184438,5.693485599688966e-06,2.464485235457231e-06,0.6835720033073406,1.2270262225638273,4,19,0.46103616210296355,2.0565
19,259,0,-0.10497850220234112,0.07778420736733291,0.07297908623941882,5.419517273533381e-06,2.3465395970217402e-06,0.7590084220747961,1.181863710722145,5,20,0.4478189545662282,2.1689
20,260,0,-0.08357360310544855,0.07443080841209948,0.06987624057087063,5.174552977694913e-06,2.241005114343718e-06,0.7528615377608876,1.1470190166282246,5,20,0.4244272701532758,2.042
21,261,0,-0.07018127283195934,0.0728516546345284,0.06707001413477741,4.954188090583482e-06,2.145780763604107e-06,0.7185504067415974,1.214456273354983,7,21,0.24813171881393553,2.075
22,262,0,-0.07676786401522173,0.07182047454638618,0.06625448192950636,4.972767119416352e-06,2.1534395307855956e-06,0.7488717024797156,1.2586777032923577,6,21,0.12529894698555932,2.7058
23,263,0,-0.08244920478268274,0.07404058232235289,0.06973240898646213,4.773400211054286e-06,2.066872162374339e-06,0.7392184919463581,1.1704699088320714,8,21,0.05431506111884642,2.6136
24,264,0,-0.08946121243529281,0.07039124035568348,0.06934028894679856,4.791558567775716e-06,2.0743943093960794e-06,0.7262976963030103,1.2485894015166394,7,20,0.10417632696898481,2.8853
25,265,0,-0.11866079338935201,0.06787302898181215,0.08299457380057919,4.608671992339645e-06,1.995857399965425e-06,0.7306168638678612,1.2979670834522592,8,21,0.14475035183949833,3.3534
26,266,0,-0.03397439402679046,0.0650624307466227,0.05779459386233736,4.443173757567971e-06,1.9244291952728033e-06,0.7379922917151968,1.3075096326612663,9,22,0.421478816056863,4.3293
27,267,1,-0.052919481863920995,0.06612555050216677,0.05969137405574867,4.288078354913794e-06,1.8572727604958227e-06,0.8397837753436731,1.356485344647396,9,22,0.3413125165220599,5.1881
28,268,0,-0.12821179561717289,0.07495338086849868,0.06985152929349128,4.148641231015451e-06,1.797597734698456e-06,0.9573474316738552,1.40883300078376,11,23,0.3049072227185486,3.962
29,269,3,-0.2503917392606903,0.07569478703262057,0.11785815172555923,4.163603534361704e-06,1.8041229480393936e-06,0.9544535703124545,1.4044866853799454,11,23,0.2141512415620108,7.812
30,270,0,-0.344123464636957,0.12586892196028013,0.1218006763002683,4.033619840494958e-06,1.747832105577614e-06,0.6537238261739997,0.8879883651376704,11,24,0.03270175674610848,2.7154
31,271,0,-0.574164514974556,0.07317753660477846,0.46510876149851876,4.048592268642283e-06,1.7541973210314838e-06,0.9578841222965959,1.413891707584286,12,24,0.19596002061389992,2.4272
32,272,0,-0.13143477624121003,0.07617546106265921,0.07016061895262357,3.9278726841017055e-06,1.7017561569243325e-06,0.9350068150881021,1.3033094060886241,12,24,0.22159789813753789,3.8708
33,273,0,-0.1223515636545433,0.07568788386757354,0.07016511279433335,3.817281881126436e-06,1.6526388295557553e-06,0.9723210304647745,1.2722990159069005,12,24,0.37497622274630094,3.086
34,274,1,-0.11237836424672226,0.07360866200477109,0.06870661328144226,3.7130290825469746e-06,1.6076801762724161e-06,1.0122177061435949,1.2850992852011291,13,24,0.26070586428478576,5.1797
35,275,1,-0.09774403038337293,0.07161310792232654,0.06783426142227383,3.616657576452967e-06,1.5653185500845771e-06,1.0338521397197773,1.2625860485474771,13,24,0.3696494121941644,7.0888
36,276,2,-0.09421445266586535,0.07272597417611047,0.07096264765588217,3.5263625102758854e-06,1.5260376989660623e-06,0.9958343003536362,1.2802076225471286,12,24,0.6182843551498929,7.7039
37,277,1,-0.0974226417705066,0.07201836913455811,0.07068098649712275,3.441762880513399e-06,1.4893218333597565e-06,1.0207938375812822,1.6550860921842812,15,25,0.9961084454920113,5.2175
38,278,2,-0.11457460638433031,0.07272565318385531,0.07225066018209506,3.3613718748911633e-06,1.4548523642318694e-06,1.0173010754997345,1.6566463603200052,14,25,1.0915033274127888,8.0219
39,279,0,-0.12034565033466904,0.0721113554858113,0.07172509695948828,3.285940059948433e-06,1.4226954747249408e-06,1.022026681360874,1.8040809718431383,13,26,0.9373111829451988,3.0974
40,280,0,-0.12950858986018549,0.07200460982739296,0.0720888311024625,3.215181642123298e-06,1.39243461687707e-06,1.1193545400225149,1.8605555078989526,14,26,1.2168739451405814,4.0539
