problema,igd,hv,piso_melhor,piso_alg,delta_pct,bate_piso,rank_SA,n_SA,hv_piso,igd_e81,hv_e81,igd_c154,igd_b3,igd_b1,alem_do_piso,alem
BBOB_F1,0.0014561014382336,1.0403226994233663,0.1359531134257377,nsga2,-98.92896793494252,True,1,13,0.794882237795319,0.0469515551150373,0.954264607811446,0.103299018237793,0.0412065514006254,0.032570490779905,True,True
BBOB_F17,0.0216919194598772,1.1116354081117172,0.0206141256299147,nsga2,5.22842369990426,False,4,13,1.1389302978381772,0.0287209863025261,1.0975736575512138,0.022178102876193,0.0273855805400489,0.0264478301377586,False,False
BBOB_F22,0.0510757488279859,0.9953184625788916,0.1591300073706684,smsemoa,-67.90313173994082,True,2,13,0.8364210321993655,0.2744287278956569,0.664293786314724,0.1767560389473812,0.0599255344899914,0.083442849589667,True,True
BBOB_F37,0.2344353383257915,0.6074849026788872,0.2539185871646663,smsemoa,-7.673029791332257,True,9,13,0.5475589034253596,0.3840170762957668,0.3951870014551313,0.2011868075349726,0.1572649032168013,0.205633133743002,False,False
BBOB_F49,0.1161096131479717,0.9162174720009444,0.2070601036537373,nsga2,-43.92468124031291,True,3,13,0.7833325681449697,0.3960335353340511,0.5677862419040169,0.1520568146150803,0.1511467023513817,0.1374301780540452,False,False
BBOB_F5,0.0048277052418038,0.8932188048405649,0.1192824482234564,smsemoa,-95.95271113755156,True,1,13,0.6744549289589444,0.0741954397539168,0.7681299472628389,0.1062638994517716,0.0303389079646851,0.035178295949926,True,True
BBOB_F55,0.2674844512531847,0.7986840833451776,0.6061479210199184,nsga2,-55.87142313329901,True,6,12,0.2847968270563726,0.0839347390588401,1.011087137853654,,0.0525601226054507,0.558756822784922,False,False
DTLZ1,77.77173997171971,0.0,45.34570273153767,nsga2,71.50851191380903,False,4,13,0.0,115.24365938433124,0.0,83.48756119703116,107.90095654288476,86.49558217812276,True,True
DTLZ2,0.0306550164345873,0.7302774577505178,0.1700820491933293,smsemoa,-81.97633637413301,True,1,12,0.3774027369489095,0.3445419552659433,0.1066395533672711,,0.1420440366274875,0.0900855558532233,True,True
DTLZ3,225.70073441422787,0.0,129.76799112603217,smsemoa,73.92635306731742,False,3,12,0.0,347.94205442010565,0.0,,426.7214887384964,225.3801074228402,True,True
DTLZ4,0.5919531214643767,0.1195027551650981,0.2823977915542932,nsga3,109.61676725809988,False,7,11,0.122251480929137,0.8196035272025544,0.0,,0.4298240303343262,,True,True
MMF1,0.038685793504745,0.7906903921323448,0.0570132770384747,nsga3,-32.14599210173733,True,2,13,0.7494280731304409,0.0368606366708409,0.7874289563251137,0.0552846674762097,0.0450406808380648,0.0634336250982687,False,False
MMF11_L,0.0165311383365109,1.0086556412532128,0.0231565498976292,nsga3,-28.611393279257967,True,4,13,0.9944925151806284,0.0280878655756214,0.9731748159357272,0.0468539955773992,0.0137555248377796,0.029949035721232,False,False
MMF4,0.021017978540486,0.4940012214225787,0.0377119334276083,nsga3,-44.26703531169506,True,1,13,0.4690277870473205,0.0288949165112906,0.4782062442017938,0.0274522534645026,0.0223485227594842,0.0252979624044177,False,False
WFG2,0.0565254541946007,0.6749189369974209,0.1227556938180429,nsga2,-53.9528860645872,True,1,12,0.5889726898088412,0.2293218732523223,0.4444401498755926,,0.1142921612591666,0.222579812031224,False,False
WFG4,0.0723318949908459,0.2800120180377756,0.044424346453198,smsemoa,62.82039189265079,False,3,12,0.3297560897295661,0.1301816837610373,0.2018208930616164,,0.1038205373773919,0.11446799614429,True,True
WFG5,0.0525619975816182,0.3403252409827246,0.0930752077028518,nsga2,-43.527391580553285,True,4,12,0.2729876378389645,0.1316901293261422,0.2137634713311957,,0.0541615136179472,0.0587307664670054,False,False
WFG9,0.0919140678837228,0.244705402327952,0.0955346891283579,nsga3,-3.7898498206976137,True,4,12,0.2561072713511255,0.2340761007115886,0.09255034148157,,0.1991034580783021,0.1840495498283721,False,False
ZDT1,0.000702785674901,0.8751996083017863,0.4440783896843883,nsga2,-99.84174287890916,True,1,12,0.2332217109349336,1.1348366679255055,0.0,,0.0195147937526374,0.0260620750571967,True,True
ZDT4,5.928104893929911,0.0,43.898268794314845,nsga2,-86.49581166467857,True,1,13,0.0,64.40387639929428,0.0,50.42486667521462,40.410159213164334,71.65713750280827,True,True
ZDT6,0.0024453730300986,0.6068385999452462,6.445675963031797,nsga2,-99.96206180633152,True,1,12,0.0,6.213994650680217,0.0,,1.5372928378696342,0.1433291658436653,True,True
