problema,obj,bl_ini,bl_fim,wape_ini,wape_fim,d,cob_fim,cob_med,corr_fim
BBOB_F1,0,1,201,0.048964,0.035414,-0.2767339269667511,0.9935,0.993,0.992526
BBOB_F1,1,1,201,0.043677,0.033755,-0.22716761682349979,0.9945,0.9945,0.993118
BBOB_F17,0,1,201,0.030769,0.012624,-0.5897169228769216,0.966,0.9802500000000001,0.999771
BBOB_F17,1,1,201,0.385394,0.33376,-0.13397717660368352,0.805,0.8574999999999999,0.890519
BBOB_F22,0,1,201,0.106207,0.089483,-0.15746608039018148,0.8505,0.90025,0.981129
BBOB_F22,1,1,201,0.039493,0.020024,-0.49297343833084345,0.9995,0.999,0.992212
BBOB_F37,0,1,201,0.042464,0.017296,-0.592690278824416,0.9975,0.9975,0.995105
BBOB_F37,1,1,201,0.368984,0.328257,-0.1103760596665437,0.8565,0.9007499999999999,0.853547
BBOB_F49,0,1,201,0.26602,0.240828,-0.09469964664310952,0.855,0.8855,0.831121
BBOB_F49,1,1,201,0.053585,0.05108,-0.046748157133526175,0.9825,0.985,0.244889
BBOB_F5,0,1,201,0.047022,0.031127,-0.33803326102675346,0.9935,0.994,0.994456
BBOB_F5,1,1,201,0.043415,0.044459,0.024046988368075464,0.9965,0.9965,0.966371
BBOB_F55,0,1,201,0.053527,0.055349,0.03403889625796335,0.9735,0.9725,0.328969
BBOB_F55,1,1,201,0.048746,0.050853,0.04322405941000297,0.99,0.986,0.325463
DTLZ1,0,1,141,0.346509,0.310617,-0.1035817251499962,0.945,0.948,0.871485
DTLZ1,1,1,141,0.33799,0.303252,-0.10277818870380777,0.872,0.90175,0.872204
DTLZ1,2,1,141,0.287399,0.286577,-0.00286013521271817,0.926,0.92525,0.803885
DTLZ2,0,1,241,0.135808,0.106453,-0.2161507422243167,0.9315,0.97075,0.98855
DTLZ2,1,1,241,0.129324,0.099344,-0.23182085305125108,0.934,0.95175,0.989116
DTLZ2,2,1,241,0.089381,0.040226,-0.5499490943265347,0.9855,0.98925,0.99579
DTLZ3,0,1,241,0.224595,0.225759,0.005182662125158612,0.7385,0.82125,0.912843
DTLZ3,1,1,241,0.239809,0.240265,0.0019015132876581443,0.8125,0.87925,0.892988
DTLZ3,2,1,241,0.205732,0.235931,0.14678805436198553,0.983,0.987,0.839667
DTLZ4,0,1,241,0.077197,0.113996,0.4766895086596629,0.9665,0.9705,0.081669
DTLZ4,1,1,241,1.052573,0.202307,-0.8077976539394417,0.988,0.99,0.970173
DTLZ4,2,1,241,1.76182,0.319097,-0.8188821786561624,0.9895,0.99175,0.983382
MMF1,0,1,41,0.024117,0.004132,-0.8286685740349131,0.9755,0.9632499999999999,0.999853
MMF1,1,1,41,0.825358,0.482418,-0.4155045446945447,0.942,0.93975,0.716785
MMF11_L,0,1,41,0.000719,7.9e-05,-0.8901251738525731,1.0,1.0,1.0
MMF11_L,1,1,41,0.140265,0.066143,-0.528442590810252,0.957,0.9215,0.985233
MMF4,0,1,41,0.020385,0.002956,-0.854991415256316,0.9695,0.93875,0.999931
MMF4,1,1,41,0.311746,0.245742,-0.21172364681503542,0.8255,0.8640000000000001,0.689707
WFG2,0,1,441,0.04623,0.054906,0.18767034393251142,0.9935,0.995,0.986217
WFG2,1,1,441,0.195666,0.077367,-0.6045966085063322,0.96,0.9835,0.942353
WFG4,0,1,441,0.086595,0.086076,-0.0059934176338126395,0.999,0.997,0.949091
WFG4,1,1,441,0.055535,0.051724,-0.06862339065454222,0.9725,0.9745,0.913661
WFG5,0,1,441,0.031604,0.025784,-0.18415390456904185,0.9525,0.965,0.986791
WFG5,1,1,441,0.042761,0.032794,-0.23308622342788998,0.929,0.955,0.979183
WFG9,0,1,441,0.234765,0.236352,0.006759951440802527,0.92,0.9475,0.38409
WFG9,1,1,441,0.263275,0.244325,-0.07197796980343746,0.856,0.9039999999999999,0.366898
ZDT1,0,1,640,0.012685,0.005048,-0.6020496649586125,0.9975,0.9975,0.999913
ZDT1,1,1,640,0.0167,0.014544,-0.12910179640718564,0.994,0.993,0.99374
ZDT4,0,1,201,0.009618,0.005571,-0.42077354959451024,0.989,0.9895,0.999873
ZDT4,1,1,201,0.140106,0.154715,0.10427105191783351,0.964,0.964,0.053608
ZDT6,0,1,202,0.088168,0.006717,-0.9238158969240541,0.9835,0.9845,0.997848
ZDT6,1,1,202,0.004157,0.045925,10.047630502766419,1.0,1.0,0.080401
