label,exp,tier,dist,problema,bloco,obj,D,M,N,I_eff,wape,corr,cobertura95,n_sigma_valido,nan_share,mu_min,mu_max,f_min,f_max,mae,mae_ref
BBOB_F1,off,small,lhs,BBOB_F1,0,0,10,2,309,4,0.19214805802197005,0.6793513021600278,0.9302922309337135,7015,0.64925,35.41421890258789,293.2401123046875,11.7104395000324,306.4568847955735,22.21156484286187,32.46468334442726
BBOB_F1,off,small,lhs,BBOB_F1,0,1,10,2,309,4,0.1620732475384711,0.7972907390405781,0.93145,20000,0.0,14.02147388458252,196.51071166992188,13.893290014977344,306.7031376047071,18.668736635687203,32.39175788971604
BBOB_F1,off,small,lhs,BBOB_F1,1,0,10,2,309,4,0.19214805802197005,0.6793513021600278,0.9302922309337135,7015,0.64925,35.41421890258789,293.2401123046875,11.7104395000324,306.4568847955735,22.21156484286187,32.46468334442726
BBOB_F1,off,small,lhs,BBOB_F1,1,1,10,2,309,4,0.1620732475384711,0.7972907390405781,0.93145,20000,0.0,14.02147388458252,196.51071166992188,13.893290014977344,306.7031376047071,18.668736635687203,32.39175788971604
BBOB_F17,off,small,lhs,BBOB_F17,0,0,10,2,309,4,0.06394225810151884,0.9963153839487503,0.0029,20000,0.0,1571712.5,67888392.0,42790.350406993566,77612566.26445545,1506180.4529950381,18992010.407207746
BBOB_F17,off,small,lhs,BBOB_F17,0,1,10,2,309,4,0.7733817613432509,0.10246273191479432,0.9305,20000,0.0,-16.671709060668945,839.6047973632812,3.9443131913733183,4057.614795059684,134.73963172484716,143.39258252921337
BBOB_F17,off,small,lhs,BBOB_F17,1,0,10,2,309,4,0.06394225810151884,0.9963153839487503,0.0029,20000,0.0,1571712.5,67888392.0,42790.350406993566,77612566.26445545,1506180.4529950381,18992010.407207746
BBOB_F17,off,small,lhs,BBOB_F17,1,1,10,2,309,4,0.7733817613432509,0.10246273191479432,0.9305,20000,0.0,-16.671709060668945,839.6047973632812,3.9443131913733183,4057.614795059684,134.73963172484716,143.39258252921337
BBOB_F22,off,small,lhs,BBOB_F22,0,0,10,2,309,4,0.31270314708669517,0.7559278731335837,0.3,20000,0.0,419498.34375,1803025.375,96.25394802238294,3056673.876379221,249085.45576155232,389169.17251014133
BBOB_F22,off,small,lhs,BBOB_F22,0,1,10,2,309,4,0.15040466356184445,0.3307832143108043,0.9353,20000,0.0,1707.5755615234375,2219.36328125,573.8273807651971,3703.486741069855,307.2466844460747,322.63107667873635
BBOB_F22,off,small,lhs,BBOB_F22,1,0,10,2,309,4,0.31270314708669517,0.7559278731335837,0.3,20000,0.0,419498.34375,1803025.375,96.25394802238294,3056673.876379221,249085.45576155232,389169.17251014133
BBOB_F22,off,small,lhs,BBOB_F22,1,1,10,2,309,4,0.15040466356184445,0.3307832143108043,0.9353,20000,0.0,1707.5755615234375,2219.36328125,573.8273807651971,3703.486741069855,307.2466844460747,322.63107667873635
BBOB_F37,off,small,lhs,BBOB_F37,0,0,10,2,309,4,0.14322249335018494,0.5882381564059361,0.9511867442901926,13398,0.3301,1752.3695068359375,2470.72509765625,539.4039240624936,4080.4874398681127,295.2232587969223,366.73655114684664
BBOB_F37,off,small,lhs,BBOB_F37,0,1,10,2,309,4,0.5037196494337653,0.595918456154964,0.93835,20000,0.0,208.42141723632812,4288.62890625,115.11127025807971,17129.738145474174,550.4748716947414,689.2082878481054
BBOB_F37,off,small,lhs,BBOB_F37,1,0,10,2,309,4,0.14322249335018494,0.5882381564059361,0.9511867442901926,13398,0.3301,1752.3695068359375,2470.72509765625,539.4039240624936,4080.4874398681127,295.2232587969223,366.73655114684664
BBOB_F37,off,small,lhs,BBOB_F37,1,1,10,2,309,4,0.5037196494337653,0.595918456154964,0.93835,20000,0.0,208.42141723632812,4288.62890625,115.11127025807971,17129.738145474174,550.4748716947414,689.2082878481054
BBOB_F49,off,small,lhs,BBOB_F49,0,0,10,2,309,4,0.7022565640204367,-0.320581358273865,0.9100201331887874,12914,0.3543,0.0,1446.0255126953125,125.8576342354904,22351.583398704202,1077.5441324825724,846.980022504087
BBOB_F49,off,small,lhs,BBOB_F49,0,1,10,2,309,4,0.05671093027696323,0.11371485164482789,0.9667,20000,0.0,72.9937744140625,81.58522033691406,18.071411226917274,86.48049390230561,4.455378134292501,4.442065698527019
BBOB_F49,off,small,lhs,BBOB_F49,1,0,10,2,309,4,0.7022565640204367,-0.320581358273865,0.9100201331887874,12914,0.3543,0.0,1446.0255126953125,125.8576342354904,22351.583398704202,1077.5441324825724,846.980022504087
BBOB_F49,off,small,lhs,BBOB_F49,1,1,10,2,309,4,0.05671093027696323,0.11371485164482789,0.9667,20000,0.0,72.9937744140625,81.58522033691406,18.071411226917274,86.48049390230561,4.455378134292501,4.442065698527019
BBOB_F5,off,small,lhs,BBOB_F5,0,0,10,2,309,4,0.22756429786961557,0.5670504506877216,0.9411764705882353,5984,0.7008,52.75334930419922,192.2440643310547,4.28091515182762,291.0874455282069,26.305563502039607,32.47548597147532
