label,exp,tier,dist,problema,D,M,N,Nmin,iteracao,obj,dtp,dgps,dentro,tp,ngps,nfolhas
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,2,1,101.0,1.0,True,201.0,2.0,3.0
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,3,1,108.0,1.0,True,309.0,3.0,3.0
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,2,0,100.0,1.0,True,202.0,2.0,3.0
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,2,1,196.0,1.0,True,309.0,2.0,2.0
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,3,0,107.0,1.0,True,309.0,3.0,3.0
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,2,0,147.0,1.0,True,309.0,2.0,2.0
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,2,1,182.0,1.0,True,309.0,2.0,2.0
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,2,0,102.0,1.0,True,207.0,2.0,3.0
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,3,1,191.0,1.0,True,309.0,2.0,2.0
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,2,0,100.0,1.0,True,200.0,2.0,3.0
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,3,1,172.0,1.0,True,309.0,2.0,2.0
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,2,1,175.0,1.0,True,309.0,2.0,2.0
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,2,0,71.0,1.0,True,142.0,2.0,3.0
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,2,1,71.0,1.0,True,141.0,2.0,3.0
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,2,2,121.0,1.0,True,216.0,2.0,2.0
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,3,0,74.0,1.0,True,216.0,3.0,3.0
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,3,1,75.0,1.0,True,216.0,3.0,3.0
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,2,0,143.0,1.0,True,371.0,2.0,2.0
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,2,1,120.0,1.0,True,245.0,2.0,3.0
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,2,2,142.0,1.0,True,371.0,2.0,2.0
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,3,1,126.0,1.0,True,371.0,3.0,3.0
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,2,1,190.0,1.0,True,371.0,2.0,2.0
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,2,2,152.0,1.0,True,371.0,2.0,2.0
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,3,0,135.0,1.0,True,371.0,2.0,2.0
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,2,0,340.0,1.0,True,681.0,2.0,2.0
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,2,1,340.0,1.0,True,681.0,2.0,2.0
MMF1,off,small,lhs,MMF1,2,2,61,20,2,0,20.0,1.0,True,40.0,2.0,3.0
MMF1,off,small,lhs,MMF1,2,2,61,20,2,1,27.0,1.0,True,61.0,2.0,2.0
MMF1,off,small,lhs,MMF1,2,2,61,20,3,0,21.0,1.0,True,61.0,3.0,3.0
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,2,0,30.0,1.0,True,61.0,2.0,2.0
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,2,1,20.0,1.0,True,41.0,2.0,3.0
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,3,1,20.0,1.0,True,61.0,3.0,3.0
