label,exp,tier,dist,problema,M,geracao,pop,teto,fase
BBOB_F1,off,small,lhs,BBOB_F1,2,1,6,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,10,6,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,25,6,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,50,6,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,51,10,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,52,14,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,100,43,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,204,50,50,build
BBOB_F1,off,small,lhs,BBOB_F1,2,205,31,50,final
BBOB_F1,off,small,lhs,BBOB_F1,2,704,50,50,final
BBOB_F1,off,small,lhs,BBOB_F1,2,1204,50,50,final
BBOB_F17,off,small,lhs,BBOB_F17,2,1,3,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,10,3,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,25,3,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,50,3,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,51,3,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,52,3,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,100,19,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,204,42,50,build
BBOB_F17,off,small,lhs,BBOB_F17,2,205,26,50,final
BBOB_F17,off,small,lhs,BBOB_F17,2,704,2,50,final
BBOB_F17,off,small,lhs,BBOB_F17,2,1204,2,50,final
BBOB_F22,off,small,lhs,BBOB_F22,2,1,3,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,10,3,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,25,3,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,50,3,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,51,5,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,52,7,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,100,24,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,204,42,50,build
BBOB_F22,off,small,lhs,BBOB_F22,2,205,32,50,final
BBOB_F22,off,small,lhs,BBOB_F22,2,704,27,50,final
BBOB_F22,off,small,lhs,BBOB_F22,2,1204,14,50,final
BBOB_F37,off,small,lhs,BBOB_F37,2,1,4,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,10,4,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,25,4,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,50,4,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,51,7,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,52,9,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,100,41,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,204,49,50,build
BBOB_F37,off,small,lhs,BBOB_F37,2,205,26,50,final
BBOB_F37,off,small,lhs,BBOB_F37,2,704,50,50,final
BBOB_F37,off,small,lhs,BBOB_F37,2,1204,50,50,final
BBOB_F49,off,small,lhs,BBOB_F49,2,1,4,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,10,4,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,25,4,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,50,4,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,51,5,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,52,7,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,100,33,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,204,37,50,build
BBOB_F49,off,small,lhs,BBOB_F49,2,205,24,50,final
BBOB_F49,off,small,lhs,BBOB_F49,2,704,32,50,final
BBOB_F49,off,small,lhs,BBOB_F49,2,1204,32,50,final
BBOB_F5,off,small,lhs,BBOB_F5,2,1,4,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,10,4,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,25,4,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,50,4,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,51,5,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,52,6,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,100,35,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,204,50,50,build
BBOB_F5,off,small,lhs,BBOB_F5,2,205,32,50,final
BBOB_F5,off,small,lhs,BBOB_F5,2,704,50,50,final
BBOB_F5,off,small,lhs,BBOB_F5,2,1204,50,50,final
BBOB_F55,off,small,lhs,BBOB_F55,2,1,4,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,10,4,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,25,4,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,50,4,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,51,6,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,52,9,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,100,50,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,204,50,50,build
BBOB_F55,off,small,lhs,BBOB_F55,2,205,32,50,final
BBOB_F55,off,small,lhs,BBOB_F55,2,704,50,50,final
BBOB_F55,off,small,lhs,BBOB_F55,2,1204,50,50,final
DTLZ1,off,small,lhs,DTLZ1,3,1,8,105,build
DTLZ1,off,small,lhs,DTLZ1,3,10,8,105,build
DTLZ1,off,small,lhs,DTLZ1,3,25,8,105,build
DTLZ1,off,small,lhs,DTLZ1,3,50,8,105,build
DTLZ1,off,small,lhs,DTLZ1,3,51,10,105,build
DTLZ1,off,small,lhs,DTLZ1,3,52,12,105,build
DTLZ1,off,small,lhs,DTLZ1,3,100,19,105,build
DTLZ1,off,small,lhs,DTLZ1,3,204,103,105,build
DTLZ1,off,small,lhs,DTLZ1,3,205,74,105,final
DTLZ1,off,small,lhs,DTLZ1,3,704,103,105,final
DTLZ1,off,small,lhs,DTLZ1,3,1204,104,105,final
DTLZ2,off,small,lhs,DTLZ2,3,1,7,105,build
DTLZ2,off,small,lhs,DTLZ2,3,10,7,105,build
DTLZ2,off,small,lhs,DTLZ2,3,25,7,105,build
DTLZ2,off,small,lhs,DTLZ2,3,50,7,105,build
DTLZ2,off,small,lhs,DTLZ2,3,51,11,105,build
DTLZ2,off,small,lhs,DTLZ2,3,52,15,105,build
DTLZ2,off,small,lhs,DTLZ2,3,100,70,105,build
DTLZ2,off,small,lhs,DTLZ2,3,204,95,105,build
DTLZ2,off,small,lhs,DTLZ2,3,205,72,105,final
DTLZ2,off,small,lhs,DTLZ2,3,704,94,105,final
DTLZ2,off,small,lhs,DTLZ2,3,1204,94,105,final
DTLZ3,off,small,lhs,DTLZ3,3,1,4,105,build
DTLZ3,off,small,lhs,DTLZ3,3,10,4,105,build
DTLZ3,off,small,lhs,DTLZ3,3,25,4,105,build
DTLZ3,off,small,lhs,DTLZ3,3,50,4,105,build
DTLZ3,off,small,lhs,DTLZ3,3,51,7,105,build
DTLZ3,off,small,lhs,DTLZ3,3,52,8,105,build
DTLZ3,off,small,lhs,DTLZ3,3,100,30,105,build
DTLZ3,off,small,lhs,DTLZ3,3,204,94,105,build
DTLZ3,off,small,lhs,DTLZ3,3,205,65,105,final
DTLZ3,off,small,lhs,DTLZ3,3,704,96,105,final
DTLZ3,off,small,lhs,DTLZ3,3,1204,95,105,final
DTLZ4,off,small,lhs,DTLZ4,3,1,10,105,build
DTLZ4,off,small,lhs,DTLZ4,3,10,10,105,build
DTLZ4,off,small,lhs,DTLZ4,3,25,10,105,build
DTLZ4,off,small,lhs,DTLZ4,3,50,10,105,build
DTLZ4,off,small,lhs,DTLZ4,3,51,4,105,build
DTLZ4,off,small,lhs,DTLZ4,3,52,5,105,build
DTLZ4,off,small,lhs,DTLZ4,3,100,90,105,build
DTLZ4,off,small,lhs,DTLZ4,3,204,95,105,build
DTLZ4,off,small,lhs,DTLZ4,3,205,11,105,final
DTLZ4,off,small,lhs,DTLZ4,3,704,96,105,final
DTLZ4,off,small,lhs,DTLZ4,3,1204,99,105,final
DTLZ7,off,small,lhs,DTLZ7,3,1,9,105,build
DTLZ7,off,small,lhs,DTLZ7,3,10,9,105,build
DTLZ7,off,small,lhs,DTLZ7,3,25,9,105,build
DTLZ7,off,small,lhs,DTLZ7,3,50,9,105,build
DTLZ7,off,small,lhs,DTLZ7,3,51,13,105,build
DTLZ7,off,small,lhs,DTLZ7,3,52,17,105,build
DTLZ7,off,small,lhs,DTLZ7,3,100,73,105,build
DTLZ7,off,small,lhs,DTLZ7,3,204,77,105,build
DTLZ7,off,small,lhs,DTLZ7,3,205,45,105,final
DTLZ7,off,small,lhs,DTLZ7,3,704,78,105,final
DTLZ7,off,small,lhs,DTLZ7,3,1204,79,105,final
MMF1,off,small,lhs,MMF1,2,1,3,50,build
MMF1,off,small,lhs,MMF1,2,10,3,50,build
MMF1,off,small,lhs,MMF1,2,25,3,50,build
MMF1,off,small,lhs,MMF1,2,50,3,50,build
MMF1,off,small,lhs,MMF1,2,51,4,50,build
MMF1,off,small,lhs,MMF1,2,52,6,50,build
MMF1,off,small,lhs,MMF1,2,100,41,50,build
MMF1,off,small,lhs,MMF1,2,204,50,50,build
MMF1,off,small,lhs,MMF1,2,205,37,50,final
MMF1,off,small,lhs,MMF1,2,704,50,50,final
MMF1,off,small,lhs,MMF1,2,1204,50,50,final
MMF11_L,off,small,lhs,MMF11_L,2,1,3,50,build
MMF11_L,off,small,lhs,MMF11_L,2,10,3,50,build
MMF11_L,off,small,lhs,MMF11_L,2,25,3,50,build
MMF11_L,off,small,lhs,MMF11_L,2,50,3,50,build
MMF11_L,off,small,lhs,MMF11_L,2,51,3,50,build
MMF11_L,off,small,lhs,MMF11_L,2,52,5,50,build
MMF11_L,off,small,lhs,MMF11_L,2,100,31,50,build
MMF11_L,off,small,lhs,MMF11_L,2,204,50,50,build
MMF11_L,off,small,lhs,MMF11_L,2,205,36,50,final
MMF11_L,off,small,lhs,MMF11_L,2,704,50,50,final
MMF11_L,off,small,lhs,MMF11_L,2,1204,50,50,final
MMF16_20,off,small,lhs,MMF16_20,3,1,6,105,build
MMF16_20,off,small,lhs,MMF16_20,3,10,6,105,build
MMF16_20,off,small,lhs,MMF16_20,3,25,6,105,build
MMF16_20,off,small,lhs,MMF16_20,3,50,6,105,build
MMF16_20,off,small,lhs,MMF16_20,3,51,11,105,build
MMF16_20,off,small,lhs,MMF16_20,3,52,14,105,build
MMF16_20,off,small,lhs,MMF16_20,3,100,68,105,build
MMF16_20,off,small,lhs,MMF16_20,3,204,100,105,build
MMF16_20,off,small,lhs,MMF16_20,3,205,77,105,final
MMF16_20,off,small,lhs,MMF16_20,3,704,93,105,final
MMF16_20,off,small,lhs,MMF16_20,3,1204,93,105,final
MMF4,off,small,lhs,MMF4,2,1,4,50,build
MMF4,off,small,lhs,MMF4,2,10,4,50,build
MMF4,off,small,lhs,MMF4,2,25,4,50,build
MMF4,off,small,lhs,MMF4,2,50,4,50,build
MMF4,off,small,lhs,MMF4,2,51,7,50,build
MMF4,off,small,lhs,MMF4,2,52,10,50,build
MMF4,off,small,lhs,MMF4,2,100,43,50,build
MMF4,off,small,lhs,MMF4,2,204,50,50,build
MMF4,off,small,lhs,MMF4,2,205,43,50,final
MMF4,off,small,lhs,MMF4,2,704,50,50,final
MMF4,off,small,lhs,MMF4,2,1204,50,50,final
WFG1,off,small,lhs,WFG1,2,1,3,50,build
WFG1,off,small,lhs,WFG1,2,10,3,50,build
WFG1,off,small,lhs,WFG1,2,25,3,50,build
WFG1,off,small,lhs,WFG1,2,50,3,50,build
WFG1,off,small,lhs,WFG1,2,51,4,50,build
WFG1,off,small,lhs,WFG1,2,52,4,50,build
WFG1,off,small,lhs,WFG1,2,100,7,50,build
WFG1,off,small,lhs,WFG1,2,204,49,50,build
WFG1,off,small,lhs,WFG1,2,205,10,50,final
WFG1,off,small,lhs,WFG1,2,704,46,50,final
WFG1,off,small,lhs,WFG1,2,1204,50,50,final
WFG2,off,small,lhs,WFG2,2,1,3,50,build
WFG2,off,small,lhs,WFG2,2,10,3,50,build
WFG2,off,small,lhs,WFG2,2,25,3,50,build
WFG2,off,small,lhs,WFG2,2,50,3,50,build
WFG2,off,small,lhs,WFG2,2,51,4,50,build
WFG2,off,small,lhs,WFG2,2,52,4,50,build
WFG2,off,small,lhs,WFG2,2,100,40,50,build
WFG2,off,small,lhs,WFG2,2,204,37,50,build
WFG2,off,small,lhs,WFG2,2,205,10,50,final
WFG2,off,small,lhs,WFG2,2,704,47,50,final
WFG2,off,small,lhs,WFG2,2,1204,34,50,final
WFG4,off,small,lhs,WFG4,2,1,3,50,build
WFG4,off,small,lhs,WFG4,2,10,3,50,build
WFG4,off,small,lhs,WFG4,2,25,3,50,build
WFG4,off,small,lhs,WFG4,2,50,3,50,build
WFG4,off,small,lhs,WFG4,2,51,3,50,build
WFG4,off,small,lhs,WFG4,2,52,3,50,build
WFG4,off,small,lhs,WFG4,2,100,3,50,build
WFG4,off,small,lhs,WFG4,2,204,18,50,build
WFG4,off,small,lhs,WFG4,2,205,23,50,final
WFG4,off,small,lhs,WFG4,2,704,15,50,final
WFG4,off,small,lhs,WFG4,2,1204,50,50,final
WFG5,off,small,lhs,WFG5,2,1,6,50,build
WFG5,off,small,lhs,WFG5,2,10,6,50,build
WFG5,off,small,lhs,WFG5,2,25,6,50,build
WFG5,off,small,lhs,WFG5,2,50,6,50,build
WFG5,off,small,lhs,WFG5,2,51,7,50,build
WFG5,off,small,lhs,WFG5,2,52,8,50,build
WFG5,off,small,lhs,WFG5,2,100,45,50,build
WFG5,off,small,lhs,WFG5,2,204,32,50,build
WFG5,off,small,lhs,WFG5,2,205,13,50,final
WFG5,off,small,lhs,WFG5,2,704,50,50,final
WFG5,off,small,lhs,WFG5,2,1204,50,50,final
WFG9,off,small,lhs,WFG9,2,1,3,50,build
WFG9,off,small,lhs,WFG9,2,10,3,50,build
WFG9,off,small,lhs,WFG9,2,25,3,50,build
WFG9,off,small,lhs,WFG9,2,50,3,50,build
WFG9,off,small,lhs,WFG9,2,51,5,50,build
WFG9,off,small,lhs,WFG9,2,52,8,50,build
