label,exp,tier,dist,problema,D,M,N,I_eff,I_max,n_true,idx_true,true_na_ultima,corte,delta_ultimo,logged_unicos,hits_lag3_soma,hits_lag3_media,hits_lag2_soma,hits_lag1_soma,n_dec,seq
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,208;309;417;417
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,215;511;618;618
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,289;618;618;618
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,223;325;516;516
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,237;337;509;509
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,234;409;409;409
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,222;222;222;222
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,236;499;648;648
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,582;987;1113;1113
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,636;978;1113;1113
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,360;360;360;360
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,904;1584;1584;1584
MMF1,off,small,lhs,MMF1,2,2,61,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,54;101;122;122
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,52;102;122;122
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,970;1857;1857;1857
MMF4,off,small,lhs,MMF4,2,2,61,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,40;80;122;122
WFG1,off,small,lhs,WFG1,22,2,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,453;914;914;914
WFG2,off,small,lhs,WFG2,22,2,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,570;570;570;570
WFG4,off,small,lhs,WFG4,22,2,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,440;880;880;880
WFG5,off,small,lhs,WFG5,22,2,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,440;440;440;440
WFG9,off,small,lhs,WFG9,22,2,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,458;458;458;458
ZDT1,off,small,lhs,ZDT1,30,2,929,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,768;1232;1558;1558
ZDT3,off,small,lhs,ZDT3,30,2,929,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,1014;1478;1858;1858
ZDT4,off,small,lhs,ZDT4,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,258;412;412;412
ZDT6,off,small,lhs,ZDT6,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,269;269;269;269
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,1,99,True,True,0.0,0.0;1.0;10.0;101.0;105.0;111.0,0,0,1,1,99,487;1082;1637;2072;2607;3176;3550;4054;4497;5062;5566;6063
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,44,250,1,44,True,True,0.0,0.0;1.0;107.0;111.0;117.0;12.0,0,0,1,1,44,1048;1908;2687;3671;4503;5426;6227;7140;7871;8585;9294;10108
