problema,b5m,b5r,c311,e103,moead_media,vencedor,c311_rank
BBOB_F1,0.087093,0.086082,0.202262,0.006707,0.05711,e103,5.0
BBOB_F17,0.486783,0.365813,0.433036,0.080907,0.560349,e103,3.0
BBOB_F22,0.75217,0.738355,4.805768,0.464913,0.741012,e103,5.0
BBOB_F37,0.241362,0.254423,1.987471,0.310145,0.595891,b5m,5.0
BBOB_F49,0.622285,0.732815,0.854883,0.334731,0.6781,e103,5.0
BBOB_F5,0.143473,0.153223,0.874724,0.084282,0.126296,e103,5.0
BBOB_F55,1.00351,1.001802,1.245197,0.956169,1.355683,e103,4.0
DTLZ1,109.89521,102.55984,72.249031,75.323582,539.925559,c311,1.0
DTLZ2,0.05689,0.047529,0.040806,0.07575,0.890397,c311,1.0
DTLZ3,542.282709,354.211684,641.179362,250.616291,832.401382,e103,4.0
DTLZ4,0.600294,0.657244,1.373854,0.592146,1.138293,e103,5.0
DTLZ7,0.937925,0.823983,0.092411,0.054449,0.368229,e103,2.0
MMF1,0.127486,0.061007,0.051413,0.04894,4.112282,e103,2.0
MMF11_L,0.028585,0.032163,0.128287,0.02817,1.398777,e103,4.0
MMF16_20,0.070164,0.114382,0.026452,0.506022,0.300844,c311,1.0
MMF4,0.032587,0.027089,0.062821,0.109995,0.14433,b5r,3.0
WFG1,0.976919,0.672441,0.721088,0.717454,0.68871,b5r,4.0
WFG2,0.229957,0.292783,0.737154,0.225078,0.594007,e103,5.0
WFG4,0.136045,0.127251,0.967534,0.115435,0.411893,e103,5.0
WFG5,0.31767,0.398124,0.393381,0.138328,0.300531,e103,4.0
WFG9,0.323241,0.381448,0.497037,0.284262,0.527066,e103,4.0
ZDT1,1.136404,0.31493,0.033353,0.005206,0.19782,e103,2.0
ZDT3,1.296297,1.341037,0.120992,0.008483,0.84702,e103,2.0
ZDT4,46.726657,127.250292,184.674479,71.040391,210.627354,b5m,4.0
ZDT6,6.636511,3.42409,1.073529,0.460702,0.107769,moead_media,3.0
