label,exp,tier,dist,problema,D,M,N,I_eff,n_pred_build,n_pred_sonda,t_busca_build,t_sonda,us_por_pred_build,us_por_pred_sonda,t_sonda_bloco,fit_total,wall,igual_exato,viol_1e6,viol_ulp,n_linhas
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,14264,80000,2.3318631649017334,0.3432,163.47890948553936,4.29,0.1625;0.1807,0.871030330657959,25.8568,4,0,0,4
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,10304,80000,2.0198307037353516,0.49219999999999997,196.0239425208998,6.152499999999999,0.2671;0.2251,0.9764020442962646,8.9056,4,0,0,4
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,10080,80000,2.1971473693847656,0.5471,217.9709691849966,6.83875,0.2974;0.2497,1.3824806213378906,19.3158,4,0,0,4
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,13308,80000,2.5638813972473145,0.45399999999999996,192.65715338498003,5.674999999999999,0.2279;0.2261,0.708223819732666,26.3116,4,0,0,4
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,10922,80000,2.0325851440429688,0.4526,186.10008643499074,5.6575,0.2419;0.2107,0.848975658416748,19.477,4,0,0,4
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,13522,80000,2.6445343494415283,0.4151,195.57272218913832,5.18875,0.2138;0.2013,0.7597179412841797,26.1997,4,0,0,4
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,15052,80000,2.8816370964050293,0.3114,191.4454621581869,3.8925,0.1628;0.1486,0.3462104797363281,26.0507,4,0,0,4
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,31101,120000,5.705775260925293,0.521,183.45954345279227,4.341666666666667,0.2669;0.2541,0.7318277359008789,69.6143,4,0,0,4
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,32415,120000,6.590302467346191,0.7962,203.31027201438198,6.635,0.4495;0.3467,1.6781797409057617,68.3923,4,0,0,4
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,28305,120000,5.608313083648682,0.8421,198.13860037621203,7.0175,0.4735;0.3686,1.4332454204559326,66.7212,4,0,0,4
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,39471,120000,6.730241775512695,0.31699999999999995,170.51105306459667,2.641666666666666,0.1672;0.1498,0.674166202545166,61.6287,4,0,0,4
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,32724,120000,6.058196067810059,1.2174,185.1300595223707,10.145,0.6437;0.5737,6.5956573486328125,64.6921,4,0,0,4
MMF1,off,small,lhs,MMF1,2,2,61,4,13406,80000,2.2007389068603516,0.2333,164.16074197078558,2.91625,0.1166;0.1167,0.236130952835083,23.5358,4,0,0,4
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,12124,80000,2.207472801208496,0.22999999999999998,182.07462893504587,2.8749999999999996,0.1185;0.1115,0.18518781661987305,23.8357,4,0,0,4
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,36111,120000,6.941452980041504,1.4912,192.2254432178977,12.426666666666666,0.7825;0.7087,13.701130867004395,82.1077,4,0,0,4
MMF4,off,small,lhs,MMF4,2,2,61,4,13962,80000,2.1058225631713867,0.22960000000000003,150.82528027298287,2.8700000000000006,0.1170;0.1126,0.21879887580871582,23.0457,4,0,0,4
