label,exp,problema,D,M,n_dataset,tier,dist,modelo,obj,wape,corr,cobertura95,n_sigma_validas,n,dX_gabarito,sigma_med,sigma_max,mu_min,mu_max,f_min,f_max
BBOB_F1,off,BBOB_F1,10,2,309,small,lhs,Kriging-DACE,0,0.1115722916786686,0.9170169949708766,0.94635,20000,20000,0.0,16.176834106445312,25.060848236083984,-8.443964004516602,276.6812438964844,11.7104395000324,306.4568847955735
BBOB_F1,off,BBOB_F1,10,2,309,small,lhs,Kriging-DACE,1,0.11196851439826207,0.9160206634486625,0.94635,20000,20000,0.0,16.176834106445312,25.060848236083984,1.8592193126678467,256.9761047363281,13.893290014977344,306.7031376047071
BBOB_F1,off,BBOB_F1,10,2,309,small,lhs,RBFN,0,0.000841978969098729,0.9999946333533564,,0,20000,0.0,,,11.255082130432129,304.8768005371094,11.7104395000324,306.4568847955735
BBOB_F1,off,BBOB_F1,10,2,309,small,lhs,RBFN,1,0.0008298572140616947,0.999994566091239,,0,20000,0.0,,,13.46677017211914,304.89813232421875,13.893290014977344,306.7031376047071
BBOB_F17,off,BBOB_F17,10,2,309,small,lhs,Kriging-DACE,0,0.08719299315199512,0.9932196071864713,0.9645,20000,20000,0.0,2753883.625,5082781.0,-6865714.5,75607088.0,42790.350406993566,77612566.26445545
BBOB_F17,off,BBOB_F17,10,2,309,small,lhs,Kriging-DACE,1,0.7410978801438143,0.5262258775191511,0.92765,20000,20000,0.0,157.64976501464844,261.6139221191406,-441.92279052734375,2513.566162109375,3.9443131913733183,4057.614795059684
BBOB_F17,off,BBOB_F17,10,2,309,small,lhs,RBFN,0,0.2722843459996443,0.9409120408569008,,0,20000,0.0,,,-17833312.0,75460736.0,42790.350406993566,77612566.26445545
BBOB_F17,off,BBOB_F17,10,2,309,small,lhs,RBFN,1,0.5772725918546974,0.7280391238436777,,0,20000,0.0,,,-275.31787109375,992.0955810546875,3.9443131913733183,4057.614795059684
BBOB_F22,off,BBOB_F22,10,2,309,small,lhs,Kriging-DACE,0,0.1289570446105037,0.9603797538641641,0.9503,20000,20000,0.0,135059.5390625,203430.015625,-529783.875,2621052.75,96.25394802238294,3056673.876379221
BBOB_F22,off,BBOB_F22,10,2,309,small,lhs,Kriging-DACE,1,0.07117028881053128,0.8884078048464558,0.90075,20000,20000,0.0,153.64111328125,359.1862487792969,742.1004028320312,3603.43994140625,573.8273807651971,3703.486741069855
BBOB_F22,off,BBOB_F22,10,2,309,small,lhs,RBFN,0,0.14573165502658603,0.9503771397302798,,0,20000,0.0,,,-387449.125,2639633.25,96.25394802238294,3056673.876379221
BBOB_F22,off,BBOB_F22,10,2,309,small,lhs,RBFN,1,0.08717842755084353,0.8327948786827912,,0,20000,0.0,,,1077.63720703125,3583.909912109375,573.8273807651971,3703.486741069855
BBOB_F37,off,BBOB_F37,10,2,309,small,lhs,Kriging-DACE,0,0.05452485319626347,0.9491901424799972,0.90555,20000,20000,0.0,123.72173690795898,308.0797424316406,564.0394287109375,3728.714111328125,539.4039240624936,4080.4874398681127
BBOB_F37,off,BBOB_F37,10,2,309,small,lhs,Kriging-DACE,1,0.4582297906727717,0.7306088324738808,0.9253,20000,20000,0.0,598.8633422851562,795.0645751953125,-1213.3660888671875,6594.240234375,115.11127025807971,17129.738145474174
BBOB_F37,off,BBOB_F37,10,2,309,small,lhs,RBFN,0,0.08662566443743226,0.8699048138914365,,0,20000,0.0,,,1035.490478515625,3777.619140625,539.4039240624936,4080.4874398681127
BBOB_F37,off,BBOB_F37,10,2,309,small,lhs,RBFN,1,0.46462293342722116,0.7226474203303994,,0,20000,0.0,,,-1012.7142944335938,4655.57080078125,115.11127025807971,17129.738145474174
BBOB_F49,off,BBOB_F49,10,2,309,small,lhs,Kriging-DACE,0,0.31718665655631034,0.7734896184151336,0.9424,20000,20000,0.0,780.4241027832031,1277.3497314453125,-763.200927734375,14231.369140625,125.8576342354904,22351.583398704202
BBOB_F49,off,BBOB_F49,10,2,309,small,lhs,Kriging-DACE,1,0.05622408157877845,0.14180269953196536,0.97525,20000,20000,0.0,7.185371160507202,7.328557968139648,48.038509368896484,83.70673370361328,18.071411226917274,86.48049390230561
BBOB_F49,off,BBOB_F49,10,2,309,small,lhs,RBFN,0,0.44017609289337545,0.7189820690842477,,0,20000,0.0,,,-1309.8262939453125,9657.80078125,125.8576342354904,22351.583398704202
BBOB_F49,off,BBOB_F49,10,2,309,small,lhs,RBFN,1,0.051626317880345364,0.3589358847889115,,0,20000,0.0,,,70.47010040283203,91.44363403320312,18.071411226917274,86.48049390230561
BBOB_F5,off,BBOB_F5,10,2,309,small,lhs,Kriging-DACE,0,0.08791695754747023,0.9484841116586539,0.9745,20000,20000,0.0,14.744273662567139,19.395444869995117,10.032787322998047,250.89630126953125,4.28091515182762,291.0874455282069
BBOB_F5,off,BBOB_F5,10,2,309,small,lhs,Kriging-DACE,1,0.10499271796030152,0.744067442181914,0.9205,20000,20000,0.0,247.50596618652344,359.0892639160156,806.7944946289062,3257.32275390625,493.7633001379723,3747.1318719990268
BBOB_F5,off,BBOB_F5,10,2,309,small,lhs,RBFN,0,0.0009526599791397942,0.9999934757519118,,0,20000,0.0,,,3.8443479537963867,290.04815673828125,4.28091515182762,291.0874455282069
BBOB_F5,off,BBOB_F5,10,2,309,small,lhs,RBFN,1,0.08112187475577676,0.8576576421170038,,0,20000,0.0,,,1134.9666748046875,3674.23046875,493.7633001379723,3747.1318719990268
BBOB_F55,off,BBOB_F55,10,2,309,small,lhs,Kriging-DACE,0,0.05484605463146101,0.2805027068469424,0.956,20000,20000,0.0,5.7096476554870605,6.244616508483887,57.66831970214844,85.31864929199219,11.746767103956262,86.5148713062384
BBOB_F55,off,BBOB_F55,10,2,309,small,lhs,Kriging-DACE,1,0.05416378438670983,0.15061633200372615,0.93985,20000,20000,0.0,4.977960586547852,5.093998432159424,68.56407165527344,82.77454376220703,15.977962376013485,86.49980551176326
BBOB_F55,off,BBOB_F55,10,2,309,small,lhs,RBFN,0,0.05207611643984227,0.3888642880975381,,0,20000,0.0,,,68.91114807128906,92.5289535522461,11.746767103956262,86.5148713062384
BBOB_F55,off,BBOB_F55,10,2,309,small,lhs,RBFN,1,0.04923013303278574,0.38073122047649444,,0,20000,0.0,,,72.2926254272461,87.55120849609375,15.977962376013485,86.49980551176326
DTLZ1,off,DTLZ1,7,3,216,small,lhs,Kriging-DACE,0,0.30963991151259385,0.8753745950779456,0.90595,20000,20000,0.0,26.252081871032715,33.6656608581543,-65.1194839477539,295.8753662109375,0.0007867178773757698,425.9462845886335
DTLZ1,off,DTLZ1,7,3,216,small,lhs,Kriging-DACE,1,0.31244876338192545,0.877484745304578,0.89915,20000,20000,0.0,25.54239559173584,32.356285095214844,-62.63804626464844,308.9199523925781,0.001271083578702773,442.47080664271755
DTLZ1,off,DTLZ1,7,3,216,small,lhs,Kriging-DACE,2,0.252291700339692,0.8509642344476872,0.89665,20000,20000,0.0,42.17095756530762,43.850563049316406,-19.863914489746094,378.2550964355469,0.000462445156499098,481.0793737905896
DTLZ1,off,DTLZ1,7,3,216,small,lhs,RBFN,0,0.3467536040548142,0.8676309557278568,,0,20000,0.0,,,-49.260318756103516,246.87144470214844,0.0007867178773757698,425.9462845886335
DTLZ1,off,DTLZ1,7,3,216,small,lhs,RBFN,1,0.3528348876905323,0.8698289342794406,,0,20000,0.0,,,-81.81400299072266,277.8553771972656,0.001271083578702773,442.47080664271755
DTLZ1,off,DTLZ1,7,3,216,small,lhs,RBFN,2,0.25086293129845444,0.854694779289881,,0,20000,0.0,,,-14.981593132019043,327.95050048828125,0.000462445156499098,481.0793737905896
DTLZ2,off,DTLZ2,12,3,371,small,lhs,Kriging-DACE,0,0.13291711502589917,0.9667364028065218,0.939,20000,20000,0.0,0.1466343253850937,0.20238904654979706,-0.29835158586502075,2.116084575653076,3.836977908068911e-06,2.57959020506767
DTLZ2,off,DTLZ2,12,3,371,small,lhs,Kriging-DACE,1,0.13892720982779816,0.9654257929848133,0.94835,20000,20000,0.0,0.1544080227613449,0.19943568110466003,-0.32669705152511597,2.1678600311279297,1.90431944785322e-05,2.5578628104646874
DTLZ2,off,DTLZ2,12,3,371,small,lhs,Kriging-DACE,2,0.11267608301742864,0.9537169093437032,0.9091,20000,20000,0.0,0.16201408207416534,0.1868620365858078,0.0022924267686903477,2.2937827110290527,0.0001063285097157721,2.7334428509939714
DTLZ2,off,DTLZ2,12,3,371,small,lhs,RBFN,0,0.23249808039203437,0.9130511226908944,,0,20000,0.0,,,-0.48903730511665344,2.2745094299316406,3.836977908068911e-06,2.57959020506767
DTLZ2,off,DTLZ2,12,3,371,small,lhs,RBFN,1,0.233006124410136,0.9152431938886433,,0,20000,0.0,,,-0.45402631163597107,2.281331777572632,1.90431944785322e-05,2.5578628104646874
DTLZ2,off,DTLZ2,12,3,371,small,lhs,RBFN,2,0.12051988671045913,0.9534063126458447,,0,20000,0.0,,,0.042023561894893646,2.4714789390563965,0.0001063285097157721,2.7334428509939714
DTLZ3,off,DTLZ3,12,3,371,small,lhs,Kriging-DACE,0,0.2968037081576624,0.8688566873343538,0.94275,20000,20000,0.0,166.37104034423828,169.5536651611328,-309.322509765625,1171.0302734375,0.01417123847804623,1749.5823835567157
DTLZ3,off,DTLZ3,12,3,371,small,lhs,Kriging-DACE,1,0.2757174290173705,0.8873421150820711,0.9502,20000,20000,0.0,162.87654876708984,169.02919006347656,-360.21832275390625,1328.453857421875,0.003196656139419432,1675.7600204134487
DTLZ3,off,DTLZ3,12,3,371,small,lhs,Kriging-DACE,2,0.1938533949137433,0.878954762025918,0.9344,20000,20000,0.0,178.6692657470703,185.88636779785156,22.031763076782227,1501.480712890625,0.04138780130976943,1822.2453809445622
DTLZ3,off,DTLZ3,12,3,371,small,lhs,RBFN,0,0.29149275416840636,0.873821106779716,,0,20000,0.0,,,-350.48187255859375,1245.93603515625,0.01417123847804623,1749.5823835567157
DTLZ3,off,DTLZ3,12,3,371,small,lhs,RBFN,1,0.3025905213405303,0.8710044493469092,,0,20000,0.0,,,-475.2091979980469,1280.76904296875,0.003196656139419432,1675.7600204134487
DTLZ3,off,DTLZ3,12,3,371,small,lhs,RBFN,2,0.19526261707657094,0.879737141390367,,0,20000,0.0,,,17.2491397857666,1335.8404541015625,0.04138780130976943,1822.2453809445622
DTLZ4,off,DTLZ4,12,3,371,small,lhs,Kriging-DACE,0,0.10434554880121555,0.33880178191215027,0.9537,20000,20000,0.0,0.24376962333917618,0.27570459246635437,1.0067245960235596,2.2786543369293213,0.0032817411496238505,2.806484473879175
DTLZ4,off,DTLZ4,12,3,371,small,lhs,Kriging-DACE,1,2.535475802697427,0.19869156693210957,0.96775,20000,20000,0.0,0.14576663076877594,0.16749051213264465,-0.1589764803647995,1.4725914001464844,0.0,2.362421743479946
DTLZ4,off,DTLZ4,12,3,371,small,lhs,Kriging-DACE,2,2.251681476203588,0.2815878492403833,0.9801,20000,20000,0.0,0.16532331705093384,0.1712619513273239,-0.1114596351981163,1.0691782236099243,0.0,2.306785116586957
DTLZ4,off,DTLZ4,12,3,371,small,lhs,RBFN,0,0.057729834873508815,0.736966344168547,,0,20000,0.0,,,1.1474509239196777,2.6527953147888184,0.0032817411496238505,2.806484473879175
DTLZ4,off,DTLZ4,12,3,371,small,lhs,RBFN,1,2.7367874938446355,0.21036321371276895,,0,20000,0.0,,,-0.13826875388622284,0.3026278018951416,0.0,2.362421743479946
DTLZ4,off,DTLZ4,12,3,371,small,lhs,RBFN,2,2.5565757479825213,0.25093141918802453,,0,20000,0.0,,,-0.11346638202667236,0.2408546358346939,0.0,2.306785116586957
DTLZ7,off,DTLZ7,22,3,681,small,lhs,Kriging-DACE,0,1.9855424780382308e-08,0.9999999999999982,0.06275,20000,20000,0.0,6.809490099751678e-17,6.903559395116923e-17,2.0641833543777466e-05,0.9999881982803345,2.0641833543777466e-05,0.9999881833791733
DTLZ7,off,DTLZ7,22,3,681,small,lhs,Kriging-DACE,1,1.9849836360195917e-08,0.9999999999999984,0.06305,20000,20000,0.0,4.630897040303608e-17,4.694870361697847e-17,4.0893442928791046e-05,0.9999884963035583,4.0893442928791046e-05,0.9999884851276875
DTLZ7,off,DTLZ7,22,3,681,small,lhs,Kriging-DACE,2,0.02305897329993882,0.9642165150281105,0.9456,20000,20000,0.0,0.49147628247737885,0.4982657730579376,10.245223045349121,25.869068145751953,10.150388241972415,26.398425073427507
DTLZ7,off,DTLZ7,22,3,681,small,lhs,RBFN,0,0.0026812213936019745,0.9999817436117923,,0,20000,0.0,,,-0.0033882497809827328,1.001847267150879,2.0641833543777466e-05,0.9999881833791733
DTLZ7,off,DTLZ7,22,3,681,small,lhs,RBFN,1,0.0029753021877876105,0.9999780096239776,,0,20000,0.0,,,-0.004611440002918243,1.0024040937423706,4.0893442928791046e-05,0.9999884851276875
DTLZ7,off,DTLZ7,22,3,681,small,lhs,RBFN,2,0.02267543185320962,0.9652704897265612,,0,20000,0.0,,,10.140522956848145,25.740604400634766,10.150388241972415,26.398425073427507
MMF1,off,MMF1,2,2,61,small,lhs,Kriging-DACE,0,0.039753945210941125,0.9937941514068422,0.8783,20000,20000,0.0,0.020118880085647106,0.1459096521139145,-0.04420728236436844,0.9980629682540894,3.353878855705261e-05,0.9999641738831997
MMF1,off,MMF1,2,2,61,small,lhs,Kriging-DACE,1,0.6061385784075747,0.5475917259297308,0.9574,20000,20000,0.0,1.742308259010315,2.0581696033477783,0.034377340227365494,7.507035255432129,0.0015044268884807396,8.616371937884661
MMF1,off,MMF1,2,2,61,small,lhs,RBFN,0,0.12413093908972707,0.9669998600829822,,0,20000,0.0,,,0.1595369130373001,1.1547967195510864,3.353878855705261e-05,0.9999641738831997
MMF1,off,MMF1,2,2,61,small,lhs,RBFN,1,0.7353812579530867,0.30248623417979487,,0,20000,0.0,,,-0.8390952944755554,7.067641258239746,0.0015044268884807396,8.616371937884661
MMF11_L,off,MMF11_L,2,2,61,small,lhs,Kriging-DACE,0,2.1352122243852908e-08,0.9999999999999977,0.0,20000,20000,0.0,1.09900730958292e-18,1.7818423720048183e-18,0.10003115981817245,1.0999391078948975,0.10003116205334664,1.0999391036108137
