problema,n_blocos,M,wape_1,wape_last,dwape,cob_1,cob_last,corr_last,n_nan,n_validas_min
WFG5,75,2,0.1401705,0.1065445,-0.23989355820233219,0.62,0.76525,0.85368,0,2000
MMF16_20,68,3,0.19042099999999998,0.17249066666666665,-0.09416153330427489,0.8795000000000001,0.8905,0.9501526666666665,0,2000
DTLZ3,41,3,0.25956233333333334,0.24496433333333334,-0.056240825903090715,0.7934999999999999,0.8355,0.8898236666666666,0,2000
BBOB_F22,35,2,0.1358255,0.129642,-0.04552532477333035,0.8380000000000001,0.869,0.8953125,0,2000
WFG9,75,2,0.254521,0.244097,-0.04095536321167994,0.43574999999999997,0.4965,0.299943,0,2000
DTLZ1,25,3,0.34340433333333337,0.33122366666666664,-0.035470334775430115,0.7855,0.793,0.8531013333333334,0,2000
ZDT6,35,2,0.0533975,0.052584000000000006,-0.015234795636499739,0.7849999999999999,0.8354999999999999,0.621455,0,2000
BBOB_F17,35,2,0.314034,0.30966099999999996,-0.013925243763414204,0.865,0.89375,0.890764,0,2000
MMF1,8,2,0.493674,0.48709749999999996,-0.013321544176926556,0.5682499999999999,0.52725,0.365832,0,2000
BBOB_F49,35,2,0.18150650000000002,0.1794425,-0.011371493582874499,0.75925,0.773,0.5480665,0,2000
BBOB_F1,35,2,0.1203205,0.119184,-0.009445605694790154,0.85475,0.88175,0.919865,0,2000
BBOB_F5,35,2,0.118116,0.118966,0.007196315486470957,0.7302500000000001,0.7595000000000001,0.8708229999999999,0,2000
WFG2,75,2,0.144443,0.1461085,0.011530499920383918,0.6975,0.68625,0.5863715,0,2000
WFG4,75,2,0.154111,0.1566325,0.016361583533946376,0.60675,0.6465000000000001,0.6495660000000001,0,2000
BBOB_F55,35,2,0.054040000000000005,0.0559505,0.03535344189489258,0.6020000000000001,0.71075,0.282652,0,2000
DTLZ4,41,3,1.6392239999999998,1.7136589999999998,0.04540868118085145,0.8551666666666667,0.8729999999999999,0.36943600000000004,0,2000
ZDT4,35,2,0.1297945,0.137552,0.05976755563602464,0.7702500000000001,0.75725,0.6721375,0,2000
BBOB_F37,35,2,0.2362845,0.2522775,0.06768535388482942,0.82125,0.7955000000000001,0.827769,0,2000
MMF11_L,8,2,0.105993,0.120453,0.1364241034785316,0.873,0.8385,0.9746414999999999,0,2000
DTLZ2,41,3,0.18407566666666667,0.21073733333333333,0.14484079916411186,0.8866666666666667,0.8775000000000001,0.926211,0,2000
ZDT3,101,2,0.098989,0.11509799999999999,0.16273525341199527,0.81375,0.8029999999999999,0.8646105,0,2000
MMF4,8,2,0.24009400000000003,0.287433,0.1971686089614899,0.66675,0.58325,0.630007,0,2000
ZDT1,101,2,0.0732415,0.090712,0.23853279902787353,0.97475,0.94725,0.965318,0,2000
DTLZ7,75,3,0.08094333333333334,0.10339733333333334,0.27740394514681055,0.9566666666666667,0.923,0.949989,0,2000
WFG1,75,2,0.0081845,0.057485999999999995,6.0237644327692585,0.8382499999999999,0.87125,0.20222600000000002,0,2000
