problema,D,n_fronteiras,inter_tail,inter_full,pop_gers,pop_denso_ok
BBOB_F1,10,65,0,0,67,67
BBOB_F17,10,65,0,0,67,67
BBOB_F22,10,65,0,0,67,67
BBOB_F37,10,65,0,0,67,67
BBOB_F49,10,65,0,0,67,67
BBOB_F5,10,65,0,0,67,67
BBOB_F55,10,65,0,0,67,67
DTLZ1,7,45,0,0,47,47
DTLZ2,12,79,0,0,81,81
DTLZ3,12,79,0,0,81,81
DTLZ4,12,79,0,0,81,81
DTLZ7,22,145,0,0,147,147
MMF1,2,12,0,0,14,14
MMF11_L,2,12,0,0,14,14
MMF16_20,20,132,0,0,134,134
MMF4,2,12,0,0,14,14
WFG1,22,145,0,0,147,147
WFG2,22,145,0,0,147,147
WFG4,22,145,0,0,147,147
WFG5,22,145,0,0,147,147
WFG9,22,145,0,0,147,147
ZDT1,30,199,0,0,201,201
ZDT3,30,199,0,0,201,201
ZDT4,10,65,0,0,67,67
ZDT6,10,65,0,0,67,67
