problema,D,M,status,termino,footer_status,maxfe,maxfe_esp,fe_final,u1_ok,fe_index_denso,n_init,init_esp,u2_init_ok,n_opt,n_opt_esp,doe_hash,algo_version,n_geracoes,pop_gens,pop_max,u10_pop_ok,timing_rows,n_eventos_gen,u10_tim_ok,ciclos,n_s1,n_s2,n_s3,rot_1a1,ac_s1,ac_s2,ac_s3,slot_s1,slot_s2,slot_s3,boot_aceitos,boot_rejeitados,fe_check,cache_hits_man,guard_cache,guard_dedup,guard_outros,desal_soma,desal_media,desal_mediana,desal_max,desal_p90,desal_frac_media,desal_zero,n_ciclos_s1,count_med,count_max,count_zero,frac_niv1_med,flag_copia,n_sonda_blocos,tempo_total
BBOB_F1,10,2,ok,normal,ok,309,309,309,True,True,109,109,True,200,200,f875df0bb019,e74-CLMEA-arvore-4.1-propria,291,291,291,True,218,217,True,73,73,72,72,False,54,72,72,11,0,0,2,0,True,1,1,11,"{""cand_vazio"": 8}",1919.0,26.28767123287671,19.0,91.0,88.8,0.2628767123287671,1,73,49.0,51.0,11,0.9,11,75,226.524637
BBOB_F17,10,2,ok,normal,ok,309,309,309,True,True,109,109,True,200,200,d15aed2c60ef,e74-CLMEA-arvore-4.1-propria,277,277,277,True,208,207,True,69,69,69,69,True,60,69,69,9,0,0,2,0,True,1,1,9,{},1398.0,20.26086956521739,9.0,91.0,89.0,0.20260869565217396,1,69,31.0,51.0,9,0.91,9,72,162.920519
BBOB_F22,10,2,ok,normal,ok,309,309,309,True,True,109,109,True,200,200,f363ce9265e2,e74-CLMEA-arvore-4.1-propria,284,284,284,True,213,212,True,71,71,71,70,True,57,71,70,14,0,0,2,0,True,1,1,14,{},2475.0,34.859154929577464,25.0,91.0,90.0,0.34859154929577474,0,71,51.0,51.0,14,0.75,14,74,162.708263
BBOB_F37,10,2,ok,normal,ok,309,309,309,True,True,109,109,True,200,200,6ff27d4d787c,e74-CLMEA-arvore-4.1-propria,295,295,295,True,221,220,True,74,74,73,73,False,52,73,73,22,0,0,2,0,True,1,1,22,{},2843.0,38.41891891891892,20.0,91.0,90.0,0.38418918918918926,1,74,51.0,51.0,22,0.835,22,76,169.510854
BBOB_F49,10,2,ok,normal,ok,309,309,309,True,True,109,109,True,200,200,95bec03708fd,e74-CLMEA-arvore-4.1-propria,285,285,285,True,214,213,True,71,71,71,71,True,56,71,71,15,0,0,2,0,True,1,1,15,{},1959.0,27.591549295774648,13.0,92.0,88.0,0.27591549295774653,1,71,28.0,51.0,15,0.91,15,74,158.859269
BBOB_F5,10,2,ok,normal,ok,309,309,309,True,True,109,109,True,200,200,9c1c6f9e8c0a,e74-CLMEA-arvore-4.1-propria,280,280,280,True,210,209,True,70,70,70,69,True,59,70,69,11,0,0,2,0,True,1,1,11,{},2367.0,33.81428571428572,27.0,90.0,89.1,0.33814285714285713,0,70,51.0,51.0,11,0.705,11,72,176.353213
BBOB_F55,10,2,ok,normal,ok,309,309,309,True,True,109,109,True,200,200,156cb913846b,e74-CLMEA-arvore-4.1-propria,288,288,288,True,216,215,True,72,72,72,71,True,55,72,71,17,0,0,2,0,True,1,1,17,{},2547.0,35.375,22.0,91.0,89.9,0.35375,0,72,51.0,51.0,17,0.79,17,75,170.358142
DTLZ1,7,3,ok,normal,ok,216,216,216,True,True,76,76,True,140,140,721bacf39910,e74-CLMEA-arvore-4.1-propria,184,184,184,True,138,137,True,46,46,46,45,True,46,46,45,0,0,0,3,0,True,1,1,0,{},409.0,8.891304347826088,8.0,31.0,16.0,0.08891304347826087,1,46,20.0,51.0,0,0.9086082474226804,0,48,110.909719
DTLZ2,12,3,ok,normal,ok,371,371,371,True,True,131,131,True,240,240,e9e359a6a4af,e74-CLMEA-arvore-4.1-propria,317,317,317,True,238,237,True,79,79,79,79,True,79,79,79,0,0,0,3,0,True,1,1,0,{},624.0,7.89873417721519,7.0,29.0,16.0,0.07898734177215189,9,79,12.0,51.0,0,0.91,0,82,450.105029
DTLZ3,12,3,ok,normal,ok,371,371,371,True,True,131,131,True,240,240,b41f7d771c68,e74-CLMEA-arvore-4.1-propria,321,321,321,True,241,240,True,80,80,80,80,True,77,80,80,3,0,0,3,0,True,1,1,3,{},878.0,10.975,8.0,89.0,14.100000000000009,0.10975000000000001,2,80,19.0,51.0,3,0.91,3,83,187.101287
DTLZ4,12,3,ok,normal,ok,371,371,371,True,True,131,131,True,240,240,75dc5d1c4ced,e74-CLMEA-arvore-4.1-propria,317,317,317,True,238,237,True,79,79,79,79,True,79,79,79,0,0,0,3,0,True,1,1,0,{},612.0,7.746835443037975,8.0,27.0,10.0,0.07746835443037976,2,79,16.0,51.0,0,0.91,0,82,310.956833
DTLZ7,22,3,ok,normal,ok,681,681,681,True,True,241,241,True,440,440,82fffdba6191,e74-CLMEA-arvore-4.1-propria,651,651,651,True,488,487,True,163,163,162,162,False,113,162,162,44,0,0,3,0,True,1,1,44,"{""hv_range0"": 10, ""cand_vazio"": 6}",4905.0,30.0920245398773,8.0,93.0,90.0,0.30092024539877305,12,163,5.0,51.0,44,0.92,44,165,548.752856
MMF1,2,2,ok,normal,ok,61,61,61,True,True,21,21,True,40,40,b4682dc218d2,e74-CLMEA-arvore-4.1-propria,60,60,60,True,45,44,True,15,15,15,14,True,9,15,14,0,0,0,2,0,True,1,1,0,"{""cand_vazio"": 6}",133.0,8.866666666666667,7.0,17.0,17.0,0.08866666666666667,0,15,51.0,51.0,0,0.5263157894736842,0,18,33.750346
MMF11_L,2,2,ok,normal,ok,61,61,61,True,True,21,21,True,40,40,bc5b5476bae0,e74-CLMEA-arvore-4.1-propria,64,64,64,True,48,47,True,16,16,16,15,True,7,16,15,0,0,0,2,0,True,1,1,0,"{""cand_vazio"": 9}",55.0,3.4375,1.0,15.0,9.5,0.034375,4,16,51.0,51.0,0,0.0,0,18,35.242736
MMF16_20,20,3,ok,normal,ok,619,619,619,True,True,219,219,True,400,400,00c877887f6a,e74-CLMEA-arvore-4.1-propria,531,531,531,True,398,397,True,133,133,132,132,False,133,132,132,0,0,0,3,0,True,1,1,0,{},562.0,4.225563909774436,3.0,19.0,9.0,0.04225563909774435,25,133,2.0,51.0,0,0.93,0,135,1333.891488
MMF4,2,2,ok,normal,ok,61,61,61,True,True,21,21,True,40,40,8e6e2b094ef9,e74-CLMEA-arvore-4.1-propria,52,52,52,True,39,38,True,13,13,13,12,True,13,13,12,0,0,0,2,0,True,1,1,0,{},71.0,5.461538461538462,3.0,20.0,14.600000000000005,0.054615384615384614,1,13,15.0,51.0,0,0.9107142857142857,0,15,32.16048
WFG1,22,2,ok,normal,ok,681,681,681,True,True,241,241,True,440,440,737008bc4aa4,e74-CLMEA-arvore-4.1-propria,587,587,587,True,440,439,True,147,147,146,146,False,146,146,146,1,0,0,2,0,True,1,1,1,{},917.0,6.238095238095238,7.0,22.0,10.0,0.06238095238095237,12,147,5.0,51.0,0,0.91,1,150,476.4254
WFG2,22,2,ok,normal,ok,681,681,681,True,True,241,241,True,440,440,4992992e00fb,e74-CLMEA-arvore-4.1-propria,615,615,615,True,461,460,True,154,154,153,153,False,132,153,153,22,0,0,2,0,True,1,1,22,{},3018.0,19.5974025974026,8.0,92.0,88.0,0.19597402597402597,5,154,16.5,51.0,21,0.91,22,156,410.370432
