problema,D,M,geracao,N,K,frac_n1,count,desal,desal_frac,aceito,slot,flag_copia,cand_dist,pos,pos_le_K,argmax,is_argmax,n_linhas_arquivo,frac_linhas_arquivo,n_nivel1_resim,sig_max,sig_med,quotas
BBOB_F1,10,2,2,100,98,0.98,0,91,0.91,0,1,True,0.0,,,0,,100,1.0,10,0.0,0.0,"[10, 30, 40, 20]"
BBOB_F1,10,2,6,100,100,1.0,0,90,0.9,0,1,True,0.0,,,0,,100,1.0,10,0.0,0.0,"[10, 30, 40, 20]"
BBOB_F1,10,2,10,100,100,1.0,0,90,0.9,0,1,True,0.0,,,0,,100,1.0,10,0.0,0.0,"[10, 30, 40, 20]"
BBOB_F1,10,2,14,100,100,1.0,0,90,0.9,0,1,True,0.0,,,0,,100,1.0,10,0.0,0.0,"[10, 30, 40, 20]"
BBOB_F1,10,2,18,100,100,1.0,0,90,0.9,0,1,True,0.0,,,0,,100,1.0,10,0.0,0.0,"[10, 30, 40, 20]"
BBOB_F1,10,2,22,100,100,1.0,0,90,0.9,0,1,True,0.0,,,0,,100,1.0,10,0.0,0.0,"[10, 30, 40, 20]"
BBOB_F1,10,2,26,100,100,1.0,0,90,0.9,0,1,True,0.0,,,0,,100,1.0,10,0.0,0.0,"[10, 30, 40, 20]"
BBOB_F1,10,2,30,100,100,1.0,0,89,0.89,0,1,True,0.0,,,0,,100,1.0,11,0.0,0.0,"[11, 29, 40, 20]"
BBOB_F1,10,2,34,100,100,1.0,0,88,0.88,0,1,True,0.0,,,0,,100,1.0,12,0.0,0.0,"[12, 28, 40, 20]"
BBOB_F1,10,2,38,100,100,1.0,0,87,0.87,0,1,True,0.0,,,0,,100,1.0,13,0.0,0.0,"[13, 27, 40, 20]"
BBOB_F1,10,2,42,100,100,1.0,0,85,0.85,0,1,True,0.0,,,0,,100,1.0,15,0.0,0.0,"[15, 25, 40, 20]"
BBOB_F1,10,2,46,100,95,0.95,3,5,0.05,1,0,False,3.9679472678424164,70.0,True,73,False,1,0.01,100,6.0374274253845215,3.512027382850647,"[100, 0, 0, 0]"
BBOB_F1,10,2,50,100,78,0.78,51,20,0.2,1,0,False,7.9936795635559195,7.0,True,68,False,1,0.01,98,10.553934097290039,8.098805904388428,"[98, 0, 1, 1]"
BBOB_F1,10,2,54,100,90,0.9,3,9,0.09,1,0,False,4.811223591809497,32.0,True,37,False,1,0.01,99,7.298872947692871,3.8362765312194824,"[99, 1, 0, 0]"
BBOB_F1,10,2,58,100,55,0.55,51,28,0.28,1,0,False,5.568629981660613,54.0,True,39,False,1,0.01,82,8.019806861877441,5.828391790390015,"[82, 13, 5, 0]"
BBOB_F1,10,2,62,100,76,0.76,51,20,0.2,1,0,False,6.814010371927118,23.0,True,32,False,1,0.01,94,8.577836990356445,6.191450119018555,"[94, 5, 1, 0]"
BBOB_F1,10,2,66,100,91,0.91,6,8,0.08,1,0,False,1.5170179839926927,61.0,True,67,False,1,0.01,99,5.084147930145264,2.4038023948669434,"[99, 1, 0, 0]"
BBOB_F1,10,2,70,100,94,0.94,2,1,0.01,1,0,False,1.9325018916861658,47.0,True,50,False,1,0.01,95,5.583543300628662,2.824260950088501,"[95, 5, 0, 0]"
BBOB_F1,10,2,74,100,61,0.61,51,31,0.31,1,0,False,6.381438867378194,32.0,True,30,False,1,0.01,90,9.825907707214355,6.256215572357178,"[90, 7, 3, 0]"
BBOB_F1,10,2,78,100,97,0.97,3,3,0.03,1,0,False,5.221945999749075,27.0,True,29,False,1,0.01,100,6.0558295249938965,4.382598161697388,"[100, 0, 0, 0]"
BBOB_F1,10,2,82,100,66,0.66,51,25,0.25,1,0,False,7.257792688159379,46.0,True,73,False,1,0.01,89,9.514225959777832,6.8724141120910645,"[89, 2, 9, 0]"
BBOB_F1,10,2,86,100,88,0.88,51,9,0.09,1,0,False,5.5425653767886995,62.0,True,70,False,1,0.01,97,11.166279792785645,6.968479871749878,"[97, 2, 1, 0]"
BBOB_F1,10,2,90,100,68,0.68,51,24,0.24,1,0,False,7.079863522067798,7.0,True,58,False,1,0.01,89,9.737602233886719,6.360738754272461,"[89, 6, 5, 0]"
BBOB_F1,10,2,94,100,72,0.72,51,24,0.24,1,0,False,8.0599315111157,20.0,True,28,False,1,0.01,96,9.367410659790039,6.764831304550171,"[96, 2, 2, 0]"
BBOB_F1,10,2,98,100,65,0.65,51,26,0.26,1,0,False,5.186330590647712,38.0,True,57,False,1,0.01,90,7.460925579071045,5.5553364753723145,"[90, 3, 6, 1]"
BBOB_F1,10,2,102,100,68,0.68,51,25,0.25,1,0,False,7.858876085138983,4.0,True,4,True,1,0.01,92,7.8588762283325195,5.852662086486816,"[92, 4, 4, 0]"
BBOB_F1,10,2,106,100,91,0.91,3,8,0.08,1,0,False,1.5330842411311487,80.0,True,89,False,1,0.01,99,4.5263671875,2.070305109024048,"[99, 0, 1, 0]"
BBOB_F1,10,2,110,100,52,0.52,51,35,0.35,1,0,False,5.374373221918716,33.0,True,54,False,1,0.01,83,8.192113876342773,5.783236980438232,"[83, 8, 9, 0]"
BBOB_F1,10,2,114,100,60,0.6,51,26,0.26,1,0,False,9.870494168229449,17.0,True,24,False,1,0.01,85,10.131308555603027,8.08956527709961,"[85, 6, 9, 0]"
BBOB_F1,10,2,118,100,95,0.95,3,3,0.03,1,0,False,3.2770176760617398,81.0,True,86,False,1,0.01,95,5.747014045715332,2.5973575115203857,"[95, 5, 0, 0]"
BBOB_F1,10,2,122,100,78,0.78,51,17,0.17,1,0,False,6.467420153423801,77.0,True,99,False,1,0.01,95,8.26768970489502,6.215677261352539,"[95, 1, 2, 2]"
BBOB_F1,10,2,126,100,58,0.58,51,32,0.32,1,0,False,6.062074723830886,57.0,True,10,False,1,0.01,86,7.60540246963501,5.323366641998291,"[86, 10, 4, 0]"
BBOB_F1,10,2,130,100,54,0.54,51,32,0.32,1,0,False,6.966450056124246,20.0,True,40,False,1,0.01,84,9.91971492767334,6.572995185852051,"[84, 6, 10, 0]"
BBOB_F1,10,2,134,100,62,0.62,51,26,0.26,1,0,False,4.408923434432107,49.0,True,81,False,1,0.01,85,9.240787506103516,6.490216970443726,"[85, 3, 12, 0]"
BBOB_F1,10,2,138,100,0,0.0,51,9,0.09,0,0,False,0.0,,,0,,1,0.01,0,2.2235186100006104,0.8274275064468384,"[0, 98, 2, 0]"
BBOB_F1,10,2,142,100,0,0.0,51,17,0.17,0,0,False,0.0,,,91,,0,0.0,0,2.145524263381958,0.8388775885105133,"[0, 93, 7, 0]"
BBOB_F1,10,2,146,100,0,0.0,51,15,0.15,0,0,False,0.0,,,1,,1,0.01,0,2.41975736618042,0.8215653002262115,"[0, 90, 10, 0]"
BBOB_F1,10,2,150,100,0,0.0,51,19,0.19,0,0,False,0.0,,,94,,0,0.0,0,2.0383448600769043,0.743604451417923,"[0, 92, 8, 0]"
BBOB_F1,10,2,154,100,0,0.0,51,19,0.19,0,0,False,0.0,,,14,,0,0.0,0,3.341689109802246,0.8009392619132996,"[0, 90, 10, 0]"
BBOB_F1,10,2,158,100,0,0.0,51,21,0.21,0,0,False,0.0,,,61,,1,0.01,0,2.6229605674743652,0.8198356330394745,"[0, 78, 22, 0]"
BBOB_F1,10,2,162,100,0,0.0,51,23,0.23,0,0,False,0.0,,,13,,1,0.01,0,1.9266834259033203,0.7764548063278198,"[0, 70, 30, 0]"
BBOB_F1,10,2,166,100,0,0.0,51,31,0.31,0,0,False,0.0,,,64,,0,0.0,0,3.0678629875183105,0.8528764545917511,"[0, 60, 40, 0]"
BBOB_F1,10,2,170,100,71,0.71,51,26,0.26,1,0,False,3.467511979806937,41.0,True,55,False,1,0.01,96,8.964704513549805,6.8950581550598145,"[96, 0, 4, 0]"
BBOB_F1,10,2,174,100,61,0.61,51,27,0.27,1,0,False,7.31680526935368,14.0,True,30,False,1,0.01,85,9.884105682373047,6.098692178726196,"[85, 4, 3, 8]"
BBOB_F1,10,2,178,100,78,0.78,51,19,0.19,1,0,False,3.7743969586895827,25.0,True,30,False,1,0.01,97,5.0463643074035645,3.362711548805237,"[97, 3, 0, 0]"
BBOB_F1,10,2,182,100,62,0.62,51,28,0.28,1,0,False,3.5659051093158793,46.0,True,72,False,1,0.01,90,9.17492961883545,5.792423248291016,"[90, 1, 5, 4]"
BBOB_F1,10,2,186,100,75,0.75,51,22,0.22,1,0,False,7.815243618210176,20.0,True,25,False,1,0.01,97,8.761507987976074,7.05842399597168,"[97, 1, 1, 1]"
BBOB_F1,10,2,190,100,73,0.73,51,19,0.19,1,0,False,7.162613600425391,67.0,True,93,False,1,0.01,90,9.101764678955078,6.430673837661743,"[90, 2, 8, 0]"
BBOB_F1,10,2,194,100,93,0.93,26,6,0.06,1,0,False,7.626112367275166,24.0,True,27,False,1,0.01,99,10.483222007751465,7.104889392852783,"[99, 1, 0, 0]"
BBOB_F1,10,2,198,100,90,0.9,21,8,0.08,1,0,False,5.221406160993531,18.0,True,22,False,1,0.01,98,8.117602348327637,5.934060096740723,"[98, 2, 0, 0]"
BBOB_F1,10,2,202,100,90,0.9,28,8,0.08,1,0,False,6.24761834681364,51.0,True,57,False,1,0.01,98,8.775821685791016,6.256996393203735,"[98, 0, 1, 1]"
BBOB_F1,10,2,206,100,92,0.92,17,6,0.06,1,0,False,6.443690097760254,68.0,True,73,False,1,0.01,97,8.89013671875,5.778558969497681,"[97, 3, 0, 0]"
BBOB_F1,10,2,210,100,91,0.91,17,8,0.08,1,0,False,4.459663159999534,38.0,True,40,False,1,0.01,99,7.376056671142578,5.274841785430908,"[99, 1, 0, 0]"
BBOB_F1,10,2,214,100,92,0.92,31,7,0.07,1,0,False,7.0170727447060655,36.0,True,40,False,1,0.01,99,8.74876594543457,6.354701280593872,"[99, 1, 0, 0]"
BBOB_F1,10,2,218,100,79,0.79,51,19,0.19,1,0,False,6.0947024678326835,66.0,True,84,False,1,0.01,97,9.659156799316406,6.487077951431274,"[97, 2, 1, 0]"
BBOB_F1,10,2,222,100,87,0.87,51,13,0.13,1,0,False,6.763575379215202,41.0,True,48,False,1,0.01,100,10.59303092956543,7.687114238739014,"[100, 0, 0, 0]"
BBOB_F1,10,2,226,100,92,0.92,49,8,0.08,1,0,False,2.4019904528531835,55.0,True,61,False,1,0.01,100,9.208693504333496,6.675595283508301,"[100, 0, 0, 0]"
BBOB_F1,10,2,230,100,90,0.9,8,0,0.0,1,0,False,3.2803952356794546,26.0,True,30,False,1,0.01,90,3.600839138031006,2.5683313608169556,"[90, 10, 0, 0]"
BBOB_F1,10,2,234,100,92,0.92,6,7,0.07,1,0,False,4.0100247517160374,0.0,True,1,False,1,0.01,99,5.782851696014404,3.7295854091644287,"[99, 0, 1, 0]"
BBOB_F1,10,2,238,100,93,0.93,39,6,0.06,1,0,False,7.819986248408581,44.0,True,46,False,1,0.01,99,9.515220642089844,7.132455587387085,"[99, 1, 0, 0]"
BBOB_F1,10,2,242,100,92,0.92,10,7,0.07,1,0,False,6.106516805074682,18.0,True,18,True,1,0.01,99,6.1065168380737305,4.179564714431763,"[99, 1, 0, 0]"
