label,geracao,tipo,n_front,topq,greedy,so_topq,so_greedy,n_diferentes,dmin_min_topq,dmin_min_greedy,sep_mutua_topq,sep_mutua_greedy
q10_DTLZ2,1,exemplo,235,"[19, 62, 74, 120, 123, 161, 167, 179, 185, 208]","[19, 58, 62, 120, 123, 133, 161, 190, 208, 233]","[74, 167, 179, 185]","[58, 133, 190, 233]",4,0.885148721118838,0.8447764686461644,0.5094805589662461,0.8723574368834833
q10_DTLZ2,2,exemplo,238,"[0, 14, 16, 19, 27, 32, 72, 149, 178, 215]","[0, 11, 14, 16, 19, 27, 37, 72, 149, 178]","[32, 215]","[11, 37]",2,0.8767341953401112,0.867100673197447,0.6779964912150273,0.8742948619034259
q10_DTLZ2,3,exemplo,250,"[4, 5, 17, 21, 58, 61, 64, 81, 95, 100]","[4, 5, 17, 21, 47, 61, 81, 88, 95, 181]","[58, 64, 100]","[47, 88, 181]",3,0.811949198262346,0.7945718651140155,0.24973043423615632,0.9106898865916625
q10_DTLZ2,-1,RESUMO,-1,,,,,116,84.0,200.0,,
q10_MMF16_20,1,exemplo,186,"[33, 40, 51, 108, 124, 139, 145, 153, 159, 160]","[33, 40, 51, 79, 108, 124, 139, 153, 159, 160]",[145],[79],1,1.3262825920733103,1.324283256305049,1.2344915737342659,1.4156848469795533
q10_MMF16_20,2,exemplo,147,"[7, 12, 35, 39, 56, 67, 103, 138, 140, 141]","[7, 9, 12, 35, 39, 56, 67, 103, 140, 141]",[138],[9],1,1.3500026911390486,1.3323711871347963,1.2257779738790129,1.5569070298882248
q10_MMF16_20,3,exemplo,226,"[4, 11, 26, 31, 33, 72, 79, 121, 139, 198]","[4, 11, 31, 33, 45, 72, 79, 121, 139, 198]",[26],[45],1,1.363122043911464,1.3513489889051968,0.8682454997087818,1.5906154922964912
q10_MMF16_20,-1,RESUMO,-1,,,,,107,93.0,200.0,,
q10_WFG9,1,exemplo,12,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 2, 4, 5, 6, 7, 9, 10, 11]",[8],[0],1,1.1466993380430928,1.1225940640592549,0.8872804318553292,1.263388119684169
q10_WFG9,7,exemplo,21,"[0, 1, 2, 7, 9, 10, 12, 14, 19, 20]","[0, 1, 2, 7, 9, 10, 12, 14, 16, 19]",[20],[16],1,1.164602993549099,1.140059179452393,1.1119487462651119,1.3456621131949489
q10_WFG9,26,exemplo,16,"[0, 2, 3, 5, 6, 8, 9, 13, 14, 15]","[0, 1, 2, 5, 6, 8, 9, 13, 14, 15]",[3],[1],1,1.0953398013749323,1.0942748421858415,1.0679592880015703,1.2846263402508504
q10_WFG9,-1,RESUMO,-1,,,,,27,168.0,200.0,,
q10_ZDT1,1,exemplo,36,"[5, 14, 15, 16, 19, 22, 24, 26, 32, 33]","[0, 1, 3, 4, 5, 22, 26, 27, 29, 31]","[14, 15, 16, 19, 24, 32, 33]","[0, 1, 3, 4, 27, 29, 31]",7,1.6648026584537987,1.440882479900615,1.1246405015150258,1.398341120850615
q10_ZDT1,2,exemplo,43,"[0, 1, 2, 4, 8, 11, 25, 29, 34, 41]","[0, 1, 2, 4, 8, 11, 23, 25, 29, 41]",[34],[23],1,1.3094317409418854,1.2990783782328237,1.1914669296760256,1.305338075000746
q10_ZDT1,3,exemplo,35,"[0, 1, 2, 5, 6, 8, 9, 14, 16, 22]","[0, 1, 2, 5, 6, 8, 9, 14, 22, 27]",[16],[27],1,1.2524468261420671,1.2510589305035356,0.5882870744981191,1.3086120636392131
q10_ZDT1,-1,RESUMO,-1,,,,,62,138.0,200.0,,
q10_ZDT4,1,exemplo,18,"[0, 1, 5, 6, 7, 8, 9, 10, 13, 15]","[1, 2, 5, 7, 8, 9, 10, 11, 15, 17]","[0, 6, 13]","[2, 11, 17]",3,0.6966275052826685,0.5865707009968776,0.18692892826505794,0.5904676963452635
q10_ZDT4,2,exemplo,13,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12]","[1, 11]","[2, 8]",2,0.5079580950371108,0.4982785743086879,0.33534250151563977,0.49700143033023675
q10_ZDT4,3,exemplo,15,"[0, 1, 3, 4, 5, 7, 8, 11, 12, 14]","[0, 1, 3, 4, 5, 8, 10, 12, 13, 14]","[7, 11]","[10, 13]",2,0.4346120300901733,0.41132785058799765,0.1355860895647146,0.3211433893815163
q10_ZDT4,-1,RESUMO,-1,,,,,52,108.0,200.0,,
