label,ts,name,geracao,n_lote,q,n_front,motivo,acao,valor,n_completado,n_pool_rank1mais
q10_WFG9,2026-07-26T22:54:01.604+00:00,lote_menor_que_q,6,7.0,10,7.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_WFG9,2026-07-26T22:54:01.623+00:00,lote_completado_por,6,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,3.0,2193.0
q10_WFG9,2026-07-26T22:54:54.328+00:00,lote_menor_que_q,13,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_WFG9,2026-07-26T22:54:54.342+00:00,lote_completado_por,13,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,2191.0
q10_WFG9,2026-07-26T22:55:10.315+00:00,lote_menor_que_q,15,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_WFG9,2026-07-26T22:55:10.330+00:00,lote_completado_por,15,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,2191.0
q10_WFG9,2026-07-26T23:45:20.374+00:00,lote_menor_que_q,171,8.0,10,8.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_WFG9,2026-07-26T23:45:20.443+00:00,lote_completado_por,171,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,2.0,2192.0
q10_ZDT4,2026-07-24T11:46:41.974+00:00,lote_menor_que_q,5,7.0,10,7.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:46:41.983+00:00,lote_completado_por,5,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,3.0,993.0
q10_ZDT4,2026-07-24T11:46:46.783+00:00,lote_menor_que_q,8,8.0,10,8.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:46:46.791+00:00,lote_completado_por,8,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,2.0,992.0
q10_ZDT4,2026-07-24T11:47:05.095+00:00,lote_menor_que_q,19,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:47:05.102+00:00,lote_completado_por,19,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
