label,exp,problema,n_linhas,rec_header,rec_fit,rec_sonda,rec_decision,rec_footer,n_header,n_footer,n_footer_runner,n_footer_desp,n_guard,guard_names,header_extras,ts_primeiro,ts_ultimo,man_created,man_updated,anomalia,rec_guard
BBOB_F1,main,BBOB_F1,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:02:11.456+00:00,2026-07-26T13:07:13.820+00:00,2026-07-26T13:07:13+00:00,2026-07-26T13:07:13+00:00,False,
BBOB_F17,main,BBOB_F17,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:02:59.274+00:00,2026-07-26T13:08:19.313+00:00,2026-07-26T13:08:18+00:00,2026-07-26T13:08:19+00:00,False,
BBOB_F22,main,BBOB_F22,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:03:12.684+00:00,2026-07-26T13:08:26.227+00:00,2026-07-26T13:08:25+00:00,2026-07-26T13:08:26+00:00,False,
BBOB_F37,main,BBOB_F37,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:05:41.769+00:00,2026-07-26T13:11:00.043+00:00,2026-07-26T13:10:59+00:00,2026-07-26T13:11:00+00:00,False,
BBOB_F49,main,BBOB_F49,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:07:17.236+00:00,2026-07-26T13:12:40.731+00:00,2026-07-26T13:12:40+00:00,2026-07-26T13:12:40+00:00,False,
BBOB_F5,main,BBOB_F5,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:08:22.687+00:00,2026-07-26T13:13:41.519+00:00,2026-07-26T13:13:40+00:00,2026-07-26T13:13:41+00:00,False,
BBOB_F55,main,BBOB_F55,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:08:29.095+00:00,2026-07-26T13:13:56.555+00:00,2026-07-26T13:13:55+00:00,2026-07-26T13:13:56+00:00,False,
DTLZ1,main,DTLZ1,354,1,140,71,140,2,1,2,1,1,0,,0,2026-07-26T12:16:38.915+00:00,2026-07-26T12:18:47.125+00:00,2026-07-26T12:18:46+00:00,2026-07-26T12:18:47+00:00,False,
DTLZ2,main,DTLZ2,604,1,240,121,240,2,1,2,1,1,0,,0,2026-07-26T13:13:44.806+00:00,2026-07-26T13:25:29.942+00:00,2026-07-26T13:25:29+00:00,2026-07-26T13:25:29+00:00,False,
DTLZ3,main,DTLZ3,604,1,240,121,240,2,1,2,1,1,0,,0,2026-07-26T13:13:59.408+00:00,2026-07-26T13:25:57.230+00:00,2026-07-26T13:25:56+00:00,2026-07-26T13:25:57+00:00,False,
DTLZ4,main,DTLZ4,604,1,240,121,240,2,1,2,1,1,0,,0,2026-07-26T13:16:33.667+00:00,2026-07-26T13:29:00.902+00:00,2026-07-26T13:29:00+00:00,2026-07-26T13:29:00+00:00,False,
DTLZ7,main,DTLZ7,1104,1,440,221,440,2,1,2,1,1,0,,0,2026-07-26T17:12:04.594+00:00,2026-07-26T18:25:13.588+00:00,2026-07-26T18:25:12+00:00,2026-07-26T18:25:13+00:00,False,
MMF1,main,MMF1,104,1,40,21,40,2,1,2,1,1,0,,0,2026-07-26T11:22:48.072+00:00,2026-07-26T11:23:00.283+00:00,2026-07-26T11:22:59+00:00,2026-07-26T11:23:00+00:00,False,
MMF11_L,main,MMF11_L,104,1,40,21,40,2,1,2,1,1,0,,0,2026-07-26T11:22:48.087+00:00,2026-07-26T11:22:59.886+00:00,2026-07-26T11:22:59+00:00,2026-07-26T11:22:59+00:00,False,
MMF16_20,main,MMF16_20,1004,1,400,201,400,2,1,2,1,1,0,,0,2026-07-26T22:38:19.911+00:00,2026-07-26T23:43:33.005+00:00,2026-07-26T23:43:32+00:00,2026-07-26T23:43:33+00:00,False,
MMF4,main,MMF4,104,1,40,21,40,2,1,2,1,1,0,,0,2026-07-26T11:22:48.091+00:00,2026-07-26T11:23:00.175+00:00,2026-07-26T11:22:59+00:00,2026-07-26T11:23:00+00:00,False,
WFG1,main,WFG1,1104,1,440,221,440,2,1,2,1,1,0,,0,2026-07-26T16:41:59.881+00:00,2026-07-26T17:41:14.298+00:00,2026-07-26T17:41:13+00:00,2026-07-26T17:41:14+00:00,False,
WFG2,main,WFG2,1104,1,440,221,440,2,1,2,1,1,0,,0,2026-07-26T16:40:19.615+00:00,2026-07-26T17:39:42.701+00:00,2026-07-26T17:39:41+00:00,2026-07-26T17:39:42+00:00,False,
WFG4,main,WFG4,1104,1,440,221,440,2,1,2,1,1,0,,0,2026-07-26T16:13:40.361+00:00,2026-07-26T17:12:39.116+00:00,2026-07-26T17:12:38+00:00,2026-07-26T17:12:39+00:00,False,
WFG5,main,WFG5,1104,1,440,221,440,2,1,2,1,1,0,,0,2026-07-26T16:11:18.777+00:00,2026-07-26T17:12:01.080+00:00,2026-07-26T17:12:00+00:00,2026-07-26T17:12:01+00:00,False,
WFG9,main,WFG9,1104,1,440,221,440,2,1,2,1,1,0,,0,2026-07-26T15:49:30.203+00:00,2026-07-26T16:41:56.240+00:00,2026-07-26T16:41:55+00:00,2026-07-26T16:41:56+00:00,False,
ZDT1,main,ZDT1,1504,1,600,301,600,2,1,2,1,1,0,,0,2026-07-26T13:25:33.420+00:00,2026-07-26T15:49:26.891+00:00,2026-07-26T15:49:26+00:00,2026-07-26T15:49:26+00:00,False,
ZDT3,main,ZDT3,1504,1,600,301,600,2,1,2,1,1,0,,0,2026-07-26T13:18:40.056+00:00,2026-07-26T15:45:40.035+00:00,2026-07-26T15:45:39+00:00,2026-07-26T15:45:40+00:00,False,
ZDT4,main,ZDT4,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:11:03.571+00:00,2026-07-26T13:16:30.168+00:00,2026-07-26T13:16:29+00:00,2026-07-26T13:16:30+00:00,False,
ZDT6,main,ZDT6,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T13:12:44.139+00:00,2026-07-26T13:18:36.409+00:00,2026-07-26T13:18:35+00:00,2026-07-26T13:18:36+00:00,False,
q10_DTLZ2,batch,DTLZ2,504,1,200,101,200,2,1,2,1,1,0,,0,2026-07-26T23:43:37.084+00:00,2026-07-27T01:18:59.886+00:00,2026-07-27T01:18:59+00:00,2026-07-27T01:18:59+00:00,False,
