label,exp,problema,D,M,q,nd_ini,nd_fim,nd_max,nd_monotono,nd_quedas,frac_arquivo
BBOB_F1,main,BBOB_F1,10,2,1,6,44,44,False,13,0.1423948220064725
BBOB_F17,main,BBOB_F17,10,2,1,3,11,11,False,4,0.03559870550161812
BBOB_F22,main,BBOB_F22,10,2,1,4,8,11,False,6,0.025889967637540454
BBOB_F37,main,BBOB_F37,10,2,1,5,7,7,False,4,0.022653721682847898
BBOB_F49,main,BBOB_F49,10,2,1,6,8,8,False,1,0.025889967637540454
BBOB_F5,main,BBOB_F5,10,2,1,2,44,44,False,9,0.1423948220064725
BBOB_F55,main,BBOB_F55,10,2,1,5,10,10,False,7,0.032362459546925564
DTLZ1,main,DTLZ1,7,3,1,18,47,47,False,2,0.2175925925925926
DTLZ2,main,DTLZ2,12,3,1,36,59,59,False,16,0.15902964959568733
DTLZ3,main,DTLZ3,12,3,1,19,46,46,False,10,0.12398921832884097
DTLZ4,main,DTLZ4,12,3,1,23,24,28,False,3,0.0646900269541779
DTLZ7,main,DTLZ7,22,3,1,20,39,40,False,9,0.05726872246696035
MMF1,main,MMF1,2,2,1,7,15,15,False,1,0.2459016393442623
MMF11_L,main,MMF11_L,2,2,1,9,12,14,False,3,0.19672131147540983
MMF16_20,main,MMF16_20,20,3,1,48,98,98,False,10,0.1583198707592892
MMF4,main,MMF4,2,2,1,9,18,18,True,0,0.29508196721311475
WFG1,main,WFG1,22,2,1,18,57,57,False,7,0.08370044052863436
WFG2,main,WFG2,22,2,1,8,12,12,False,1,0.01762114537444934
WFG4,main,WFG4,22,2,1,31,40,40,False,2,0.05873715124816446
WFG5,main,WFG5,22,2,1,37,34,37,False,28,0.049926578560939794
WFG9,main,WFG9,22,2,1,15,16,18,False,2,0.023494860499265784
ZDT1,main,ZDT1,30,2,1,9,25,26,False,16,0.02691065662002153
ZDT3,main,ZDT3,30,2,1,13,20,20,False,20,0.021528525296017224
ZDT4,main,ZDT4,10,2,1,7,9,9,False,1,0.02912621359223301
ZDT6,main,ZDT6,10,2,1,5,7,9,False,6,0.022653721682847898
q10_DTLZ2,batch,DTLZ2,12,3,10,37,134,150,False,20,0.06288127639605819
q10_MMF16_20,batch,MMF16_20,20,3,10,45,858,858,False,5,0.38666065795403337
q10_WFG9,batch,WFG9,22,2,10,13,14,19,False,6,0.006247211066488175
q10_ZDT1,batch,ZDT1,30,2,10,8,33,35,False,23,0.014169171318162302
q10_ZDT4,batch,ZDT4,10,2,10,6,11,12,False,7,0.005215742057847321
