problema,igd_e81,hv_e81,nd_e81,melhor_piso,piso_alg,piso_maq,e81_maq,delta_vs_piso,rank_sa,n_sa,melhor_sa,melhor_sa_alg,igd_c262,hv_c262,igd_c154,igd_c149
BBOB_F1,0.0469515551150373,0.954264607811446,44,0.1359531134257377,nsga2,vm3,mac,-0.6546489158508029,8,13,0.0014561014382336,c262,0.0014561014382336,1.0403226994233663,0.103299018237793,0.5081541720123823
BBOB_F17,0.0287209863025261,1.0975736575512138,11,0.0206141256299147,nsga2,vm3,mac,0.39326725848837,11,13,0.0169204487831311,b4,0.0216919194598772,1.1116354081117172,0.022178102876193,0.1056755247478009
BBOB_F22,0.2744287278956569,0.664293786314724,8,0.1591300073706684,smsemoa,vm3,mac,0.7245567472162445,10,13,0.0343287612981191,c141,0.0510757488279859,0.9953184625788916,0.1767560389473812,0.9286986822481096
BBOB_F37,0.3840170762957668,0.3951870014551313,7,0.2539185871646663,smsemoa,vm3,mac,0.512363000219167,12,13,0.1024378970815427,c141,0.2344353383257915,0.6074849026788872,0.2011868075349726,0.6755810637780066
BBOB_F49,0.3960335353340511,0.5677862419040169,8,0.2070601036537373,nsga2,vm3,mac,0.9126501356163257,10,13,0.0808517926800655,c141,0.1161096131479717,0.9162174720009444,0.1520568146150803,0.5068137110939831
BBOB_F5,0.0741954397539168,0.7681299472628389,44,0.1192824482234564,smsemoa,vm3,mac,-0.3779852705997145,7,13,0.0048277052418038,c262,0.0048277052418038,0.8932188048405649,0.1062638994517716,0.6099084260423756
BBOB_F55,0.0839347390588401,1.011087137853654,10,0.6061479210199184,nsga2,vm3,mac,-0.8615276302233132,4,12,0.0131182527468183,c141,0.2674844512531847,0.7986840833451776,,1.0904652008015157
DTLZ1,115.24365938433124,0.0,47,45.34570273153767,nsga2,vm3,mac,1.5414461005624673,13,13,54.67301493709471,c122,77.77173997171971,0.0,83.48756119703116,103.44305019405188
DTLZ2,0.3445419552659433,0.1066395533672711,59,0.1700820491933293,smsemoa,vm3,mac,1.0257396762330186,11,12,0.0306550164345873,c262,0.0306550164345873,0.7302774577505178,,0.4484192148968293
DTLZ3,347.94205442010565,0.0,46,129.76799112603217,smsemoa,vm3,mac,1.6812625471113312,10,12,187.57772767667743,c122,225.70073441422787,0.0,,336.89295211077524
DTLZ4,0.8196035272025544,0.0,9,0.2823977915542932,nsga3,vm3,mac,1.9023014758420274,10,11,0.116479171704431,c122,0.5919531214643767,0.1195027551650981,,0.8196035272025544
DTLZ7,1.3824103725188,0.0,39,1.1247085866087754,nsga3,vm3,mac,0.22912760601130266,10,11,0.0348965794170276,c141,,,,0.8591579138635647
MMF1,0.0368606366708409,0.7874289563251137,15,0.0570132770384747,nsga3,vm3,mac,-0.353472759582545,1,13,0.0368606366708409,e81,0.038685793504745,0.7906903921323448,0.0552846674762097,0.1177919509322293
MMF11_L,0.0280878655756214,0.9731748159357272,12,0.0231565498976292,nsga3,vm3,mac,0.21295554388683255,8,13,0.0119608514985232,c238,0.0165311383365109,1.0086556412532128,0.0468539955773992,0.0613789322932598
MMF16_20,0.0448224227129049,0.6728556049610249,98,0.0316158421272363,smsemoa,vm3,mac,0.4177203483152341,10,11,0.0189070252046334,c238,,,,0.0522199649986598
MMF4,0.0288949165112906,0.4782062442017938,18,0.0377119334276083,nsga3,vm3,mac,-0.23379912178840725,8,13,0.021017978540486,c262,0.021017978540486,0.4940012214225787,0.0274522534645026,0.0670513215866558
WFG1,0.9091001016821524,0.0,57,0.4953917959793528,smsemoa,vm3,mac,0.8351133568631854,9,10,0.4903966551100259,b4,,,,0.9015925076633736
WFG2,0.2293218732523223,0.4444401498755926,12,0.1227556938180429,nsga2,vm3,mac,0.8681159799580399,11,12,0.0565254541946007,c262,0.0565254541946007,0.6749189369974209,,0.2350808223111594
WFG4,0.1301816837610373,0.2018208930616164,40,0.044424346453198,smsemoa,vm3,mac,1.930413031471076,11,12,0.0651114772864435,b4,0.0723318949908459,0.2800120180377756,,0.1342986272449819
WFG5,0.1316901293261422,0.2137634713311957,34,0.0930752077028518,nsga2,vm3,mac,0.4148787048272928,10,12,0.0301642307265236,c238,0.0525619975816182,0.3403252409827246,,0.0803683376926884
WFG9,0.2340761007115886,0.09255034148157,16,0.0955346891283579,nsga3,vm3,mac,1.450168654415048,12,12,0.0750818925426917,c141,0.0919140678837228,0.244705402327952,,0.2046600707695784
ZDT1,1.1348366679255055,0.0,25,0.4440783896843883,nsga2,vm3,mac,1.5554872614541033,12,12,0.000702785674901,c262,0.000702785674901,0.8751996083017863,,0.2209102947269924
ZDT3,0.6110129328067266,0.0788236884749059,20,0.3442625865872861,nsga2,vm3,mac,0.7748455876770313,11,11,0.0126933727450429,b1,,,,0.3555264537766425
ZDT4,64.40387639929428,0.0,9,43.898268794314845,nsga2,vm3,mac,0.4671165439589058,11,13,5.928104893929911,c262,5.928104893929911,0.0,50.42486667521462,91.92166808266371
ZDT6,6.213994650680217,0.0,7,6.445675963031797,nsga2,vm3,mac,-0.03594367971340065,10,12,0.0024453730300986,c262,0.0024453730300986,0.6068385999452462,,1.7899857857483426
