label,exp,problema,ok,n_ck,viol_igd,viol_hv,igd_ini,igd_fim,ganho,hv_ini,hv_fim,nd_ini,nd_fim,cols
BBOB_F1,main,BBOB_F1,True,20,0,0,1.6651151931674129,0.04695155511503731,-0.9718028186231817,0.0,0.9542646078114461,1.0,44.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
BBOB_F17,main,BBOB_F17,True,20,0,0,2.4167899424756034,0.02872098630252613,-0.9881160601516298,0.0,1.0975736575512138,1.0,11.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
BBOB_F22,main,BBOB_F22,True,20,0,0,6.550407018400444,0.2744287278956569,-0.9581050876495504,0.0,0.664293786314724,1.0,8.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
BBOB_F37,main,BBOB_F37,True,20,0,0,1.182738987190214,0.3840170762957668,-0.6753154496005404,0.0,0.39518700145513136,1.0,7.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
BBOB_F49,main,BBOB_F49,True,20,0,0,1.3383037553621309,0.39603353533405117,-0.7040779914520312,0.0,0.5677862419040169,1.0,8.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
BBOB_F5,main,BBOB_F5,True,20,0,0,0.9165469299595926,0.07419543975391689,-0.9190489462910668,0.0,0.7681299472628389,1.0,44.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
BBOB_F55,main,BBOB_F55,True,20,0,0,1.388541999942182,0.08393473905884019,-0.9395518903552539,0.0,1.0110871378536541,1.0,10.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
DTLZ1,main,DTLZ1,True,20,0,0,541.7753550899159,115.24365938433125,-0.7872851573966394,0.0,0.0,1.0,47.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
DTLZ2,main,DTLZ2,True,20,0,0,1.6297304711986438,0.3445419552659433,-0.7885896095367614,0.0,0.10663955336727111,1.0,59.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
DTLZ3,main,DTLZ3,True,20,0,0,914.1600619307801,347.94205442010565,-0.6193860693441103,0.0,0.0,1.0,46.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
DTLZ4,main,DTLZ4,True,20,0,0,1.2302654075242083,0.8196035272025544,-0.33379942068603863,0.0,0.0,1.0,9.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
DTLZ7,main,DTLZ7,True,20,0,0,2.9506393479468724,1.3824103725188,-0.5314878541558408,0.0,0.0,1.0,39.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
MMF1,main,MMF1,True,20,0,0,2.8112970162129414,0.036860636670840975,-0.986888387652296,0.0,0.7874289563251137,1.0,15.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
MMF11_L,main,MMF11_L,True,20,0,0,0.5728206234612008,0.028087865575621443,-0.9509656872933382,0.35491092941886826,0.9731748159357271,1.0,12.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
MMF16_20,main,MMF16_20,True,20,0,0,0.8559201840763245,0.04482242271290496,-0.9476324737437106,0.0007634703280269999,0.6728556049610249,1.0,98.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
MMF4,main,MMF4,True,20,0,0,0.3675238638476179,0.028894916511290624,-0.9213794821136541,0.10826590377018551,0.47820624420179386,1.0,18.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
WFG1,main,WFG1,True,20,0,0,1.1163446066331106,0.9091001016821525,-0.18564563640971624,0.0,0.0,1.0,57.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
WFG2,main,WFG2,True,20,0,0,0.6595702461706784,0.22932187325232234,-0.6523162247179655,0.0,0.44444014987559266,1.0,12.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
WFG4,main,WFG4,True,20,0,0,0.32820668172874007,0.13018168376103736,-0.6033545597690441,0.036567718036918266,0.20182089306161646,1.0,40.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
WFG5,main,WFG5,True,20,0,0,0.5435150445367514,0.13169012932614224,-0.7577065609317506,0.029651148441600016,0.21376347133119578,1.0,34.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
WFG9,main,WFG9,True,20,0,0,0.6928485995065304,0.2340761007115886,-0.6621540393120441,0.0036088482727711945,0.09255034148157003,1.0,16.0,"igd,igd_plus,hv,gd,spacing,n_nd,fe"
