prob,n,L,HA,HB,eA,eB
BBOB_F1,200,0.1323,0.1136,0.8011,0.0527,0.6687
BBOB_F17,200,0.1301,0.0982,0.7945,0.0557,0.6645
BBOB_F22,203,0.1373,0.1095,0.748,0.0641,0.6107
BBOB_F37,201,0.1317,0.1113,0.7915,0.0558,0.6598
BBOB_F49,200,0.1455,0.1154,0.7732,0.074,0.6277
BBOB_F5,200,0.1354,0.1062,0.7588,0.0662,0.6252
BBOB_F55,200,0.1307,0.1087,0.8118,0.0528,0.6811
DTLZ1,140,0.3088,0.2919,0.6587,0.0728,0.3578
DTLZ2,250,0.4823,0.4686,0.5223,0.1127,0.1276
DTLZ3,243,0.2416,0.2073,0.6999,0.115,0.4618
DTLZ4,260,0.2752,0.3059,0.5589,0.2185,0.3779
DTLZ7,402,0.2297,0.1856,0.5643,0.2152,0.3876
MMF1,43,0.4588,0.4398,0.5596,0.0681,0.1627
MMF11_L,37,0.5133,0.5393,0.4696,0.0608,0.1501
MMF16_20,90,0.5409,0.4196,0.5369,0.2816,0.2977
MMF4,46,0.438,0.4408,0.5562,0.0642,0.1979
WFG1,150,0.5471,0.5535,0.5021,0.2918,0.2826
WFG2,440,0.1447,0.0942,0.7209,0.106,0.5928
WFG4,258,0.5968,0.5241,0.4807,0.1754,0.1945
WFG5,369,0.446,0.3467,0.5645,0.2405,0.2969
WFG9,442,0.2708,0.1898,0.6428,0.1931,0.4104
ZDT1,515,0.2293,0.13,0.5713,0.225,0.4231
ZDT3,478,0.2504,0.1146,0.5262,0.2515,0.4174
ZDT4,201,0.1199,0.1079,0.8199,0.0371,0.6993
ZDT6,200,0.1546,0.1201,0.7155,0.0847,0.5641
