alg,label,M,pop,n_ger,onset_obs,congeladas,turn_1,turn_mean,amp_g1,amp_last,n_ger_amp_zero,onset_pred,casa,mu_unicos,sg_unicos,X_ident_ultima,parcial_bnd,parcial_J,slots_pred,slots_mortos,n_slots_mortos
b5m,BBOB_F1,2,50,801,801,1,1.0,0.317275,323.2667236328125,82.9837293624878,0,,False,22873,22788,False,,None,[],None,
b5m,BBOB_F17,2,50,801,801,1,1.0,0.6507,64067448.42965317,55553.989349365234,1,,False,8164,8710,False,,None,[],None,
b5m,BBOB_F22,2,50,801,801,1,1.0,0.218925,1451194.4698486328,34667.02862548828,0,,False,10477,10442,False,,None,[],None,
b5m,BBOB_F37,2,50,801,801,1,0.98,0.3619,5120.59428024292,2127.225372314453,0,,False,23751,23741,False,,None,[],None,
b5m,BBOB_F49,2,50,801,801,1,0.98,0.720375,7370.715335845947,259.56288146972656,0,,False,27055,26978,False,,None,[],None,
b5m,BBOB_F5,2,50,801,801,1,1.0,0.304,1412.1953620910645,298.452600479126,0,,False,20575,20539,False,,None,[],None,
b5m,BBOB_F55,2,50,801,801,1,0.98,0.4674,67.58670043945312,81.82001495361328,0,,False,23248,23266,False,,None,[],None,
b5m,DTLZ1,3,105,381,11,371,1.0,0.02631578947368421,0.0,0.0,381,1.0,False,1,1,False,,None,[],None,
b5m,DTLZ2,3,105,381,381,1,0.9714285714285714,0.1425563909774436,6.476674970239401,5.091206282377243,0,,False,15983,15984,False,,None,[],None,
b5m,DTLZ3,3,105,381,1,381,0.0,0.0,0.0,0.0,381,1.0,True,1,1,False,,None,[],None,
b5m,DTLZ4,3,105,381,381,1,0.9904761904761905,0.8325563909774436,1.8117792010307312,0.6233209408819675,0,,False,32461,29992,False,1.0,[1],[13],[],0.0
b5m,DTLZ7,3,105,381,381,1,1.0,0.3723558897243108,10.602101020980626,9.877377076074481,0,,False,28004,10232,False,,None,[],None,
b5m,MMF1,2,50,801,801,1,0.92,0.340575,9.507874343544245,2.115972017403692,0,,False,13271,13291,False,,None,[],None,
b5m,MMF11_L,2,50,801,800,2,1.0,0.0859,15.040267437696457,8.878287628293037,0,,False,5886,3584,False,,None,[],None,
b5m,MMF16_20,3,105,381,381,1,1.0,0.14764411027568922,9.145157866179943,11.09968090057373,0,,False,15913,15916,False,,None,[],None,
b5m,MMF4,2,50,801,801,1,0.98,0.1038,3.6060593239963055,3.0568402595818043,0,,False,6921,6922,False,,None,[],None,
b5m,WFG1,2,50,801,801,1,1.0,0.2636,0.37353354692459106,0.6319588422775269,0,,False,18608,18656,False,,None,[],None,
b5m,WFG2,2,50,801,801,1,1.0,0.269525,4.283068060874939,5.754456177353859,0,,False,16608,16611,False,,None,[],None,
b5m,WFG4,2,50,801,801,1,1.0,0.246,4.386335223913193,5.400383353233337,0,,False,14852,14854,False,,None,[],None,
b5m,WFG5,2,50,801,801,1,1.0,0.18895,4.506946563720703,6.872252434492111,0,,False,11259,11260,False,,None,[],None,
b5m,WFG9,2,50,801,801,1,0.98,0.2207,5.037219405174255,7.424371540546417,0,,False,13226,13225,False,,None,[],None,
b5m,ZDT1,2,50,801,801,1,0.98,0.23105,3.9223325960338116,2.7704733279533684,0,,False,16538,8376,False,,None,[],None,
b5m,ZDT3,2,50,801,801,1,1.0,0.307975,4.070050165057182,4.021129101805855,0,,False,17303,9529,False,,None,[],None,
b5m,ZDT4,2,50,801,801,1,0.98,0.892925,89.9032415933907,13.661289018113166,0,,False,24033,14373,False,,None,[],None,
b5m,ZDT6,2,50,801,801,1,1.0,0.18925,3.027566969394684,3.0146865025162697,0,,False,12096,12113,False,,None,[],None,
b5m,swap_medium-lhs_DTLZ2,3,105,381,381,1,0.9904761904761905,0.14328320802005012,6.253873432055116,3.9720105193555355,0,,False,16243,16240,False,,None,[],None,
b5m,swap_medium-lhs_MMF16_20,3,105,381,381,1,1.0,0.9929824561403509,6.711444417249545,0.876872823979081,0,,False,57286,38179,False,,None,[],None,
b5m,swap_medium-lhs_WFG9,2,50,801,801,1,1.0,0.2373,6.679515719413757,7.036712557077408,0,,False,14293,14298,False,,None,[],None,
b5m,swap_medium-lhs_ZDT1,2,50,801,801,1,1.0,0.128575,3.7552853394299746,2.6367239877581596,0,,False,7094,3860,False,,None,[],None,
b5m,swap_medium-lhs_ZDT4,2,50,801,801,1,1.0,0.998725,103.93970393296331,4.321780696511269,0,,False,22131,15174,False,,None,[],None,
