problema,D,M,N,n_init,n_ref_decl,teto_H0,teto_H1,n_blocos,g1,max_ez_g1,med_ez_g1,frac_gt_2N_g1,g1_excede_H0,g1_excede_H1,max_ez_grest,n_blocos_rest_violam_H0,n_blocos_rest,t_sonda_g1,t_sonda_g2,t_sonda_med_rest,razao_t_g1_med,razao_t_g1_g2,razao_prevista_H1
BBOB_F1,10,4,11,109,11,22,218,101,1,130.34410095214844,36.19650650024414,0.6695,True,False,9.439169883728027,0,100,5.389489650726318,0.5209863185882568,0.4719088077545166,11.420616784779083,10.344781539235989,9.909090909090908
BBOB_F17,10,4,11,109,11,22,218,101,1,146.82408142089844,22.387396812438965,0.5035,True,False,8.737174987792969,0,100,5.394850730895996,0.4870879650115967,0.47158968448638916,11.439713183657858,11.075721673327639,9.909090909090908
BBOB_F22,10,4,11,109,11,22,218,101,1,122.39627838134766,49.3380241394043,0.818,True,False,6.1165947914123535,0,100,5.339262962341309,0.4938516616821289,0.46922755241394043,11.378835140591123,10.811471088616004,9.909090909090908
BBOB_F37,10,4,11,109,11,22,218,101,1,137.3412322998047,42.957441329956055,0.714,True,False,11.655481338500977,0,100,5.345633029937744,0.5296359062194824,0.47192811965942383,11.327218716688305,10.093033661736863,9.909090909090908
BBOB_F49,10,4,11,109,11,22,218,101,1,119.6408462524414,33.68105506896973,0.6565,True,False,9.238160133361816,0,100,5.4985175132751465,0.5217690467834473,0.47482776641845703,11.580025226303643,10.538220975682421,9.909090909090908
BBOB_F5,10,4,11,109,11,22,218,101,1,164.0558624267578,49.79590606689453,0.778,True,False,11.34803581237793,0,100,5.340156078338623,0.4597775936126709,0.46919023990631104,11.381643572562288,11.614650545231473,9.909090909090908
BBOB_F55,10,4,11,109,11,22,218,101,1,173.85928344726562,57.141489028930664,0.828,True,False,11.383496284484863,0,100,5.319316864013672,0.4658849239349365,0.47119808197021484,11.288918753175048,11.41766258303852,9.909090909090908
DTLZ1,7,5,15,76,15,30,152,71,1,84.34614562988281,7.388507843017578,0.093,True,False,9.981734275817871,0,70,3.477994680404663,0.5830962657928467,0.5730854272842407,6.068893946381289,5.9647006582619255,5.066666666666666
DTLZ2,12,5,15,131,15,30,262,121,1,65.1719741821289,9.721109390258789,0.0745,True,False,3.941624164581299,0,120,6.7558183670043945,0.6993889808654785,0.6857550144195557,9.851649969665521,9.659600811331368,8.733333333333333
DTLZ3,12,5,15,131,15,30,262,121,1,94.91818237304688,10.258173942565918,0.149,True,False,7.999222755432129,0,120,6.739009857177734,0.6827073097229004,0.6881955862045288,9.79228869273063,9.871008792791434,8.733333333333333
DTLZ4,12,5,15,131,15,30,262,121,1,235.120849609375,79.77987289428711,0.868,True,False,16.528308868408203,0,120,6.6775312423706055,0.6627752780914307,0.6817145347595215,9.795201513088086,10.075106092670874,8.733333333333333
DTLZ7,22,5,15,241,15,30,482,221,1,325.2469177246094,51.79057693481445,0.698,True,False,11.982630729675293,0,220,15.034767150878906,0.8628346920013428,0.8900061845779419,16.892879410729805,17.424852396703944,16.066666666666666
