alg,exp,prob,host,created,created_cons,estado
c311,sweep-small-lhs,ZDT4,MAC,2026-07-26T11:08:26+00:00,,sem_consolidada
c311,sweep-small-lhs,DTLZ2,MAC,2026-07-26T11:24:14+00:00,,sem_consolidada
c311,sweep-small-lhs,ZDT1,MAC,2026-07-26T11:08:41+00:00,,sem_consolidada
c311,sweep-small-lhs,MMF16_20,MAC,2026-07-26T11:09:22+00:00,,sem_consolidada
c311,sweep-small-lhs,WFG9,MAC,2026-07-26T11:08:11+00:00,,sem_consolidada
e103,sweep-small-lhs,ZDT1,VM,2026-07-26T10:49:05Z,,sem_consolidada
e103,sweep-small-lhs,MMF16_20,VM,2026-07-26T10:44:32Z,,sem_consolidada
e103,sweep-small-lhs,ZDT4,VM,2026-07-26T10:42:04Z,,sem_consolidada
e103,sweep-small-lhs,WFG9,VM,2026-07-26T10:44:08Z,,sem_consolidada
e103,sweep-small-lhs,DTLZ2,VM,2026-07-26T10:42:00Z,,sem_consolidada
moead_media,sweep-small-lhs,WFG9,MAC,2026-07-26T11:25:02+00:00,,sem_consolidada
moead_media,sweep-small-lhs,DTLZ2,MAC,2026-07-26T11:24:08+00:00,,sem_consolidada
moead_media,sweep-small-lhs,ZDT1,MAC,2026-07-26T11:26:29+00:00,,sem_consolidada
moead_media,sweep-small-lhs,MMF16_20,MAC,2026-07-26T11:25:06+00:00,,sem_consolidada
moead_media,sweep-small-lhs,ZDT4,MAC,2026-07-26T11:24:56+00:00,,sem_consolidada
b5r,sweep-small-lhs,WFG9,MAC,2026-07-26T12:12:20+00:00,,sem_consolidada
b5r,sweep-small-lhs,ZDT4,MAC,2026-07-26T12:13:35+00:00,,sem_consolidada
b5r,sweep-small-lhs,MMF1,MAC,2026-07-24T00:15:04+00:00,,sem_consolidada
b5r,sweep-small-lhs,DTLZ2,MAC,2026-07-26T12:10:30+00:00,,sem_consolidada
b5r,sweep-small-lhs,MMF16_20,MAC,2026-07-26T12:13:53+00:00,,sem_consolidada
b5r,sweep-small-lhs,ZDT1,MAC,2026-07-26T12:13:59+00:00,,sem_consolidada
b5m,sweep-small-lhs,WFG9,MAC,2026-07-27T03:08:25+00:00,,sem_consolidada
b5m,sweep-small-lhs,MMF16_20,MAC,2026-07-27T03:19:27+00:00,,sem_consolidada
b5m,sweep-small-lhs,DTLZ2,MAC,2026-07-27T03:46:07+00:00,,sem_consolidada
b5m,sweep-small-lhs,ZDT1,MAC,2026-07-27T02:58:09+00:00,,sem_consolidada
b5m,sweep-small-lhs,ZDT4,MAC,2026-07-27T02:21:58+00:00,,sem_consolidada
c311,sweep-medium-lhs,DTLZ2,MAC,2026-07-26T11:32:17+00:00,,sem_consolidada
c311,sweep-medium-lhs,ZDT4,MAC,2026-07-26T11:31:44+00:00,,sem_consolidada
c311,sweep-medium-lhs,ZDT1,MAC,2026-07-26T11:31:52+00:00,,sem_consolidada
c311,sweep-medium-lhs,MMF16_20,MAC,2026-07-26T11:33:01+00:00,,sem_consolidada
c311,sweep-medium-lhs,WFG9,MAC,2026-07-26T11:31:22+00:00,,sem_consolidada
e103,sweep-medium-lhs,ZDT1,VM,2026-07-26T11:52:38Z,,sem_consolidada
e103,sweep-medium-lhs,MMF16_20,VM,2026-07-26T11:23:36Z,,sem_consolidada
e103,sweep-medium-lhs,ZDT4,VM,2026-07-24T00:48:07Z,,sem_consolidada
e103,sweep-medium-lhs,WFG9,VM,2026-07-26T11:15:43Z,,sem_consolidada
e103,sweep-medium-lhs,DTLZ2,VM,2026-07-26T11:02:41Z,,sem_consolidada
moead_media,sweep-medium-lhs,ZDT1,MAC,2026-07-26T11:57:22+00:00,,sem_consolidada
moead_media,sweep-medium-lhs,ZDT4,MAC,2026-07-26T11:58:06+00:00,,sem_consolidada
moead_media,sweep-medium-lhs,WFG9,MAC,2026-07-26T11:53:56+00:00,,sem_consolidada
moead_media,sweep-medium-lhs,DTLZ2,MAC,2026-07-26T11:54:46+00:00,,sem_consolidada
moead_media,sweep-medium-lhs,MMF16_20,MAC,2026-07-26T11:57:06+00:00,,sem_consolidada
b5r,sweep-medium-lhs,MMF16_20,MAC,2026-07-26T12:50:49+00:00,,sem_consolidada
b5r,sweep-medium-lhs,ZDT1,MAC,2026-07-26T12:52:11+00:00,,sem_consolidada
b5r,sweep-medium-lhs,ZDT4,MAC,2026-07-26T12:52:02+00:00,,sem_consolidada
b5r,sweep-medium-lhs,DTLZ2,MAC,2026-07-26T12:50:50+00:00,,sem_consolidada
b5r,sweep-medium-lhs,WFG9,MAC,2026-07-26T12:46:30+00:00,,sem_consolidada
b5m,sweep-medium-lhs,ZDT4,MAC,2026-07-24T01:28:24+00:00,,sem_consolidada
b5m,sweep-medium-lhs,ZDT1,MAC,2026-07-26T16:13:36+00:00,,sem_consolidada
b5m,sweep-medium-lhs,DTLZ2,MAC,2026-07-26T16:40:15+00:00,,sem_consolidada
b5m,sweep-medium-lhs,MMF16_20,MAC,2026-07-24T02:03:58+00:00,,sem_consolidada
b5m,sweep-medium-lhs,WFG9,MAC,2026-07-26T16:11:15+00:00,,sem_consolidada
c311,sweep-big-lhs,WFG9,MAC,2026-07-26T11:33:56+00:00,,sem_consolidada
c311,sweep-big-lhs,DTLZ2,MAC,2026-07-26T11:38:43+00:00,,sem_consolidada
c311,sweep-big-lhs,ZDT1,MAC,2026-07-26T11:34:56+00:00,,sem_consolidada
c311,sweep-big-lhs,ZDT4,MAC,2026-07-24T01:35:15+00:00,,sem_consolidada
c311,sweep-big-lhs,MMF16_20,MAC,2026-07-26T11:37:56+00:00,,sem_consolidada
treed_media,sweep-big-lhs,ZDT1,MAC,2026-07-25T01:03:49+00:00,,sem_consolidada
treed_media,sweep-big-lhs,DTLZ2,MAC,2026-07-24T22:33:22+00:00,,sem_consolidada
treed_media,sweep-big-lhs,MMF16_20,MAC,2026-07-25T01:04:10+00:00,,sem_consolidada
treed_media,sweep-big-lhs,ZDT4,MAC,2026-07-24T22:32:29+00:00,,sem_consolidada
treed_media,sweep-big-lhs,WFG9,MAC,2026-07-25T01:03:57+00:00,,sem_consolidada
c311,sweep-big-mvns,MMF16_20,MAC,2026-07-26T11:38:13+00:00,,sem_consolidada
c311,sweep-big-mvns,DTLZ2,MAC,2026-07-26T11:37:56+00:00,,sem_consolidada
c311,sweep-big-mvns,WFG9,MAC,2026-07-26T11:38:28+00:00,,sem_consolidada
c311,sweep-big-mvns,ZDT4,MAC,2026-07-24T02:02:55+00:00,,sem_consolidada
c311,sweep-big-mvns,ZDT1,MAC,2026-07-26T11:41:30+00:00,,sem_consolidada
treed_media,sweep-big-mvns,ZDT1,MAC,2026-07-26T11:23:09+00:00,,sem_consolidada
treed_media,sweep-big-mvns,DTLZ2,MAC,2026-07-26T11:23:01+00:00,,sem_consolidada
treed_media,sweep-big-mvns,ZDT4,MAC,2026-07-24T22:33:10+00:00,,sem_consolidada
treed_media,sweep-big-mvns,MMF16_20,MAC,2026-07-26T11:08:13+00:00,,sem_consolidada
treed_media,sweep-big-mvns,WFG9,MAC,2026-07-26T11:23:09+00:00,,sem_consolidada
c311,sweep-medium-mvns,ZDT4,MAC,2026-07-26T11:33:27+00:00,,sem_consolidada
c311,sweep-medium-mvns,MMF16_20,MAC,2026-07-26T11:33:45+00:00,,sem_consolidada
c311,sweep-medium-mvns,ZDT1,MAC,2026-07-26T11:33:24+00:00,,sem_consolidada
c311,sweep-medium-mvns,DTLZ2,MAC,2026-07-26T11:33:10+00:00,,sem_consolidada
c311,sweep-medium-mvns,WFG9,MAC,2026-07-26T11:32:31+00:00,,sem_consolidada
e103,sweep-medium-mvns,ZDT1,VM,2026-07-26T12:08:54Z,,sem_consolidada
e103,sweep-medium-mvns,DTLZ2,VM,2026-07-26T11:09:21Z,,sem_consolidada
e103,sweep-medium-mvns,ZDT4,VM,2026-07-26T11:22:00Z,,sem_consolidada
e103,sweep-medium-mvns,WFG9,VM,2026-07-26T11:29:28Z,,sem_consolidada
