exp,arq,n,nlink,mtime,mesmo_inode_que_canonico
main,exp_main_e103_DTLZ2_0__final.parquet,200,1,21:39:36,False
main,exp_main_e103_MMF1_0__final.parquet,200,1,21:39:37,False
main,exp_main_e103_ZDT1_0__final.parquet,200,1,21:39:38,False
off,exp_off_e103_BBOB_F17_42__final.parquet,100,3,21:57:26,True
off,exp_off_e103_BBOB_F1_42__final.parquet,100,3,21:57:24,True
off,exp_off_e103_BBOB_F22_42__final.parquet,100,3,21:57:26,True
off,exp_off_e103_BBOB_F37_42__final.parquet,100,3,21:57:27,True
off,exp_off_e103_BBOB_F49_42__final.parquet,100,3,21:57:27,True
off,exp_off_e103_BBOB_F55_42__final.parquet,100,3,21:57:28,True
off,exp_off_e103_BBOB_F5_42__final.parquet,100,3,21:57:25,True
off,exp_off_e103_DTLZ1_42__final.parquet,100,3,21:57:19,True
off,exp_off_e103_DTLZ2_42__final.parquet,100,3,21:57:19,True
off,exp_off_e103_DTLZ3_42__final.parquet,100,3,21:57:20,True
off,exp_off_e103_DTLZ4_42__final.parquet,100,3,21:57:20,True
off,exp_off_e103_DTLZ7_42__final.parquet,100,3,21:57:21,True
off,exp_off_e103_MMF11_L_42__final.parquet,100,3,21:57:16,True
off,exp_off_e103_MMF16_20_42__final.parquet,100,3,21:57:16,True
off,exp_off_e103_MMF1_0__final.parquet,200,1,21:42:00,False
off,exp_off_e103_MMF1_42__final.parquet,100,3,21:57:01,True
off,exp_off_e103_MMF4_42__final.parquet,100,3,21:57:15,True
off,exp_off_e103_WFG1_42__final.parquet,100,3,21:57:22,True
off,exp_off_e103_WFG2_42__final.parquet,100,3,21:57:22,True
off,exp_off_e103_WFG4_42__final.parquet,100,3,21:57:23,True
off,exp_off_e103_WFG5_42__final.parquet,100,3,21:57:23,True
off,exp_off_e103_WFG9_42__final.parquet,100,3,21:57:24,True
off,exp_off_e103_ZDT1_42__final.parquet,100,3,21:57:17,True
off,exp_off_e103_ZDT3_42__final.parquet,100,3,21:57:17,True
off,exp_off_e103_ZDT4_42__final.parquet,100,3,21:57:18,True
off,exp_off_e103_ZDT6_42__final.parquet,100,3,21:57:18,True
sweep-medium-lhs,exp_sweep-medium-lhs_e103_DTLZ2_42__final.parquet,100,3,21:57:34,True
sweep-medium-lhs,exp_sweep-medium-lhs_e103_MMF16_20_42__final.parquet,100,3,21:57:33,True
sweep-medium-lhs,exp_sweep-medium-lhs_e103_WFG9_42__final.parquet,100,3,21:57:34,True
sweep-medium-lhs,exp_sweep-medium-lhs_e103_ZDT1_42__final.parquet,100,3,21:57:35,True
sweep-medium-lhs,exp_sweep-medium-lhs_e103_ZDT4_42__final.parquet,200,2,21:42:51,False
sweep-medium-mvns,exp_sweep-medium-mvns_e103_DTLZ2_42__final.parquet,100,3,21:57:36,True
sweep-medium-mvns,exp_sweep-medium-mvns_e103_MMF16_20_42__final.parquet,100,3,21:57:35,True
sweep-medium-mvns,exp_sweep-medium-mvns_e103_WFG9_42__final.parquet,100,3,21:57:37,True
sweep-medium-mvns,exp_sweep-medium-mvns_e103_ZDT1_42__final.parquet,100,3,21:57:38,True
sweep-medium-mvns,exp_sweep-medium-mvns_e103_ZDT4_42__final.parquet,100,3,21:57:36,True
sweep-small-lhs,exp_sweep-small-lhs_e103_DTLZ2_42__final.parquet,100,3,21:57:29,True
sweep-small-lhs,exp_sweep-small-lhs_e103_MMF16_20_42__final.parquet,100,3,21:57:28,True
sweep-small-lhs,exp_sweep-small-lhs_e103_WFG9_42__final.parquet,100,3,21:57:30,True
sweep-small-lhs,exp_sweep-small-lhs_e103_ZDT1_42__final.parquet,100,3,21:57:30,True
sweep-small-lhs,exp_sweep-small-lhs_e103_ZDT4_42__final.parquet,100,3,21:57:29,True
sweep-small-mvns,exp_sweep-small-mvns_e103_DTLZ2_42__final.parquet,100,3,21:57:32,True
sweep-small-mvns,exp_sweep-small-mvns_e103_MMF16_20_42__final.parquet,100,3,21:57:31,True
sweep-small-mvns,exp_sweep-small-mvns_e103_WFG9_42__final.parquet,100,3,21:57:32,True
sweep-small-mvns,exp_sweep-small-mvns_e103_ZDT1_42__final.parquet,100,3,21:57:33,True
sweep-small-mvns,exp_sweep-small-mvns_e103_ZDT4_42__final.parquet,100,3,21:57:31,True
