celula,existe_canonico,n_esp,n_can,nd_esp,nd_can,sideN_esp,sideN_can,mesmo_inode,md5_igual,nlink_esp,nlink_can,mtime_esp,mtime_can
BBOB_F1,True,100,100,99,99,100,100,True,True,3,3,21:57:24.966,21:57:24.966
BBOB_F17,True,100,100,9,9,100,100,True,True,3,3,21:57:26.075,21:57:26.075
BBOB_F22,True,100,100,20,20,100,100,True,True,3,3,21:57:26.626,21:57:26.626
BBOB_F37,True,100,100,5,5,100,100,True,True,3,3,21:57:27.151,21:57:27.151
BBOB_F49,True,100,100,15,15,100,100,True,True,3,3,21:57:27.704,21:57:27.704
BBOB_F5,True,100,100,74,74,100,100,True,True,3,3,21:57:25.501,21:57:25.501
BBOB_F55,True,100,100,4,4,100,100,True,True,3,3,21:57:28.200,21:57:28.200
DTLZ1,True,100,100,24,24,100,100,True,True,3,3,21:57:19.338,21:57:19.338
DTLZ2,True,100,100,81,81,100,100,True,True,3,3,21:57:19.916,21:57:19.916
DTLZ3,True,100,100,46,46,100,100,True,True,3,3,21:57:20.449,21:57:20.449
DTLZ4,True,100,100,22,22,100,100,True,True,3,3,21:57:20.967,21:57:20.967
DTLZ7,True,100,100,40,40,100,100,True,True,3,3,21:57:21.532,21:57:21.532
MMF1,True,100,100,37,37,100,100,True,True,3,3,21:57:01.465,21:57:01.465
MMF11_L,True,100,100,73,73,100,100,True,True,3,3,21:57:16.106,21:57:16.106
MMF16_20,True,100,100,100,100,100,100,True,True,3,3,21:57:16.645,21:57:16.645
MMF4,True,100,100,71,71,100,100,True,True,3,3,21:57:15.615,21:57:15.615
WFG1,True,100,100,38,38,100,100,True,True,3,3,21:57:22.082,21:57:22.082
WFG2,True,100,100,12,12,100,100,True,True,3,3,21:57:22.633,21:57:22.633
WFG4,True,100,100,26,26,100,100,True,True,3,3,21:57:23.192,21:57:23.192
WFG5,True,100,100,31,31,100,100,True,True,3,3,21:57:23.736,21:57:23.736
WFG9,True,100,100,19,19,100,100,True,True,3,3,21:57:24.414,21:57:24.414
ZDT1,True,100,100,95,95,100,100,True,True,3,3,21:57:17.206,21:57:17.206
ZDT3,True,100,100,26,26,100,100,True,True,3,3,21:57:17.768,21:57:17.768
ZDT4,True,100,100,7,7,100,100,True,True,3,3,21:57:18.301,21:57:18.301
ZDT6,True,100,100,5,5,100,100,True,True,3,3,21:57:18.812,21:57:18.812
swap_medium-lhs_DTLZ2,True,100,100,70,70,100,100,True,True,3,3,21:57:34.275,21:57:34.275
swap_medium-lhs_MMF16_20,True,100,100,100,100,100,100,True,True,3,3,21:57:33.664,21:57:33.664
swap_medium-lhs_WFG9,True,100,100,11,11,100,100,True,True,3,3,21:57:34.806,21:57:34.806
swap_medium-lhs_ZDT1,True,100,100,92,92,100,100,True,True,3,3,21:57:35.315,21:57:35.315
swap_medium-lhs_ZDT4,True,200,100,10,5,200,100,False,False,2,1,21:42:51.516,21:42:52.741
swap_medium-mvns_DTLZ2,True,100,100,22,22,100,100,True,True,3,3,21:57:36.851,21:57:36.851
swap_medium-mvns_MMF16_20,True,100,100,99,99,100,100,True,True,3,3,21:57:35.860,21:57:35.860
swap_medium-mvns_WFG9,True,100,100,19,19,100,100,True,True,3,3,21:57:37.344,21:57:37.344
swap_medium-mvns_ZDT1,True,100,100,94,94,100,100,True,True,3,3,21:57:38.030,21:57:38.030
swap_medium-mvns_ZDT4,True,100,100,4,4,100,100,True,True,3,3,21:57:36.370,21:57:36.370
swap_small-lhs_DTLZ2,True,100,100,81,81,100,100,True,True,3,3,21:57:29.691,21:57:29.691
swap_small-lhs_MMF16_20,True,100,100,100,100,100,100,True,True,3,3,21:57:28.708,21:57:28.708
swap_small-lhs_WFG9,True,100,100,19,19,100,100,True,True,3,3,21:57:30.227,21:57:30.227
swap_small-lhs_ZDT1,True,100,100,95,95,100,100,True,True,3,3,21:57:30.725,21:57:30.725
swap_small-lhs_ZDT4,True,100,100,7,7,100,100,True,True,3,3,21:57:29.203,21:57:29.203
swap_small-mvns_DTLZ2,True,100,100,52,52,100,100,True,True,3,3,21:57:32.233,21:57:32.233
swap_small-mvns_MMF16_20,True,100,100,51,51,100,100,True,True,3,3,21:57:31.255,21:57:31.255
swap_small-mvns_WFG9,True,100,100,13,13,100,100,True,True,3,3,21:57:32.721,21:57:32.721
swap_small-mvns_ZDT1,True,100,100,96,96,100,100,True,True,3,3,21:57:33.186,21:57:33.186
swap_small-mvns_ZDT4,True,100,100,1,1,100,100,True,True,3,3,21:57:31.745,21:57:31.745
