config,celula,n_esp,n_can,sideN,igual
b5m,BBOB_F1,50,50,50,True
b5m,BBOB_F17,50,50,50,True
b5m,BBOB_F22,50,50,50,True
b5m,BBOB_F37,50,50,50,True
b5m,BBOB_F49,50,50,50,True
b5m,BBOB_F5,50,50,50,True
b5m,BBOB_F55,50,50,50,True
b5m,DTLZ1,105,105,105,True
b5m,DTLZ2,105,105,105,True
b5m,DTLZ3,105,105,105,True
b5m,DTLZ4,105,105,105,True
b5m,DTLZ7,105,105,105,True
b5m,MMF1,50,50,50,True
b5m,MMF11_L,50,50,50,True
b5m,MMF16_20,105,105,105,True
b5m,MMF4,50,50,50,True
b5m,WFG1,50,50,50,True
b5m,WFG2,50,50,50,True
b5m,WFG4,50,50,50,True
b5m,WFG5,50,50,50,True
b5m,WFG9,50,50,50,True
b5m,ZDT1,50,50,50,True
b5m,ZDT3,50,50,50,True
b5m,ZDT4,50,50,50,True
b5m,ZDT6,50,50,50,True
b5m,swap_medium-lhs_DTLZ2,105,105,105,True
b5m,swap_medium-lhs_MMF16_20,105,105,105,True
b5m,swap_medium-lhs_WFG9,50,50,50,True
b5m,swap_medium-lhs_ZDT1,50,50,50,True
b5m,swap_medium-lhs_ZDT4,50,50,50,True
b5m,swap_medium-mvns_DTLZ2,105,105,105,True
b5m,swap_medium-mvns_MMF16_20,105,105,105,True
b5m,swap_medium-mvns_WFG9,50,50,50,True
b5m,swap_medium-mvns_ZDT1,50,50,50,True
b5m,swap_medium-mvns_ZDT4,50,50,50,True
b5m,swap_small-lhs_DTLZ2,105,105,105,True
b5m,swap_small-lhs_MMF16_20,105,105,105,True
b5m,swap_small-lhs_WFG9,50,50,50,True
b5m,swap_small-lhs_ZDT1,50,50,50,True
b5m,swap_small-lhs_ZDT4,50,50,50,True
b5m,swap_small-mvns_DTLZ2,105,105,105,True
b5m,swap_small-mvns_MMF16_20,105,105,105,True
b5m,swap_small-mvns_WFG9,50,50,50,True
b5m,swap_small-mvns_ZDT1,50,50,50,True
b5m,swap_small-mvns_ZDT4,50,50,50,True
b5r,BBOB_F1,48,48,48,True
b5r,BBOB_F17,29,29,29,True
b5r,BBOB_F22,39,39,39,True
b5r,BBOB_F37,50,50,50,True
b5r,BBOB_F49,46,46,46,True
b5r,BBOB_F5,46,46,46,True
b5r,BBOB_F55,44,44,44,True
b5r,DTLZ1,51,51,51,True
b5r,DTLZ2,83,83,83,True
b5r,DTLZ3,38,38,38,True
b5r,DTLZ4,14,14,14,True
b5r,DTLZ7,52,52,52,True
b5r,MMF1,44,44,44,True
b5r,MMF11_L,48,48,48,True
b5r,MMF16_20,74,74,74,True
b5r,MMF4,48,48,48,True
b5r,WFG1,46,46,46,True
b5r,WFG2,42,42,42,True
b5r,WFG4,46,46,46,True
b5r,WFG5,44,44,44,True
b5r,WFG9,45,45,45,True
b5r,ZDT1,47,47,47,True
b5r,ZDT3,45,45,45,True
b5r,ZDT4,12,12,12,True
b5r,ZDT6,38,38,38,True
