problema,n_sids,D,M,pares_colidem_1coordX_f32,frac
BBOB_F1,309,10,2,1809,0.03801538267557685
BBOB_F17,309,10,2,2057,0.043226999537679146
BBOB_F22,309,10,2,2262,0.0475349892825621
BBOB_F37,309,10,2,1998,0.04198713907451772
BBOB_F49,309,10,2,2163,0.045454545454545456
BBOB_F5,309,10,2,2221,0.04667339133358551
BBOB_F55,309,10,2,1574,0.033076955407052494
DTLZ1,216,7,3,1338,0.05762273901808786
DTLZ2,371,12,3,4405,0.06418008304800758
DTLZ3,371,12,3,5083,0.07405842500182123
DTLZ4,371,12,3,3835,0.05587528229037663
DTLZ7,681,22,3,19813,0.0855705277705796
MMF1,61,2,2,33,0.018032786885245903
MMF11_L,61,2,2,40,0.02185792349726776
MMF16_20,619,20,3,10696,0.05592065707817704
MMF4,61,2,2,34,0.018579234972677595
WFG1,681,22,2,11800,0.0509631165241427
WFG2,681,22,2,11550,0.04988338947913967
WFG4,681,22,2,11046,0.047706659756413576
WFG5,681,22,2,10689,0.04616480953614926
WFG9,681,22,2,11435,0.049386715038438285
ZDT1,929,30,2,29114,0.06754110834787128
ZDT3,929,30,2,19832,0.04600794328347129
ZDT4,309,10,2,2159,0.04537048711805993
ZDT6,309,10,2,2086,0.043836422477199176
