problema,ger,log,nd_f32_da_camada1,nd_f64_reaval_de_X_f32,resgatou,max_dif_F
ZDT1,5,11,10,10,False,1.967234970479126e-07
ZDT1,6,11,10,10,False,2.152380806919041e-07
ZDT1,7,11,10,10,False,8.019285324678549e-08
ZDT1,8,11,10,10,False,1.030853176153812e-07
ZDT1,9,11,10,10,False,1.3618140037863213e-07
ZDT1,10,11,10,10,False,1.186066147518261e-07
ZDT1,34,7,8,7,True,1.1792841103641649e-07
ZDT3,34,10,11,10,True,2.7459502160986915e-07
ZDT6,3,11,10,10,False,3.904898040474336e-07
MMF11_L,3,7,8,8,False,2.3272967109022602e-07
DTLZ3,18,9,10,10,False,0.0003578655072260517
DTLZ7,9,9,8,8,False,4.808330213990075e-07
DTLZ7,16,12,11,11,False,4.5047223196093e-07
DTLZ7,17,11,10,10,False,5.245703658118828e-07
DTLZ7,18,12,11,11,False,5.245703658118828e-07
DTLZ7,19,12,11,11,False,5.245703658118828e-07
DTLZ7,27,12,11,11,False,5.587005844631676e-07
DTLZ7,30,12,13,13,False,4.0728578021287376e-07
DTLZ4,1,15,7,15,True,6.024141062044297e-06
DTLZ4,2,12,11,12,True,7.846739685395121e-06
DTLZ4,3,12,10,12,True,7.343383738547815e-06
DTLZ4,16,11,10,11,True,4.685523497083288e-06
DTLZ4,17,12,11,12,True,4.685523497083288e-06
