alg,problema,ger,log,lo_f32,lo_corrigido,hi,explicado,divergia
moead,BBOB_F1,1,7,7,7,7,True,False
moead,BBOB_F1,2,3,3,3,3,True,False
moead,BBOB_F1,3,3,3,3,3,True,False
moead,BBOB_F1,4,3,3,3,3,True,False
moead,BBOB_F1,5,4,4,4,4,True,False
moead,BBOB_F1,6,4,4,4,4,True,False
moead,BBOB_F1,7,5,5,5,5,True,False
moead,BBOB_F1,8,5,5,5,5,True,False
moead,BBOB_F1,9,5,5,5,5,True,False
moead,BBOB_F1,10,5,5,5,5,True,False
moead,BBOB_F1,11,3,3,3,3,True,False
moead,BBOB_F1,12,3,3,3,3,True,False
moead,BBOB_F17,1,6,6,6,6,True,False
moead,BBOB_F17,2,7,7,7,7,True,False
moead,BBOB_F17,3,11,11,11,11,True,False
moead,BBOB_F17,4,8,8,8,8,True,False
moead,BBOB_F17,5,9,9,9,9,True,False
moead,BBOB_F17,6,9,9,9,9,True,False
moead,BBOB_F17,7,3,3,3,3,True,False
moead,BBOB_F17,8,3,3,3,3,True,False
moead,BBOB_F17,9,3,3,3,3,True,False
moead,BBOB_F17,10,3,3,3,3,True,False
moead,BBOB_F17,11,5,5,5,5,True,False
moead,BBOB_F17,12,6,6,6,6,True,False
moead,BBOB_F17,13,8,8,8,8,True,False
moead,BBOB_F17,14,8,8,8,8,True,False
moead,BBOB_F22,1,5,5,5,5,True,False
moead,BBOB_F22,2,7,7,7,7,True,False
moead,BBOB_F22,3,10,10,10,10,True,False
moead,BBOB_F22,4,11,11,11,11,True,False
moead,BBOB_F22,5,10,10,10,10,True,False
moead,BBOB_F22,6,11,11,11,11,True,False
moead,BBOB_F22,7,11,11,11,11,True,False
moead,BBOB_F22,8,7,7,7,7,True,False
moead,BBOB_F22,9,9,9,9,9,True,False
moead,BBOB_F22,10,9,9,9,9,True,False
moead,BBOB_F22,11,8,8,8,8,True,False
moead,BBOB_F22,12,7,7,7,7,True,False
moead,BBOB_F22,13,7,7,7,7,True,False
moead,BBOB_F22,14,8,8,8,8,True,False
moead,BBOB_F37,1,5,5,5,5,True,False
moead,BBOB_F37,2,6,6,6,6,True,False
moead,BBOB_F37,3,6,6,6,6,True,False
moead,BBOB_F37,4,6,6,6,6,True,False
moead,BBOB_F37,5,6,6,6,6,True,False
moead,BBOB_F37,6,7,7,7,7,True,False
moead,BBOB_F37,7,9,9,9,9,True,False
moead,BBOB_F37,8,8,8,8,8,True,False
moead,BBOB_F37,9,6,6,6,6,True,False
moead,BBOB_F37,10,7,7,7,7,True,False
moead,BBOB_F37,11,6,6,6,6,True,False
moead,BBOB_F37,12,6,6,6,6,True,False
moead,BBOB_F37,13,6,6,6,6,True,False
moead,BBOB_F49,1,5,5,5,5,True,False
moead,BBOB_F49,2,7,7,7,7,True,False
moead,BBOB_F49,3,7,7,7,7,True,False
moead,BBOB_F49,4,6,6,6,6,True,False
moead,BBOB_F49,5,6,6,6,6,True,False
moead,BBOB_F49,6,6,6,6,6,True,False
moead,BBOB_F49,7,8,8,8,8,True,False
moead,BBOB_F49,8,8,8,8,8,True,False
moead,BBOB_F49,9,8,8,8,8,True,False
moead,BBOB_F49,10,8,8,8,8,True,False
moead,BBOB_F49,11,8,8,8,8,True,False
moead,BBOB_F49,12,8,8,8,8,True,False
moead,BBOB_F49,13,10,10,10,10,True,False
moead,BBOB_F49,14,10,10,10,10,True,False
moead,BBOB_F5,1,7,7,7,7,True,False
moead,BBOB_F5,2,7,7,7,7,True,False
moead,BBOB_F5,3,7,7,7,7,True,False
moead,BBOB_F5,4,7,7,7,7,True,False
moead,BBOB_F5,5,6,6,6,6,True,False
moead,BBOB_F5,6,7,7,7,7,True,False
moead,BBOB_F5,7,6,6,6,6,True,False
moead,BBOB_F5,8,6,6,6,6,True,False
moead,BBOB_F5,9,7,7,7,7,True,False
moead,BBOB_F5,10,8,8,8,8,True,False
moead,BBOB_F5,11,8,8,8,8,True,False
moead,BBOB_F5,12,7,7,7,7,True,False
moead,BBOB_F5,13,7,7,7,7,True,False
moead,BBOB_F5,14,8,8,8,8,True,False
moead,BBOB_F55,1,4,4,4,4,True,False
moead,BBOB_F55,2,4,4,4,4,True,False
moead,BBOB_F55,3,5,5,5,5,True,False
moead,BBOB_F55,4,5,5,5,5,True,False
moead,BBOB_F55,5,5,5,5,5,True,False
moead,BBOB_F55,6,5,5,5,5,True,False
moead,BBOB_F55,7,5,5,5,5,True,False
moead,BBOB_F55,8,5,5,5,5,True,False
moead,BBOB_F55,9,4,4,4,4,True,False
moead,BBOB_F55,10,6,6,6,6,True,False
moead,BBOB_F55,11,4,4,4,4,True,False
moead,BBOB_F55,12,4,4,4,4,True,False
moead,BBOB_F55,13,4,4,4,4,True,False
moead,DTLZ1,1,15,15,15,15,True,False
moead,DTLZ1,2,8,8,8,8,True,False
moead,DTLZ1,3,11,11,11,11,True,False
moead,DTLZ1,4,10,10,10,10,True,False
moead,DTLZ1,5,10,10,10,10,True,False
moead,DTLZ1,6,9,9,9,9,True,False
moead,DTLZ1,7,10,10,10,10,True,False
moead,DTLZ1,8,11,11,11,11,True,False
moead,DTLZ1,9,13,13,13,13,True,False
moead,DTLZ1,10,12,12,12,12,True,False
moead,DTLZ1,11,11,11,11,11,True,False
moead,DTLZ2,1,15,15,15,15,True,False
moead,DTLZ2,2,13,13,13,13,True,False
moead,DTLZ2,3,11,11,11,11,True,False
moead,DTLZ2,4,12,12,12,12,True,False
moead,DTLZ2,5,12,12,12,12,True,False
moead,DTLZ2,6,11,11,11,11,True,False
moead,DTLZ2,7,11,11,11,11,True,False
moead,DTLZ2,8,13,13,13,13,True,False
moead,DTLZ2,9,12,12,12,12,True,False
moead,DTLZ2,10,14,14,14,14,True,False
moead,DTLZ2,11,12,12,12,12,True,False
moead,DTLZ2,12,13,13,13,13,True,False
moead,DTLZ2,13,14,14,14,14,True,False
moead,DTLZ2,14,12,12,12,12,True,False
moead,DTLZ2,15,13,13,13,13,True,False
moead,DTLZ2,16,14,14,14,14,True,False
moead,DTLZ2,17,14,14,14,14,True,False
moead,DTLZ3,1,15,15,15,15,True,False
moead,DTLZ3,2,13,13,13,13,True,False
moead,DTLZ3,3,11,11,11,11,True,False
moead,DTLZ3,4,9,9,9,9,True,False
moead,DTLZ3,5,10,10,10,10,True,False
moead,DTLZ3,6,10,10,10,10,True,False
moead,DTLZ3,7,10,10,10,10,True,False
moead,DTLZ3,8,9,9,9,9,True,False
moead,DTLZ3,9,8,8,8,8,True,False
moead,DTLZ3,10,8,8,8,8,True,False
moead,DTLZ3,11,8,8,8,8,True,False
moead,DTLZ3,12,8,8,8,8,True,False
moead,DTLZ3,13,8,8,8,8,True,False
moead,DTLZ3,14,8,8,8,8,True,False
moead,DTLZ3,15,10,10,10,10,True,False
moead,DTLZ3,16,9,9,9,9,True,False
moead,DTLZ3,17,9,9,9,9,True,False
moead,DTLZ3,18,9,10,9,10,True,True
moead,DTLZ4,1,15,7,7,15,True,True
moead,DTLZ4,2,12,11,11,12,True,True
moead,DTLZ4,3,12,10,10,15,True,True
moead,DTLZ4,4,12,8,8,13,True,True
moead,DTLZ4,5,9,8,8,12,True,True
moead,DTLZ4,6,9,7,7,12,True,True
moead,DTLZ4,7,12,9,9,13,True,True
moead,DTLZ4,8,13,12,12,15,True,True
moead,DTLZ4,9,13,10,10,15,True,True
moead,DTLZ4,10,11,8,8,13,True,True
moead,DTLZ4,11,11,11,11,13,True,False
moead,DTLZ4,12,11,11,11,13,True,False
moead,DTLZ4,13,10,10,10,11,True,False
moead,DTLZ4,14,9,9,9,11,True,False
moead,DTLZ4,15,11,11,11,13,True,False
moead,DTLZ4,16,11,10,10,12,True,True
moead,DTLZ4,17,12,11,11,13,True,True
moead,DTLZ4,18,11,11,11,13,True,False
moead,DTLZ7,1,15,15,15,15,True,False
moead,DTLZ7,2,13,13,13,14,True,False
moead,DTLZ7,3,10,10,10,11,True,False
moead,DTLZ7,4,9,9,9,11,True,False
moead,DTLZ7,5,9,9,9,11,True,False
moead,DTLZ7,6,10,10,10,12,True,False
moead,DTLZ7,7,10,10,10,12,True,False
moead,DTLZ7,8,9,9,9,11,True,False
moead,DTLZ7,9,9,8,8,12,True,True
moead,DTLZ7,10,10,10,10,13,True,False
moead,DTLZ7,11,13,13,13,15,True,False
moead,DTLZ7,12,12,12,12,15,True,False
moead,DTLZ7,13,9,9,9,13,True,False
moead,DTLZ7,14,9,9,9,12,True,False
moead,DTLZ7,15,11,11,11,13,True,False
moead,DTLZ7,16,12,11,11,14,True,True
moead,DTLZ7,17,11,10,10,15,True,True
moead,DTLZ7,18,12,11,11,14,True,True
moead,DTLZ7,19,12,11,11,14,True,True
moead,DTLZ7,20,11,11,11,14,True,False
moead,DTLZ7,21,10,10,10,14,True,False
moead,DTLZ7,22,11,11,11,14,True,False
moead,DTLZ7,23,12,12,12,14,True,False
moead,DTLZ7,24,11,11,11,14,True,False
moead,DTLZ7,25,11,11,11,14,True,False
moead,DTLZ7,26,11,11,11,14,True,False
moead,DTLZ7,27,12,11,11,15,True,True
moead,DTLZ7,28,11,11,11,15,True,False
moead,DTLZ7,29,11,11,11,15,True,False
moead,DTLZ7,30,12,13,12,15,True,True
moead,DTLZ7,31,12,12,12,15,True,False
moead,DTLZ7,32,12,12,12,15,True,False
moead,DTLZ7,33,11,11,11,15,True,False
moead,MMF1,1,7,7,7,7,True,False
moead,MMF1,2,11,11,11,12,True,False
moead,MMF1,3,11,11,11,11,True,False
moead,MMF11_L,1,9,9,9,9,True,False
moead,MMF11_L,2,8,8,8,9,True,False
moead,MMF11_L,3,7,8,7,8,True,True
moead,MMF16_20,1,15,15,15,15,True,False
moead,MMF16_20,2,11,11,11,11,True,False
moead,MMF16_20,3,12,12,12,12,True,False
moead,MMF16_20,4,15,15,14,15,True,False
moead,MMF16_20,5,15,15,13,15,True,False
moead,MMF16_20,6,15,15,14,15,True,False
moead,MMF16_20,7,14,14,13,14,True,False
moead,MMF16_20,8,15,15,14,15,True,False
moead,MMF16_20,9,15,15,14,15,True,False
moead,MMF16_20,10,14,14,14,14,True,False
moead,MMF16_20,11,14,14,14,14,True,False
moead,MMF16_20,12,14,14,12,14,True,False
moead,MMF16_20,13,14,14,12,14,True,False
moead,MMF16_20,14,15,15,14,15,True,False
moead,MMF16_20,15,13,13,12,13,True,False
moead,MMF16_20,16,14,14,13,14,True,False
moead,MMF16_20,17,14,14,12,14,True,False
moead,MMF16_20,18,15,15,14,15,True,False
moead,MMF16_20,19,15,15,14,15,True,False
moead,MMF16_20,20,15,15,15,15,True,False
moead,MMF16_20,21,15,15,14,15,True,False
moead,MMF16_20,22,14,14,13,14,True,False
moead,MMF16_20,23,14,14,13,14,True,False
moead,MMF16_20,24,15,15,14,15,True,False
moead,MMF16_20,25,15,15,13,15,True,False
moead,MMF16_20,26,14,14,14,14,True,False
moead,MMF16_20,27,14,14,14,14,True,False
moead,MMF16_20,28,14,14,14,14,True,False
moead,MMF16_20,29,14,14,14,14,True,False
moead,MMF4,1,9,9,9,9,True,False
moead,MMF4,2,10,10,10,10,True,False
moead,MMF4,3,15,15,15,15,True,False
moead,WFG1,1,18,18,18,18,True,False
moead,WFG1,2,14,14,14,14,True,False
moead,WFG1,3,17,17,17,17,True,False
moead,WFG1,4,16,16,16,16,True,False
moead,WFG1,5,15,15,15,15,True,False
moead,WFG1,6,16,16,16,16,True,False
moead,WFG1,7,16,16,16,16,True,False
moead,WFG1,8,18,18,18,18,True,False
moead,WFG1,9,20,20,20,20,True,False
moead,WFG1,10,20,20,20,20,True,False
moead,WFG1,11,17,17,17,17,True,False
moead,WFG1,12,17,17,17,17,True,False
moead,WFG1,13,18,18,18,18,True,False
moead,WFG1,14,14,14,14,14,True,False
moead,WFG1,15,14,14,14,14,True,False
moead,WFG1,16,14,14,14,14,True,False
moead,WFG1,17,14,14,14,14,True,False
moead,WFG1,18,13,13,13,13,True,False
moead,WFG1,19,13,13,13,13,True,False
moead,WFG1,20,18,18,18,18,True,False
moead,WFG1,21,18,18,18,18,True,False
moead,WFG1,22,18,18,18,18,True,False
moead,WFG1,23,19,19,19,19,True,False
moead,WFG1,24,19,19,19,19,True,False
moead,WFG1,25,18,18,18,18,True,False
moead,WFG1,26,18,18,18,18,True,False
moead,WFG1,27,18,18,18,18,True,False
moead,WFG1,28,16,16,16,16,True,False
moead,WFG1,29,16,16,16,16,True,False
moead,WFG1,30,16,16,16,16,True,False
moead,WFG1,31,16,16,16,16,True,False
moead,WFG2,1,8,8,8,8,True,False
moead,WFG2,2,6,6,6,6,True,False
moead,WFG2,3,7,7,7,7,True,False
moead,WFG2,4,6,6,6,6,True,False
moead,WFG2,5,9,9,9,9,True,False
moead,WFG2,6,8,8,8,8,True,False
moead,WFG2,7,7,7,7,7,True,False
moead,WFG2,8,7,7,7,7,True,False
moead,WFG2,9,7,7,7,7,True,False
moead,WFG2,10,6,6,6,6,True,False
moead,WFG2,11,6,6,6,6,True,False
moead,WFG2,12,6,6,6,6,True,False
moead,WFG2,13,6,6,6,6,True,False
moead,WFG2,14,6,6,6,6,True,False
moead,WFG2,15,6,6,6,6,True,False
moead,WFG2,16,5,5,5,5,True,False
moead,WFG2,17,5,5,5,5,True,False
moead,WFG2,18,5,5,5,5,True,False
moead,WFG2,19,5,5,5,5,True,False
moead,WFG2,20,5,5,5,5,True,False
moead,WFG2,21,5,5,5,5,True,False
moead,WFG2,22,5,5,5,5,True,False
moead,WFG2,23,5,5,5,5,True,False
moead,WFG2,24,5,5,5,5,True,False
moead,WFG2,25,5,5,5,5,True,False
moead,WFG2,26,5,5,5,5,True,False
moead,WFG2,27,5,5,5,5,True,False
moead,WFG4,1,20,20,20,20,True,False
moead,WFG4,2,14,14,14,14,True,False
moead,WFG4,3,17,17,17,17,True,False
moead,WFG4,4,15,15,15,15,True,False
moead,WFG4,5,16,16,16,16,True,False
moead,WFG4,6,16,16,16,16,True,False
moead,WFG4,7,16,16,16,16,True,False
moead,WFG4,8,16,16,16,16,True,False
moead,WFG4,9,16,16,16,16,True,False
moead,WFG4,10,17,17,17,17,True,False
moead,WFG4,11,15,15,15,15,True,False
moead,WFG4,12,14,14,14,14,True,False
moead,WFG4,13,14,14,14,14,True,False
moead,WFG4,14,14,14,14,14,True,False
moead,WFG4,15,14,14,14,14,True,False
moead,WFG4,16,14,14,14,14,True,False
moead,WFG4,17,12,12,12,12,True,False
moead,WFG4,18,12,12,12,12,True,False
moead,WFG4,19,12,12,12,12,True,False
moead,WFG4,20,12,12,12,12,True,False
moead,WFG4,21,12,12,12,12,True,False
moead,WFG4,22,11,11,11,11,True,False
moead,WFG4,23,11,11,11,11,True,False
moead,WFG4,24,11,11,11,11,True,False
moead,WFG4,25,11,11,11,11,True,False
moead,WFG4,26,10,10,10,10,True,False
moead,WFG4,27,10,10,10,10,True,False
moead,WFG5,1,20,20,20,20,True,False
moead,WFG5,2,15,15,15,15,True,False
moead,WFG5,3,14,14,14,14,True,False
moead,WFG5,4,16,16,16,16,True,False
moead,WFG5,5,14,14,14,14,True,False
moead,WFG5,6,14,14,14,14,True,False
moead,WFG5,7,14,14,14,14,True,False
