alg,exp,n_celulas,n_gen_total,caminhos,has_fe,has_f_best,has_n_front1,has_modelo_hp,has_tempo_fit_s,has_tempo_busca_s,has_dist_min_arquivo,has_ideal,has_nadir_pop,has_nadir_front1,n_di10_literal,n_pisos_extra,variacao_chaves
b1,main,24,7447,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
b3,main,25,1443,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
b4,main,25,6268,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
b5m,off,25,17505,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5m,sweep-medium-lhs,5,3165,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5m,sweep-medium-mvns,5,3165,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5m,sweep-small-lhs,5,3165,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5m,sweep-small-mvns,5,3165,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5r,off,25,27977,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5r,sweep-medium-lhs,5,8142,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5r,sweep-medium-mvns,5,6579,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5r,sweep-small-lhs,5,6728,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
b5r,sweep-small-mvns,5,8410,b5_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
c141,main,25,1967,c141_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
c217,main,25,6762,c217_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
c238,main,25,7020,c238_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
e103,off,25,2475,e103_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
e103,sweep-medium-lhs,5,495,e103_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
e103,sweep-medium-mvns,5,495,e103_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
e103,sweep-small-lhs,5,495,e103_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
e103,sweep-small-mvns,5,495,e103_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
e7,main,25,2328,e7_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
e74,main,25,7322,e74_gen,True,True,True,True,True,True,True,False,False,False,7,0,1
moead,main,25,469,moead_gen,True,True,True,False,False,False,False,True,True,True,3,3,1
moead_media,off,25,17505,moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
moead_media,sweep-medium-lhs,5,3165,moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
moead_media,sweep-medium-mvns,5,3165,moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
moead_media,sweep-small-lhs,5,3165,moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
moead_media,sweep-small-mvns,5,3165,moead_media_gen,True,True,True,False,False,False,False,False,False,False,3,0,1
nsga2,main,25,376,nsga2_gen,True,True,True,False,False,False,False,True,True,True,3,3,1
nsga3,main,25,413,nsga3_gen,True,True,True,False,False,False,False,True,True,True,3,3,1
smsemoa,main,25,376,smsemoa_gen,True,True,True,False,False,False,False,True,True,True,3,3,1
sobol_batch,batch,5,1000,sobol_batch_gen,True,True,False,False,False,False,False,False,False,False,2,0,1
