alg,exp,problema,n_gen,caminho,has_fe,has_f_best,has_n_front1,has_modelo_hp,has_tempo_fit_s,has_tempo_busca_s,has_dist_min_arquivo,has_ideal,has_nadir_pop,has_nadir_front1,n_di10_literal,n_pisos_extra,chaves
b1,main,BBOB_F1,204,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,BBOB_F17,206,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,BBOB_F22,264,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,BBOB_F37,515,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,BBOB_F49,504,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,BBOB_F5,214,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,BBOB_F55,201,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,DTLZ1,153,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,DTLZ2,240,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,DTLZ3,240,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
