alg,exp,problema,n_ev,familias,has_fe,has_f_best,has_n_front1,has_modelo_hp,has_tempo_fit_s,has_tempo_busca_s,has_dist_min_arquivo,has_ideal,has_nadir_pop,has_nadir_front1
b1,main,BBOB_F1,204,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,BBOB_F17,206,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,BBOB_F22,264,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,BBOB_F37,515,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,BBOB_F49,504,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,BBOB_F5,214,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,BBOB_F55,201,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,DTLZ1,153,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,DTLZ2,240,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,DTLZ3,240,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,DTLZ7,440,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,MMF1,48,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,MMF11_L,40,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,MMF16_20,400,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,MMF4,40,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,WFG1,374,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,WFG2,440,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,WFG4,440,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,WFG5,440,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,WFG9,440,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,ZDT1,603,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,ZDT3,601,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,ZDT4,200,b1_gen/,True,True,True,True,True,True,True,False,False,False
b1,main,ZDT6,200,b1_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,BBOB_F1,40,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,BBOB_F17,40,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,BBOB_F22,40,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,BBOB_F37,40,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,BBOB_F49,40,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,BBOB_F5,42,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,BBOB_F55,40,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,DTLZ1,28,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,DTLZ2,48,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,DTLZ3,48,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,DTLZ4,48,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,DTLZ7,98,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,MMF1,8,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,MMF11_L,8,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,MMF16_20,80,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,MMF4,8,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,WFG1,89,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,WFG2,94,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,WFG4,92,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,WFG5,88,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,WFG9,90,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,ZDT1,120,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,ZDT3,131,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,ZDT4,43,b3_gen/,True,True,True,True,True,True,True,False,False,False
b3,main,ZDT6,40,b3_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,BBOB_F1,200,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,BBOB_F17,200,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,BBOB_F22,204,b4_gen/,True,True,True,True,True,True,True,False,False,False
