config,n,n_zero,n_none,n_ausente,aval_min,aval_med,aval_max,total_med,frac_aval_med
b1,24,0,0,0,0.032261000000000005,0.19909749999999993,1.3922109999999988,431.8125165,0.0005
b3,25,0,0,0,0.023917,0.14604500000000004,1.3467040000000017,76.06081,0.0019
b4,25,0,0,0,0.030361999999999986,0.20053799999999983,1.437555999999998,394.7073,0.0005
c122,25,0,0,0,0.0041,0.0512,1.1149,1816.4583,0.0
c141,25,0,0,0,0.022504000000000003,0.14146199999999995,1.346938,33.245273,0.0043
c149,30,0,0,0,0.0039,0.0606,3.4238,6623.7126499999995,0.0
c154,11,0,0,0,0.007,0.0277,0.4983,23571.7552,0.0
c217,25,0,0,0,0.030841999999999998,0.20546099999999992,1.4714269999999992,58.836015,0.0035
c238,25,0,0,0,0.03353199999999999,0.18491099999999985,1.1069999999999998,417.771627,0.0004
c262,21,0,0,0,0.0029,0.0336,1.0888,1463.4158,0.0
e7,25,0,0,0,0.02369700000000001,0.063904,0.5600908333333341,1560.86146625,0.0
e74,25,0,0,0,0.030177,0.192242,1.429490000000001,189.482546,0.001
e81,30,0,0,0,0.0019,0.03315,2.0993,731.145,0.0
moead,25,0,0,0,0.022207999999999995,0.13063500000000006,1.4232109999999996,5.05593,0.0258
nsga2,25,0,0,0,0.017528,0.13711299999999993,1.3284889999999991,4.633764,0.0296
nsga3,25,0,0,0,0.019742000000000003,0.12594899999999995,1.3597739999999985,4.852702,0.026
smsemoa,25,0,0,0,0.020658,0.14219999999999997,1.6289369999999999,5.253073,0.0271
sobol_batch,5,5,0,0,0.0,0.0,0.0,3.3356,0.0
