,0
celulas,25
geracoes,469
linhas_1,10856
init_1,3836
opt_1,7020
linhas_2,8750
linhas_3,0
linhas_4,469
cache_hits_total,1995
cache_seeding,495
cache_offspring,1500
hard_stop,25
tentativas,8545
ledger,0
taxa_clone_global,0.17554125219426564
ic_contem_previsao,25
subst_total,4064
co_subst,2337
frac_co,0.5750492125984252
transicoes,444
d88_ordem_f64,25
d88_conj_f64,25
dX_max,0.0
dF_max,0.0
seed_exc,6
seed_exc_cells,"['DTLZ2', 'DTLZ4', 'DTLZ7', 'MMF16_20', 'WFG4', 'WFG5']"
ideal_eq_minpop,469
nadir_eq_maxpop,469
fbest_e_individuo,0
viol_mono_ideal,144
celulas_com_ideal_nao_mono,25
nf1_ok,439
nf1_div,30
traj_viol,0
razao_arq_doe_med,0.7102825637151039
regride_arquivo,0
regride_pop,6
regride_pop_cells,"['BBOB_F49', 'MMF1', 'MMF16_20', 'MMF4', 'WFG4', 'WFG9']"
unicos_popF_med,13.0
regride_pop_nsga2,1
unicos_popF_nsga2,20.0
regride_pop_nsga3,0
unicos_popF_nsga3,20.0
regride_pop_smsemoa,0
unicos_popF_smsemoa,20.0
tempo_total_s,126.189485
tempo_hcore,0.035052634722222226
tempo_med_s,5.05593
maquinas,['vm3']
frac_tempo_geracoes,0.1828459340560093
k_hardstop_min,2
k_hardstop_max,19
f_ident_med,0.4666666666666667
f_ident_min,0.1607843137254902
f_ident_max,0.7571428571428571
pares_id_ini_zero,25
